date,open,high,low,close,volume
2025-06-12,356.0,358.12,354.04,357.1,1571800
2025-06-13,353.41,356.52,351.89,353.23,1609600
2025-06-16,357.13,360.71,356.34,358.56,1579800
2025-06-17,356.86,358.51,353.21,353.85,1560100
2025-06-18,353.31,360.33,353.14,355.95,2000500
2025-06-20,359.06,360.35,355.29,356.66,6268300
2025-06-23,356.07,363.17,353.9,362.31,2927400
2025-06-24,365.93,370.1,363.98,369.03,3841800
2025-06-25,369.01,370.18,365.55,367.6,1737700
2025-06-26,370.0,378.24,369.05,377.79,2575100
2025-06-27,378.92,383.34,378.65,380.59,4455000
2025-06-30,382.17,384.98,380.69,384.05,2791400
2025-07-01,382.45,389.67,380.14,386.73,2393600
2025-07-02,388.5,394.37,385.25,394.16,2713700
2025-07-03,394.65,398.11,393.33,393.6,1737800
2025-07-07,393.8,393.8,383.93,387.32,3012900
2025-07-08,388.23,391.71,387.33,390.07,2003600
2025-07-09,395.44,399.44,392.63,397.87,3101000
2025-07-10,400.33,407.59,399.12,403.96,3382800
2025-07-11,401.11,402.52,397.4,401.57,2072600
2025-07-14,399.67,402.43,397.92,401.43,2497500
2025-07-15,401.91,404.37,398.7,400.31,2167000
2025-07-16,400.66,408.65,399.0,408.46,3242100
2025-07-17,410.42,415.4,408.46,413.59,2444700
2025-07-18,414.22,415.4,407.75,409.28,2526600
2025-07-21,414.26,414.47,406.94,407.17,1833300
2025-07-22,407.47,415.56,407.47,414.24,2185000
2025-07-23,417.03,425.13,416.48,424.56,3254900
2025-07-24,424.02,427.11,421.49,426.48,2511400
2025-07-25,426.65,431.79,425.58,430.68,2218400
2025-07-28,428.2,433.31,428.07,429.87,2550300
2025-07-29,431.47,432.13,421.79,427.0,2383700
2025-07-30,426.95,433.74,423.41,431.05,3172600
2025-07-31,431.06,438.03,430.61,434.92,4116400
2025-08-01,423.95,427.81,418.31,425.65,4027300
2025-08-04,427.81,433.8,426.94,430.63,4059500
2025-08-05,424.62,436.63,423.55,431.15,4329900
2025-08-06,430.27,431.63,422.53,424.69,2630800
2025-08-07,423.82,424.3,407.06,414.17,4261100
2025-08-08,417.54,418.91,412.82,413.57,2965200
2025-08-11,414.03,415.33,403.92,405.65,3416000
2025-08-12,408.09,415.23,406.74,409.79,2765100
2025-08-13,412.24,412.6,407.63,410.77,4403000
2025-08-14,406.4,416.27,404.12,414.54,3676000
2025-08-15,412.78,413.61,404.22,404.9,3107400
2025-08-18,404.12,410.21,402.59,409.72,3185200
2025-08-19,416.34,418.89,411.13,413.14,3543600
2025-08-20,411.86,418.93,409.13,417.61,4060200
2025-08-21,416.96,417.6,411.23,414.93,2504300
2025-08-22,418.62,434.74,417.07,432.58,3785100
2025-08-25,431.92,433.81,429.11,429.24,1857900
2025-08-26,428.34,429.13,424.21,428.21,2792200
2025-08-27,426.69,431.98,425.91,429.61,1970900
2025-08-28,431.83,432.89,429.57,431.83,1651700
2025-08-29,422.4,425.07,411.44,416.07,3673800
2025-09-02,410.98,414.26,407.61,413.1,2329500
2025-09-03,415.17,415.17,408.46,412.18,1496700
2025-09-04,412.86,417.81,411.36,417.24,1634600
2025-09-05,417.86,421.89,414.95,420.08,1843200
2025-09-08,419.66,420.91,413.83,419.79,1876700
2025-09-09,420.16,420.55,413.49,415.13,1710700
2025-09-10,416.85,423.48,416.53,419.91,2221000
2025-09-11,420.92,432.7,420.32,428.32,2737900
2025-09-12,426.02,429.55,424.72,428.46,2341800
2025-09-15,430.76,435.64,427.56,432.85,2255800
2025-09-16,433.04,437.68,431.2,437.55,2366300
2025-09-17,441.85,449.14,439.86,447.47,4512200
2025-09-18,447.77,464.4,445.69,463.65,4331900
2025-09-19,466.93,468.78,459.43,463.24,5069300
2025-09-22,464.0,469.89,456.35,468.76,3180000
2025-09-23,469.91,481.9,464.87,467.92,3856600
2025-09-24,469.35,473.14,465.31,466.46,2776700
2025-09-25,461.42,464.69,456.32,460.44,2979200
2025-09-26,462.18,465.13,459.11,462.46,2329000
2025-09-29,464.76,469.14,464.15,468.27,2892100
2025-09-30,468.28,474.06,466.91,473.77,2315300
2025-10-01,470.65,480.5,467.8,477.41,2964700
2025-10-02,483.41,492.47,480.76,487.1,2648600
2025-10-03,489.76,500.91,489.04,494.32,2996500
2025-10-06,496.88,502.01,489.55,491.87,2629200
2025-10-07,494.4,494.85,480.13,483.26,2135400
2025-10-08,487.51,505.87,485.87,498.56,3959400
2025-10-09,500.49,502.94,493.62,496.82,3113900
2025-10-10,499.56,507.88,487.82,487.82,3889100
2025-10-13,498.59,502.79,491.94,501.18,2618400
2025-10-14,497.03,527.8,495.48,523.73,5459800
2025-10-15,530.42,534.64,523.48,530.27,3447100
2025-10-16,534.25,541.13,530.91,537.13,3463100
2025-10-17,533.57,538.37,523.24,523.35,2814700
2025-10-20,527.32,531.94,524.71,528.93,2170800
2025-10-21,522.85,531.12,519.83,522.43,2259100
2025-10-22,523.51,523.58,508.05,511.74,4149000
2025-10-23,516.14,520.68,510.84,518.3,2619400
2025-10-24,520.65,525.0,518.82,520.52,2392000
