date,open,high,low,close,volume
2025-06-12,993.41,997.63,989.79,997.1,1720100
2025-06-13,993.49,997.97,983.14,984.67,1786000
2025-06-16,986.78,996.24,975.95,978.85,2109300
2025-06-17,977.5,980.58,970.74,972.25,1668200
2025-06-18,974.51,977.15,968.62,969.44,1509600
2025-06-20,978.48,983.13,968.45,974.8,3255700
2025-06-23,977.65,999.25,975.77,998.86,2082900
2025-06-24,1000.21,1000.21,986.52,996.31,2385100
2025-06-25,997.39,999.35,980.48,981.02,1827700
2025-06-26,982.2,982.2,971.03,977.41,2262800
2025-06-27,976.74,987.58,974.81,979.63,2129200
2025-06-30,979.65,986.19,974.27,984.4,2127600
2025-07-01,984.46,991.26,969.05,980.44,2200600
2025-07-02,978.36,980.18,971.4,976.86,1606100
2025-07-03,976.91,982.14,971.86,981.5,1101400
2025-07-07,979.49,987.33,970.74,986.63,1832600
2025-07-08,983.96,990.3,978.42,980.32,1716200
2025-07-09,982.86,982.86,966.84,976.59,2922600
2025-07-10,981.48,982.47,963.65,964.74,2897000
2025-07-11,967.84,973.5,960.29,964.9,1942000
2025-07-14,965.66,976.0,964.19,975.42,1679300
2025-07-15,973.77,974.76,961.25,962.26,1878000
2025-07-16,962.57,964.16,944.81,946.04,2950300
2025-07-17,945.04,949.41,942.21,948.57,2280600
2025-07-18,954.58,954.88,944.33,945.63,2115500
2025-07-21,946.18,950.41,941.3,942.26,1742400
2025-07-22,943.49,952.34,935.98,936.34,1799900
2025-07-23,937.1,943.19,930.76,935.92,2401600
2025-07-24,936.06,937.62,928.26,928.57,2057100
2025-07-25,931.06,936.02,929.12,930.24,1827700
2025-07-28,930.26,934.98,925.68,928.76,2006300
2025-07-29,928.76,936.52,922.19,929.34,2065900
2025-07-30,929.77,932.5,919.96,922.32,1699600
2025-07-31,920.18,940.65,919.82,934.38,2564400
2025-08-01,935.54,952.68,935.54,948.5,2934500
2025-08-04,948.58,956.13,944.66,951.34,2389900
2025-08-05,947.32,947.48,931.73,939.65,2462300
2025-08-06,939.65,966.45,938.68,964.47,2753000
2025-08-07,970.57,977.86,966.86,973.33,1893300
2025-08-08,973.03,984.03,972.88,976.84,2189700
2025-08-11,979.01,985.4,972.2,984.57,2290100
2025-08-12,984.33,987.56,975.91,987.07,1588500
2025-08-13,979.81,982.24,966.01,974.72,2352600
2025-08-14,976.46,984.12,971.06,971.27,1808700
2025-08-15,975.01,975.86,963.14,967.94,1638300
2025-08-18,969.19,977.14,965.91,975.22,2078500
2025-08-19,974.49,984.36,972.67,976.71,1673400
2025-08-20,974.87,995.08,974.87,990.37,2229600
2025-08-21,984.73,985.15,963.44,965.59,2145600
2025-08-22,967.44,969.39,949.09,954.49,3136000
2025-08-25,950.93,954.26,936.59,937.61,2284300
2025-08-26,937.37,940.07,929.31,937.37,4341300
2025-08-27,936.52,947.98,933.26,945.51,1893600
2025-08-28,946.28,946.99,940.15,940.97,2067900
2025-08-29,941.01,944.61,936.49,939.34,1609000
2025-09-02,934.7,940.52,932.63,934.86,1793900
2025-09-03,935.04,946.08,932.55,945.77,1670500
2025-09-04,949.38,955.45,947.1,951.87,1471900
2025-09-05,954.66,965.46,952.18,959.41,1928500
2025-09-08,959.66,968.24,954.54,967.75,1737000
2025-09-09,965.91,975.73,959.05,975.12,1496800
2025-09-10,972.27,976.86,949.93,952.25,2277500
2025-09-11,953.76,961.09,950.25,960.25,1532000
2025-09-12,956.24,965.48,955.95,963.82,1461600
2025-09-15,963.74,965.65,955.66,956.05,2199400
2025-09-16,955.05,955.53,946.79,948.05,2012600
2025-09-17,949.47,959.91,949.47,958.97,1556800
2025-09-18,953.33,958.48,946.66,948.34,1860900
2025-09-19,950.97,953.4,939.81,947.15,4606000
2025-09-22,943.38,945.99,935.64,939.28,2794300
2025-09-23,938.78,941.0,929.56,939.62,3258500
2025-09-24,940.3,949.64,939.13,941.28,2149800
2025-09-25,948.43,948.98,931.67,939.33,2991500
2025-09-26,921.64,923.72,901.23,912.08,4812900
2025-09-29,912.47,913.35,899.48,913.0,4107000
2025-09-30,912.38,926.58,909.52,921.72,3096700
2025-10-01,919.1,920.1,907.32,913.47,2642100
2025-10-02,908.71,914.63,906.17,912.9,2063800
2025-10-03,911.73,914.23,907.35,911.52,2319200
2025-10-06,911.64,911.92,900.43,907.1,2504000
2025-10-07,904.9,913.77,900.07,910.94,2601800
2025-10-08,908.69,912.51,907.12,910.94,2376900
2025-10-09,928.38,939.79,923.37,938.91,3742900
2025-10-10,940.43,941.46,925.08,926.09,3142500
2025-10-13,925.08,932.03,919.1,931.61,2169600
2025-10-14,936.29,943.42,932.0,942.52,1925900
2025-10-15,942.01,959.93,941.27,950.96,2009800
2025-10-16,951.51,953.86,917.27,921.71,2721400
2025-10-17,925.66,934.86,924.23,932.38,2502200
2025-10-20,932.24,935.83,927.57,932.16,1523700
2025-10-21,932.16,939.39,931.05,933.54,1448200
2025-10-22,936.03,948.98,928.56,940.69,2372400
2025-10-23,941.48,941.48,930.55,938.07,1974800
2025-10-24,936.03,939.02,926.22,928.21,1639400
2025-10-27,926.28,929.26,921.22,925.93,1967600
2025-10-28,922.96,926.79,916.32,920.26,2090800
2025-10-29,915.12,916.0,905.46,908.57,2449600
2025-10-30,908.84,919.1,906.53,916.3,2677100
2025-10-31,913.63,917.41,907.12,908.89,2456300
2025-11-03,909.84,926.58,905.83,925.43,3206600
2025-11-04,930.59,938.52,926.36,938.1,2554500
2025-11-05,937.36,942.62,924.83,932.4,2974800
2025-11-06,921.76,922.4,905.75,920.98,3247700
2025-11-07,926.92,934.37,918.2,920.15,2584000
2025-11-10,916.42,919.41,906.51,912.99,2612700
2025-11-11,913.92,916.31,910.43,911.29,1663400
2025-11-12,912.9,915.52,909.11,911.43,1829700
2025-11-13,913.77,924.14,909.16,922.48,2430600
2025-11-14,924.52,926.28,912.53,920.39,1739100
2025-11-17,919.43,922.3,906.26,910.02,2481900
2025-11-18,910.02,916.33,891.66,892.56,2984700
2025-11-19,892.48,892.48,871.51,888.1,3462300
2025-11-20,890.99,902.03,888.5,890.78,2648300
2025-11-21,892.01,902.77,889.62,896.48,2870100
2025-11-24,896.47,898.83,878.84,883.63,3661200
2025-11-25,884.17,893.2,882.64,891.82,2534700
2025-11-26,893.5,909.44,893.1,905.71,1936200
2025-11-28,902.48,911.63,900.46,911.02,1092600
2025-12-01,910.63,916.0,903.66,909.4,2149400
2025-12-02,909.4,920.41,902.46,919.44,2160600
2025-12-03,918.22,923.72,913.44,919.67,1886800
2025-12-04,904.48,905.41,885.58,893.34,3787800
2025-12-05,894.73,903.34,890.49,892.16,2359800
2025-12-08,890.99,891.49,880.42,885.02,2407900
2025-12-09,884.36,886.52,879.03,885.94,1899500
2025-12-10,885.32,887.08,868.64,871.95,3318300
2025-12-11,873.4,883.51,870.1,881.99,3041600
2025-12-12,880.82,886.12,864.68,881.98,4808900
2025-12-15,879.63,885.0,849.01,858.14,4771400
2025-12-16,855.03,861.16,841.69,857.97,3843300
2025-12-17,856.09,866.14,855.82,860.22,2363700
2025-12-18,857.88,860.72,850.11,855.18,2467500
2025-12-19,854.16,856.04,846.93,853.21,10097600
2025-12-22,851.6,853.1,844.93,847.61,2373300
