date,open,high,low,close,volume
2025-06-12,209.91,211.0,209.37,210.51,25367000
2025-06-13,207.6,209.19,206.0,206.66,60580000
2025-06-16,208.81,210.27,207.98,209.1,28974000
2025-06-17,207.4,208.78,206.72,206.9,32843200
2025-06-18,206.79,209.71,206.13,207.99,42850500
2025-06-20,209.44,209.58,206.81,207.55,36978100
2025-06-23,206.83,210.1,205.17,210.09,35516400
2025-06-24,211.6,213.23,210.68,212.77,31772500
2025-06-25,212.96,213.03,210.21,210.29,27725600
2025-06-26,211.14,213.84,211.01,213.7,26261200
2025-06-27,214.34,215.69,212.43,213.77,47717300
2025-06-30,214.96,214.99,213.68,214.08,25558000
2025-07-01,212.92,218.78,212.45,216.28,43864800
2025-07-02,216.64,219.35,215.64,219.28,35735200
2025-07-03,220.25,221.56,220.01,221.31,23515700
2025-07-07,219.81,221.05,216.68,217.99,41551200
2025-07-08,218.83,220.53,218.58,219.5,36339300
2025-07-09,220.81,221.92,219.37,221.88,32425200
2025-07-10,221.62,224.26,221.09,223.02,33865900
2025-07-11,221.4,221.77,219.81,219.94,31579600
2025-07-14,219.62,221.57,219.31,221.42,24632200
2025-07-15,222.29,222.45,217.06,217.09,44215400
2025-07-16,218.47,219.62,215.19,219.27,48199800
2025-07-17,219.33,222.42,218.96,222.15,43548000
2025-07-18,223.5,223.57,220.22,220.57,49009900
2025-07-21,221.77,222.63,219.5,219.67,28191400
2025-07-22,219.86,222.04,218.91,221.5,30873300
2025-07-23,223.04,224.91,222.29,224.88,37478100
2025-07-24,223.73,224.06,221.71,221.78,29446700
2025-07-25,222.64,222.82,220.78,222.6,24555500
2025-07-28,223.53,223.65,221.66,222.34,24934900
2025-07-29,223.82,223.9,220.3,220.92,28685900
2025-07-30,221.89,223.15,218.38,219.8,48924400
2025-07-31,218.71,220.26,217.15,217.65,42913900
2025-08-01,214.51,214.84,210.66,213.22,63854100
2025-08-04,214.83,218.0,214.37,217.99,34989600
2025-08-05,218.81,219.51,216.51,219.1,31337100
2025-08-06,219.2,219.24,217.64,218.81,23142100
2025-08-07,220.99,221.07,216.78,218.1,37088000
2025-08-08,219.32,219.81,218.0,218.57,28318100
2025-08-11,219.02,219.92,218.07,218.52,25212800
2025-08-12,220.09,225.18,219.4,225.01,43815500
2025-08-13,226.45,229.63,226.02,229.39,41705800
2025-08-14,226.63,226.99,224.38,226.43,55945500
2025-08-15,226.83,226.97,224.25,225.33,33571400
2025-08-18,225.41,226.65,225.14,226.15,20144100
2025-08-19,226.21,227.17,223.9,224.42,25000700
2025-08-20,224.14,224.59,221.92,223.62,29229700
2025-08-21,222.63,224.53,222.01,224.18,24539400
2025-08-22,225.57,233.55,225.38,232.97,58205500
2025-08-25,232.28,232.44,230.52,230.52,28453700
2025-08-26,230.98,233.01,230.75,232.42,25121500
2025-08-27,231.89,234.25,231.71,234.07,25395400
2025-08-28,235.08,235.09,233.48,234.35,25011200
2025-08-29,234.86,235.14,232.51,233.31,29254800
2025-09-02,230.15,232.54,229.64,232.05,33108600
2025-09-03,231.42,233.4,230.62,231.82,33252400
2025-09-04,232.37,234.79,231.73,234.71,30323800
2025-09-05,235.84,237.78,233.09,235.89,47542500
2025-09-08,236.62,236.67,234.52,236.36,31487700
2025-09-09,236.01,236.07,233.55,234.97,35395800
2025-09-10,235.43,236.38,233.59,234.56,33910200
2025-09-11,234.97,239.02,234.37,238.89,43629800
2025-09-12,238.3,238.42,236.31,236.45,46097600
2025-09-15,237.33,238.14,236.66,237.45,33014000
2025-09-16,237.23,237.71,235.55,237.06,37059300
2025-09-17,237.6,243.03,235.81,237.67,79955600
2025-09-18,239.57,243.9,238.9,243.59,49167700
2025-09-19,244.31,244.31,241.27,241.74,56092000
2025-09-22,241.0,243.54,239.88,243.14,53572900
2025-09-23,243.76,245.92,242.2,242.59,41854500
2025-09-24,242.65,243.36,240.33,240.36,36002200
2025-09-25,237.76,238.76,236.34,238.07,37209500
2025-09-26,238.4,240.44,238.11,240.11,28942800
2025-09-29,241.6,241.69,239.58,240.38,26391500
2025-09-30,239.88,240.89,238.18,240.72,33447700
2025-10-01,239.34,241.8,239.32,241.25,28520000
2025-10-02,241.76,242.84,240.24,242.77,28687400
2025-10-03,244.1,246.82,243.78,244.57,34579600
2025-10-06,246.46,247.21,244.81,245.55,31507400
2025-10-07,246.1,246.37,241.95,242.91,31766600
2025-10-08,244.03,245.7,242.55,245.46,25825000
2025-10-09,245.05,245.99,242.76,243.88,26243100
2025-10-10,244.49,245.63,236.35,236.57,70569400
2025-10-13,240.59,243.38,240.17,243.16,36298600
2025-10-14,240.0,248.32,239.13,246.63,45320800
2025-10-15,249.08,251.48,245.8,249.05,45369000
2025-10-16,249.69,249.98,242.75,243.81,52740400
2025-10-17,242.08,243.91,240.24,242.17,55379500
2025-10-20,245.36,247.06,244.88,246.89,32545000
2025-10-21,246.17,247.1,244.25,245.73,26337900
2025-10-22,244.77,245.6,239.54,242.1,46578400
2025-10-23,243.04,245.86,242.43,245.16,28591000
2025-10-24,248.52,249.83,247.7,248.15,26627000
2025-10-27,250.49,250.92,248.22,249.02,31798100
2025-10-28,248.27,249.62,246.84,247.69,28075900
2025-10-29,247.57,249.86,243.44,245.58,56235300
2025-10-30,244.02,246.87,243.38,243.6,44538700
2025-10-31,243.74,245.53,242.44,244.97,37214700
2025-11-03,244.91,245.0,241.25,244.19,28887900
2025-11-04,240.55,242.81,239.77,239.97,34468700
2025-11-05,240.72,244.47,240.4,243.43,38229200
2025-11-06,243.01,243.54,238.77,239.12,40601200
2025-11-07,237.19,240.42,235.06,240.37,54978900
2025-11-10,243.76,243.99,241.01,242.78,31238000
2025-11-11,242.13,243.49,241.28,242.99,27357900
2025-11-12,243.59,245.12,242.09,242.39,34543200
2025-11-13,240.6,241.44,234.63,235.58,65710000
2025-11-14,232.15,237.51,232.08,236.27,58344400
2025-11-17,235.25,236.62,230.58,231.57,55765900
2025-11-18,230.13,233.88,229.78,232.28,63092500
2025-11-19,232.6,235.16,231.24,232.24,57280500
2025-11-20,236.03,237.88,227.73,227.94,95483000
2025-11-21,228.78,235.9,228.41,234.4,99504100
2025-11-24,234.75,239.16,234.28,238.67,36135300
2025-11-25,239.51,244.29,238.81,243.88,46160800
2025-11-26,243.8,247.56,243.52,246.04,34636600
2025-11-28,246.74,247.54,245.81,247.48,18911800
2025-12-01,244.31,246.42,244.09,244.36,36920000
2025-12-02,246.11,246.11,243.87,243.92,31918500
2025-12-03,244.71,248.56,244.23,248.35,32846300
2025-12-04,247.7,251.37,247.27,250.53,40245800
2025-12-05,250.2,251.37,249.0,249.49,36956600
2025-12-08,251.41,251.48,248.9,249.59,29100000
2025-12-09,248.97,251.66,248.82,250.1,30170100
2025-12-10,249.62,255.26,249.26,253.51,51105200
2025-12-11,253.34,256.69,253.02,256.48,41345200
2025-12-12,256.63,256.88,252.14,252.55,57657700
2025-12-15,254.24,254.38,250.45,250.64,43120100
2025-12-16,249.9,251.71,248.03,249.46,43115300
2025-12-17,249.93,251.71,246.26,246.8,38132400
2025-12-18,249.74,250.91,247.77,248.27,39068000
2025-12-19,248.84,250.95,248.62,250.34,43610400
2025-12-22,251.83,254.67,251.75,253.13,40497300
2025-12-23,251.97,252.77,251.01,251.63,24973500
2025-12-24,251.52,252.41,250.67,252.26,12103000
2025-12-26,252.13,252.3,249.96,250.97,17429900
2025-12-29,249.82,251.05,248.91,249.44,25218800
2025-12-30,249.53,249.71,247.51,247.59,22123600
2025-12-31,247.74,247.84,245.57,245.72,35352000
2026-01-02,247.19,248.65,245.42,248.34,40007700
2026-01-05,249.35,253.1,249.13,252.28,37428100
2026-01-06,251.79,255.79,251.07,255.63,40677800
2026-01-07,255.94,256.34,253.52,255.03,33052000
2026-01-08,254.25,258.47,253.91,257.81,37957000
2026-01-09,259.12,261.1,257.63,259.77,36301500
2026-01-12,258.82,261.2,257.78,261.04,28423400
2026-01-13,261.94,262.42,260.0,260.89,33882400
2026-01-14,260.67,262.99,259.73,262.72,37164300
2026-01-15,263.59,266.58,263.26,265.04,33465200
2026-01-16,265.4,266.75,264.24,265.29,33844900
2026-01-20,260.68,264.61,260.6,262.11,47911500
2026-01-21,264.17,268.11,262.45,267.31,59952800
2026-01-22,269.35,271.12,268.94,269.31,35110800
2026-01-23,268.56,268.57,263.99,264.34,42636700
2026-01-26,264.6,266.22,263.02,263.51,32119300
2026-01-27,263.58,264.39,262.19,264.26,26975500
2026-01-28,265.51,266.21,262.09,262.83,37139100
2026-01-29,263.6,264.59,258.95,262.9,43922900
2026-01-30,260.61,262.51,257.48,259.19,59164200
2026-02-02,258.02,263.3,257.89,261.71,42896200
2026-02-03,262.59,264.59,258.09,262.31,54588000
2026-02-04,263.69,264.18,256.68,260.06,48826500
2026-02-05,258.04,261.16,254.6,255.38,48279600
2026-02-06,259.28,265.25,259.12,264.55,43354900
2026-02-09,264.37,267.19,262.87,266.41,29064800
2026-02-10,266.76,268.04,265.41,265.69,24661700
2026-02-11,267.99,268.48,261.63,264.48,41829400
2026-02-12,266.55,266.99,257.93,259.08,47628200
2026-02-13,260.14,264.7,258.05,262.49,45360300
2026-02-17,261.91,263.89,258.6,262.57,33734800
2026-02-18,262.56,266.44,261.39,263.52,36034700
2026-02-19,262.1,264.17,260.62,264.13,31006000
2026-02-20,262.38,266.86,261.67,264.14,47126600
2026-02-23,262.93,263.9,257.64,260.03,44001100
2026-02-24,259.94,263.67,259.4,262.86,34884200
2026-02-25,264.78,264.81,261.96,264.11,26012100
2026-02-26,264.54,265.77,261.65,265.52,41206500
2026-02-27,261.63,262.29,259.31,260.95,40631500
2026-03-02,257.35,263.81,257.33,263.34,53495700
2026-03-03,256.34,260.66,252.86,258.78,59537000
2026-03-04,260.74,262.49,258.36,261.3,37979700
2026-03-05,258.53,260.3,253.71,256.3,60414600
2026-03-06,251.04,252.85,249.5,250.44,64192000
2026-03-09,247.15,254.2,243.96,253.17,65369500
2026-03-10,252.51,257.19,251.95,252.91,55879100
2026-03-11,251.89,253.93,250.14,252.4,50418100
2026-03-12,248.5,249.37,246.14,246.97,61802900
2026-03-13,248.82,250.16,245.1,246.15,53933300
2026-03-16,249.32,251.02,247.87,248.48,48755700
2026-03-17,249.87,251.71,248.96,250.05,40642800
2026-03-18,248.41,249.23,245.88,246.02,43192600
2026-03-19,243.03,250.09,242.52,247.63,59219500
2026-03-20,246.97,247.5,240.33,242.22,76749900
2026-03-23,247.17,251.36,246.11,247.45,78746600
2026-03-24,245.51,250.16,244.6,248.78,45210800
2026-03-25,251.74,253.07,249.52,251.82,45671700
2026-03-26,248.89,251.86,247.16,247.44,46830200
2026-03-27,246.01,246.74,242.41,243.1,48114400
2026-03-30,245.35,245.37,238.69,239.61,51290500
2026-03-31,243.04,248.92,242.24,248.0,58660800
2026-04-01,249.92,252.44,249.11,249.56,51295900
2026-04-02,244.94,252.37,244.87,251.29,30369200
2026-04-06,250.99,253.05,250.25,252.36,22151400
2026-04-07,251.21,253.48,249.52,252.91,34881900
2026-04-08,261.52,262.27,258.41,260.47,46680200
2026-04-09,258.78,262.9,258.78,261.96,26758400
2026-04-10,262.4,262.75,260.34,261.3,22365900
2026-04-13,260.24,265.36,260.02,265.07,23820000
2026-04-14,267.09,269.42,266.28,268.72,24270400
2026-04-15,268.78,269.59,267.59,269.39,21670600
2026-04-16,269.45,270.35,268.05,269.95,30847900
2026-04-17,273.74,277.63,273.12,275.78,46462700
2026-04-20,274.65,277.67,274.53,277.35,22993900
2026-04-21,278.18,279.79,273.76,274.51,32235200
2026-04-22,277.59,278.01,274.9,276.48,20274300
2026-04-23,276.73,277.87,271.95,275.52,32886600
2026-04-24,276.67,278.13,274.23,276.65,21568600
2026-04-27,276.82,278.24,276.25,277.14,23399400
2026-04-28,276.05,276.97,272.92,273.91,24139400
2026-04-29,273.92,274.38,270.36,272.08,29428900
2026-04-30,273.13,278.22,272.44,277.97,29220700
2026-05-01,278.66,279.81,276.57,279.28,28936700
2026-05-04,278.7,280.79,276.1,277.88,28632300
2026-05-05,280.13,282.95,280.0,282.56,24863200
2026-05-06,285.36,287.05,283.36,286.8,23330300
2026-05-07,287.53,287.58,281.15,282.26,28350400
2026-05-08,284.04,284.97,282.61,284.17,22474300
2026-05-11,284.92,287.05,284.59,285.33,20150400
2026-05-12,284.04,284.06,278.28,282.57,27404600
2026-05-13,282.92,283.56,279.93,282.67,20742300
2026-05-14,283.84,285.66,281.96,284.45,17428700
2026-05-15,280.3,280.33,277.24,277.6,35408000
2026-05-18,278.74,279.08,273.94,275.97,27243300
2026-05-19,273.81,275.08,270.63,273.0,30276900
2026-05-20,274.91,280.09,273.41,279.87,31562000
2026-05-21,278.66,283.68,277.15,282.49,31680500
2026-05-22,284.1,286.61,283.67,285.12,23849300
2026-05-26,288.39,290.55,287.74,290.51,24506500
2026-05-27,291.16,291.72,289.31,290.37,24519900
2026-05-28,289.64,292.74,287.98,292.03,23710600
2026-05-29,291.38,291.41,288.33,290.43,26952800
2026-06-01,288.37,290.61,286.27,288.98,23826100
2026-06-02,288.46,291.87,288.4,291.66,18378800
2026-06-03,289.99,290.01,286.78,287.67,29167300
2026-06-04,287.56,292.88,286.66,292.01,24307800
2026-06-05,289.1,289.4,280.15,281.65,35812800
2026-06-08,285.51,286.84,283.58,284.11,27277400
2026-06-09,287.18,290.87,277.62,285.02,41761300
2026-06-10,284.59,289.0,281.76,282.05,39285000
2026-06-11,284.44,291.06,284.07,290.41,41405200
2026-06-12,291.63,295.71,290.31,293.76,20012773
