date,open,high,low,close,volume
2025-06-12,152.43,152.86,151.39,152.84,7075500
2025-06-13,152.17,153.83,152.17,153.27,6587500
2025-06-16,152.61,152.68,150.68,151.44,7024000
2025-06-17,151.19,151.49,148.39,148.67,6407100
2025-06-18,148.85,148.93,147.04,147.06,8325200
2025-06-20,147.57,147.71,145.41,146.14,22605500
2025-06-23,146.09,147.74,146.09,147.63,7397900
2025-06-24,147.81,149.0,147.3,148.48,9544200
2025-06-25,147.69,149.34,147.06,148.57,7153700
2025-06-26,148.98,149.48,147.84,148.3,7156900
2025-06-27,148.3,149.59,147.33,148.69,10010800
2025-06-30,148.45,149.24,147.83,149.03,9039300
2025-07-01,149.27,153.9,149.08,152.12,10896700
2025-07-02,152.2,152.49,151.29,151.77,5544000
2025-07-03,151.64,152.47,151.1,152.21,3482500
2025-07-07,152.22,152.54,151.11,151.48,6270900
2025-07-08,150.71,152.94,150.45,151.99,6438200
2025-07-09,151.99,152.87,151.29,152.47,6147400
2025-07-10,152.29,155.36,152.02,153.85,6732900
2025-07-11,153.26,153.35,151.4,153.08,7872000
2025-07-14,153.05,153.63,151.73,153.0,10185600
2025-07-15,152.55,153.36,151.03,151.39,6873200
2025-07-16,156.39,162.07,155.9,160.76,22134800
2025-07-17,159.2,160.69,158.34,159.01,11295700
2025-07-18,159.93,161.08,159.38,159.71,9792600
2025-07-21,159.78,160.9,158.81,160.35,8254000
2025-07-22,160.98,163.96,160.69,163.84,9288000
2025-07-23,164.49,165.0,162.53,164.98,10617600
2025-07-24,165.37,165.85,164.76,165.43,6636900
2025-07-25,165.61,165.74,163.36,164.2,6254900
2025-07-28,163.77,163.85,161.03,162.17,8014600
2025-07-29,162.61,164.67,162.31,164.01,7663400
2025-07-30,163.61,164.5,162.71,163.18,6189200
2025-07-31,161.89,163.0,160.23,160.72,11036200
2025-08-01,161.45,163.53,160.77,163.25,8927800
2025-08-04,162.96,167.02,162.58,166.87,12679100
2025-08-05,166.38,167.38,165.51,166.58,7934400
2025-08-06,165.77,167.98,165.54,166.43,8957200
