date,open,high,low,close,volume
2025-06-12,70.21,70.36,69.58,70.2,12806900
2025-06-13,70.24,70.35,69.23,69.51,17467200
2025-06-16,69.69,70.1,68.75,69.02,15045900
2025-06-17,68.88,68.96,68.1,68.14,15437000
2025-06-18,68.51,68.51,67.62,67.74,16227600
2025-06-20,67.62,68.08,67.32,67.38,40859400
2025-06-23,67.67,68.33,67.5,68.26,21822800
2025-06-24,68.45,68.85,68.21,68.72,15216100
2025-06-25,68.44,68.53,67.95,68.15,12540400
2025-06-26,68.22,68.43,67.68,67.99,14454100
2025-06-27,68.11,69.06,67.99,68.83,23470700
2025-06-30,68.64,69.28,68.6,69.25,15429000
2025-07-01,69.48,70.91,69.39,70.15,21729300
2025-07-02,70.17,70.3,69.24,69.4,13050200
2025-07-03,69.53,69.88,68.95,69.83,9440500
2025-07-07,69.85,69.85,69.29,69.5,16984700
2025-07-08,69.18,69.18,68.39,68.75,17115500
2025-07-09,68.67,68.76,67.5,68.0,33704100
2025-07-10,67.82,68.36,67.69,68.29,14608400
2025-07-11,68.09,68.67,67.78,68.38,12916700
2025-07-14,68.32,68.59,67.8,67.99,13983200
2025-07-15,68.03,68.07,67.68,67.89,12639800
2025-07-16,67.88,68.02,67.33,67.8,13178300
2025-07-17,68.33,69.19,68.03,69.09,20464700
2025-07-18,68.94,69.2,68.35,68.36,14928000
2025-07-21,68.7,69.12,68.44,68.58,17811700
2025-07-22,67.97,68.77,67.23,68.18,22339900
2025-07-23,68.18,68.26,67.14,67.69,21030000
2025-07-24,67.79,68.07,67.52,67.63,12511400
2025-07-25,67.66,67.76,67.29,67.7,12574800
2025-07-28,67.28,67.44,66.61,66.64,13668800
2025-07-29,66.89,67.94,66.7,67.9,16223400
2025-07-30,67.64,67.86,67.07,67.29,10448200
2025-07-31,66.7,67.19,66.3,66.45,17193400
2025-08-01,67.14,67.57,66.82,67.4,16107500
2025-08-04,67.26,67.61,66.86,67.49,10701500
2025-08-05,67.44,68.01,67.29,67.58,11993400
2025-08-06,67.65,68.32,67.17,68.03,10783000
2025-08-07,67.98,69.22,67.86,68.93,15790800
2025-08-08,68.86,69.36,68.59,68.84,9232700
2025-08-11,68.81,69.35,68.47,69.25,10909400
2025-08-12,69.31,69.55,68.73,69.21,11061100
2025-08-13,69.19,69.27,68.74,68.96,10356500
2025-08-14,68.88,68.96,67.91,68.07,10722400
2025-08-15,68.26,68.89,68.09,68.43,12381100
2025-08-18,68.49,68.56,67.58,67.66,14094900
2025-08-19,67.83,68.73,67.77,68.64,13862200
2025-08-20,69.24,70.19,68.91,69.2,17530800
2025-08-21,69.1,69.4,68.83,69.16,8840400
2025-08-22,69.45,69.51,68.43,68.64,12999600
2025-08-25,68.62,68.74,67.26,67.46,13634600
2025-08-26,67.57,67.61,67.12,67.27,17964200
2025-08-27,67.36,67.41,67.01,67.37,11562700
2025-08-28,67.42,67.44,66.83,66.91,16209900
2025-08-29,67.21,67.67,66.98,67.52,14601100
2025-09-02,67.49,67.87,66.81,67.59,24770100
2025-09-03,67.2,67.63,65.94,67.52,33581500
2025-09-04,67.64,67.98,66.66,66.8,16736000
2025-09-05,66.56,67.12,66.43,66.52,23978000
2025-09-08,66.42,66.44,65.73,66.0,21671700
2025-09-09,65.85,66.66,65.85,66.42,14120600
2025-09-10,66.35,66.64,65.78,66.38,16041900
2025-09-11,66.48,66.72,66.14,66.18,15128700
2025-09-12,66.16,66.28,65.52,65.59,18712400
2025-09-15,65.76,65.86,65.19,65.3,15986100
2025-09-16,65.44,65.6,65.15,65.33,18555900
2025-09-17,65.5,66.21,65.5,66.12,17372300
2025-09-18,65.88,66.12,65.44,65.55,17722900
2025-09-19,65.58,65.81,65.14,65.52,31192900
2025-09-22,65.25,65.67,65.17,65.3,13298700
2025-09-23,65.44,65.84,64.99,65.79,15072800
2025-09-24,65.5,65.86,65.05,65.54,14759300
2025-09-25,65.83,66.0,65.04,65.07,14395000
2025-09-26,65.16,65.42,64.6,64.77,17821600
2025-09-29,64.77,65.19,64.45,65.13,14818500
2025-09-30,65.16,65.72,65.05,65.41,13815000
2025-10-01,65.6,65.91,65.38,65.86,14877500
2025-10-02,65.61,65.73,64.95,65.19,14350700
2025-10-03,65.19,66.07,65.13,65.73,12249200
2025-10-06,65.58,65.59,64.93,65.19,14333300
2025-10-07,65.31,66.33,64.96,65.87,13328300
2025-10-08,65.75,65.95,65.15,65.21,12606700
2025-10-09,65.38,65.88,65.21,65.46,12705200
2025-10-10,65.6,66.47,65.47,66.12,17991700
2025-10-13,65.32,65.88,65.09,65.88,13690000
2025-10-14,65.95,66.64,65.83,66.58,14245600
2025-10-15,66.34,66.79,66.0,66.16,11193700
2025-10-16,66.26,67.17,66.24,66.66,15707200
2025-10-17,67.06,67.56,66.87,67.5,15541800
2025-10-20,67.49,67.7,66.99,67.5,17786800
2025-10-21,69.6,70.41,69.26,70.24,33651300
2025-10-22,70.38,70.63,69.54,69.84,18293000
2025-10-23,69.84,69.95,68.76,68.98,13989400
2025-10-24,68.95,69.09,68.69,68.75,15688200
2025-10-27,68.82,69.16,68.3,69.1,13800000
2025-10-28,69.09,69.92,68.99,69.19,12730500
2025-10-29,68.96,69.07,67.22,67.41,19789600
2025-10-30,67.51,68.34,67.45,68.03,14751700
2025-10-31,67.61,68.12,66.97,67.95,16742700
2025-11-03,67.85,67.94,66.73,67.03,15660400
2025-11-04,67.53,67.78,67.22,67.72,12743800
2025-11-05,67.72,67.88,67.24,67.57,12850100
2025-11-06,67.36,68.19,66.99,68.11,15906700
2025-11-07,68.85,69.9,68.46,69.58,25108300
2025-11-10,69.05,69.69,68.48,69.55,15318000
2025-11-11,70.0,70.76,69.69,70.62,16160200
2025-11-12,70.51,70.9,70.36,70.53,13612600
2025-11-13,70.44,70.68,70.02,70.09,14002800
2025-11-14,70.43,70.65,69.63,70.18,13172000
2025-11-17,70.22,70.55,69.65,69.71,14772300
2025-11-18,70.01,70.36,69.6,70.24,12838900
2025-11-19,70.22,70.47,69.84,70.13,12401500
2025-11-20,69.97,70.5,69.64,70.23,15396500
2025-11-21,70.69,72.18,70.51,71.95,26492500
2025-11-24,72.15,72.15,70.59,71.59,39818600
2025-11-25,71.8,71.93,71.15,71.61,17451200
2025-11-26,71.6,72.08,71.39,71.88,11795100
2025-11-28,72.0,72.22,71.76,72.11,7423000
2025-12-01,72.1,72.41,71.44,71.46,14388100
2025-12-02,71.31,71.31,69.95,70.19,19871300
2025-12-03,70.4,70.91,70.13,70.33,17001700
2025-12-04,70.35,70.85,69.89,69.97,17710000
2025-12-05,69.84,70.23,69.39,69.52,13978200
2025-12-08,69.36,69.9,69.02,69.77,17775100
2025-12-09,69.89,70.15,69.35,69.61,13010600
2025-12-10,69.91,70.05,69.3,69.73,29789400
2025-12-11,70.07,70.21,68.32,68.64,23124200
2025-12-12,68.64,70.14,68.57,70.04,18444500
2025-12-15,69.95,70.83,69.84,70.49,18660100
2025-12-16,70.81,70.81,69.84,69.89,17370000
2025-12-17,70.09,70.44,69.83,70.19,13672700
2025-12-18,69.79,70.32,69.69,69.88,15524800
2025-12-19,69.58,70.29,69.55,69.58,36911100
2025-12-22,69.45,69.74,69.18,69.73,12828500
2025-12-23,69.72,69.78,69.21,69.39,9471000
2025-12-24,69.42,69.68,69.27,69.63,4515300
2025-12-26,69.47,69.68,69.25,69.39,5711400
2025-12-29,69.52,69.94,69.37,69.68,9686900
2025-12-30,69.52,69.76,69.32,69.59,8610900
2025-12-31,69.59,69.68,69.4,69.43,8127800
2026-01-02,69.37,69.39,68.51,68.65,12151300
2026-01-05,68.45,68.45,67.46,67.48,21186600
2026-01-06,67.55,67.78,67.13,67.38,21019900
2026-01-07,67.53,67.61,66.81,67.08,20223400
2026-01-08,67.08,68.99,66.99,68.9,19237000
2026-01-09,68.96,70.18,68.65,70.03,19638600
2026-01-12,70.42,70.49,69.76,70.02,20582500
2026-01-13,69.94,70.75,69.79,70.75,18324800
2026-01-14,70.68,71.22,70.33,70.95,16739100
2026-01-15,71.1,71.11,69.89,70.0,15464100
2026-01-16,69.81,70.26,69.56,69.96,20027500
2026-01-20,69.52,71.29,69.31,71.26,22152200
2026-01-21,71.49,71.75,70.35,71.52,21660600
2026-01-22,71.34,71.55,70.95,71.38,13962800
2026-01-23,71.53,72.56,71.29,72.38,18307100
2026-01-26,72.36,72.8,72.04,72.06,14017400
2026-01-27,71.95,73.06,71.78,73.05,13239200
2026-01-28,72.71,73.12,72.07,72.56,14633700
2026-01-29,72.68,73.58,72.64,72.93,20862100
2026-01-30,73.21,74.39,73.04,74.3,26420500
2026-02-02,74.5,75.18,73.89,74.82,19301500
2026-02-03,74.76,76.97,74.62,76.36,27007100
2026-02-04,76.74,77.58,76.55,76.82,28607300
2026-02-05,77.29,78.32,77.06,77.97,21633500
2026-02-06,77.96,78.66,77.73,78.49,18512400
2026-02-09,78.13,78.57,77.01,77.44,23415600
2026-02-10,76.11,76.98,75.49,76.29,28848200
