date,open,high,low,close,volume
2025-06-12,462.2,465.88,460.26,464.28,1572800
2025-06-13,464.39,466.61,458.95,459.79,1415800
2025-06-16,460.61,463.32,458.71,460.4,1586500
2025-06-17,458.89,459.39,454.09,454.78,1272700
2025-06-18,454.78,456.29,452.18,452.61,1223200
2025-06-20,456.35,457.09,449.33,449.81,4365000
2025-06-23,451.24,453.95,446.93,453.64,1611000
2025-06-24,454.75,457.77,452.79,457.01,1470600
2025-06-25,455.6,457.66,453.62,454.09,1608900
2025-06-26,454.7,460.24,452.42,458.29,1983000
2025-06-27,458.37,461.16,455.72,457.63,2643200
2025-06-30,460.01,463.8,457.39,462.95,1856200
2025-07-01,463.55,471.49,462.74,470.42,1856300
2025-07-02,469.71,472.36,468.14,470.83,1423100
2025-07-03,470.29,470.87,467.7,469.26,952700
2025-07-07,466.1,467.41,461.58,463.35,2099500
2025-07-08,462.16,465.52,461.32,463.71,1627200
2025-07-09,466.14,470.13,461.35,465.01,1522500
2025-07-10,465.77,465.95,462.82,464.09,2238500
2025-07-11,462.78,463.38,458.31,462.58,1326400
2025-07-14,462.21,463.76,460.11,462.55,1133000
2025-07-15,461.95,463.03,453.96,454.44,1263700
2025-07-16,454.38,456.4,449.94,453.56,1438000
2025-07-17,452.76,455.98,451.0,455.16,1515000
2025-07-18,457.73,459.29,454.91,458.83,2267600
2025-07-21,458.83,469.9,458.05,464.18,1797700
2025-07-22,464.18,470.05,462.68,465.75,1405300
2025-07-23,467.18,467.9,463.46,463.75,1193900
2025-07-24,460.44,465.89,456.3,465.23,1383200
2025-07-25,466.16,467.37,462.35,466.61,1212100
2025-07-28,462.52,465.09,459.82,461.25,1283700
2025-07-29,463.66,465.41,461.04,465.25,1386100
2025-07-30,465.14,466.07,459.08,460.04,1301600
2025-07-31,452.32,461.39,452.32,454.15,2228600
2025-08-01,452.24,456.37,443.35,453.31,2219300
2025-08-04,453.75,462.27,453.75,461.19,1684900
2025-08-05,461.72,464.78,459.78,463.6,1691000
2025-08-06,465.5,467.09,461.73,465.22,1275900
2025-08-07,467.04,469.47,461.28,463.19,1090400
2025-08-08,462.77,467.1,462.46,466.15,939300
2025-08-11,464.84,467.14,459.94,464.13,1069200
2025-08-12,464.25,468.18,463.7,466.94,1347700
2025-08-13,468.27,469.83,462.28,469.31,1797800
2025-08-14,469.39,472.24,466.34,471.29,1545400
2025-08-15,474.49,476.26,472.22,473.7,1951300
2025-08-18,474.05,474.66,470.82,472.15,1218100
2025-08-19,472.11,476.41,470.22,473.55,1512400
2025-08-20,476.38,479.92,474.12,475.95,1160900
2025-08-21,475.01,476.5,473.67,474.33,1263500
2025-08-22,477.63,479.28,473.32,475.27,1782500
2025-08-25,475.52,477.57,470.35,471.5,1151800
2025-08-26,469.96,475.69,468.7,475.52,1699500
2025-08-27,473.78,477.39,473.01,476.3,2259600
2025-08-28,476.15,476.59,472.77,475.75,2579200
2025-08-29,475.78,476.9,470.66,471.94,2058200
2025-09-02,470.83,470.83,466.22,467.84,1262500
2025-09-03,465.54,467.93,463.76,465.51,1617900
2025-09-04,465.99,468.14,463.86,467.6,1660600
2025-09-05,466.37,470.24,461.86,464.76,1066200
2025-09-08,464.9,470.26,461.87,469.82,1677200
2025-09-09,468.32,469.71,465.61,468.64,2966100
2025-09-10,468.14,470.12,464.73,467.91,1551500
2025-09-11,468.12,479.53,467.69,478.69,1907400
2025-09-12,474.3,479.02,474.28,477.15,2069700
2025-09-15,476.5,478.4,470.7,471.9,1130700
2025-09-16,471.61,473.59,466.13,466.69,1470500
2025-09-17,469.1,476.5,467.23,475.0,1698800
2025-09-18,474.04,475.08,466.52,471.18,1650900
2025-09-19,472.67,476.01,469.2,474.16,3742100
2025-09-22,472.15,473.83,469.48,472.92,1562700
2025-09-23,473.57,478.08,469.84,475.08,1462900
2025-09-24,474.74,476.86,468.52,469.32,1579400
2025-09-25,469.32,471.52,465.15,468.98,1536700
2025-09-26,467.94,470.34,465.95,469.6,1476400
2025-09-29,469.93,471.88,466.62,471.66,1859600
2025-09-30,468.9,473.93,468.43,470.19,2171200
2025-10-01,467.99,470.27,456.13,462.08,2286100
2025-10-02,458.73,465.52,458.26,464.72,1677500
2025-10-03,462.29,464.67,458.31,462.0,1250700
2025-10-06,462.0,465.8,460.39,463.8,1539000
2025-10-07,463.36,465.8,461.17,465.6,1283300
2025-10-08,465.54,466.91,462.79,463.09,1208500
2025-10-09,463.11,465.24,452.87,453.52,1499900
2025-10-10,453.43,458.35,448.33,449.22,2038900
2025-10-13,451.93,455.14,450.39,452.01,1287400
2025-10-14,448.66,457.39,448.48,454.6,1664800
2025-10-15,454.38,456.85,446.22,446.84,1838000
2025-10-16,447.46,447.88,436.48,439.74,3033700
2025-10-17,439.7,446.76,438.4,446.32,2365300
2025-10-20,447.78,450.63,445.15,446.98,1895900
2025-10-21,445.98,447.86,443.84,445.52,1766100
2025-10-22,445.77,450.47,443.21,445.36,1856800
2025-10-23,447.99,448.08,444.11,445.52,1527000
2025-10-24,444.98,445.84,441.07,441.48,1593300
2025-10-27,443.11,445.59,439.76,440.31,2337600
2025-10-28,440.96,442.69,437.51,438.23,2110300
2025-10-29,434.34,434.99,426.85,427.63,4087200
2025-10-30,428.07,430.78,424.27,425.55,3635300
2025-10-31,420.69,422.09,410.27,414.06,4072800
2025-11-03,417.97,417.97,404.85,408.0,4908100
2025-11-04,411.95,417.05,409.8,413.7,3483500
2025-11-05,412.07,415.54,410.79,413.99,3076400
2025-11-06,412.13,415.24,409.4,411.11,3443900
2025-11-07,412.77,418.53,409.8,416.25,2563300
2025-11-10,416.26,417.89,411.7,416.41,2624200
2025-11-11,421.43,424.06,417.66,422.33,2477700
2025-11-12,423.66,427.19,420.59,424.61,2592700
2025-11-13,422.87,424.65,416.65,424.3,2873300
2025-11-14,424.3,425.74,418.78,419.1,2469700
2025-11-17,417.34,419.09,413.33,413.62,2249300
2025-11-18,414.49,415.13,409.46,410.52,2586700
2025-11-19,410.53,411.85,406.57,409.01,2635300
2025-11-20,410.4,411.73,404.07,404.37,2723600
2025-11-21,403.25,412.2,402.3,408.56,3100100
2025-11-24,406.08,408.28,402.59,403.54,4038300
2025-11-25,407.5,408.69,401.97,403.72,3580000
2025-11-26,403.37,406.33,402.9,403.77,2591500
2025-11-28,403.69,407.41,402.35,406.16,1160800
2025-12-01,405.86,407.4,402.6,403.01,2074800
