date,open,high,low,close,volume
2025-06-12,124.94,127.29,124.77,127.26,11444900
2025-06-13,126.74,127.99,125.62,125.87,9581000
2025-06-16,126.31,127.06,125.27,126.41,11183700
2025-06-17,126.16,126.67,124.21,124.37,10235200
2025-06-18,124.69,124.74,123.69,124.15,8785800
2025-06-20,124.6,125.45,123.99,124.15,23001000
2025-06-23,124.37,124.57,122.95,124.17,12840400
2025-06-24,124.22,126.21,124.14,126.06,9226800
2025-06-25,125.3,125.62,122.77,123.14,10922600
2025-06-26,122.85,124.24,122.74,123.34,11538100
2025-06-27,123.4,126.34,123.23,126.05,26536500
2025-06-30,126.2,127.32,125.62,127.01,11402400
2025-07-01,127.54,131.2,127.42,130.11,12846700
2025-07-02,130.1,131.78,129.74,131.28,9388700
2025-07-03,131.49,131.62,130.09,130.22,4941400
2025-07-07,130.37,130.55,128.59,129.33,7773700
2025-07-08,128.33,130.5,128.2,129.9,7718300
2025-07-09,129.76,130.22,127.9,129.36,7762600
2025-07-10,129.31,131.47,128.54,130.9,8869700
2025-07-11,129.7,130.23,128.71,130.11,7963600
2025-07-14,129.62,130.71,128.76,130.41,8480300
2025-07-15,130.27,130.35,128.66,128.71,8933500
2025-07-16,128.85,130.35,128.66,130.2,10941600
2025-07-17,136.3,140.4,136.25,139.9,26161000
2025-07-18,140.69,140.78,137.5,137.78,13752800
2025-07-21,137.65,138.12,135.11,136.3,9025600
2025-07-22,135.85,140.82,135.85,140.48,8281500
2025-07-23,140.3,141.43,139.56,140.11,6166000
2025-07-24,140.27,140.89,138.5,139.01,9749400
2025-07-25,139.29,139.3,137.27,137.99,7021600
2025-07-28,137.27,137.65,136.07,136.18,10639100
2025-07-29,136.18,138.51,135.76,138.41,6282900
2025-07-30,138.29,138.9,136.87,137.42,9738400
2025-07-31,135.61,136.18,132.4,132.67,11689700
2025-08-01,133.8,134.49,133.02,133.98,7630500
2025-08-04,133.99,134.98,133.47,134.24,8384700
2025-08-05,134.28,135.0,133.96,134.14,5535100
2025-08-06,134.57,136.19,134.05,135.44,6747400
2025-08-07,135.86,138.81,135.13,138.44,7674600
2025-08-08,138.44,139.83,138.32,139.68,5315100
2025-08-11,139.79,140.05,138.28,139.35,5773400
2025-08-12,140.01,141.41,139.21,141.28,7668700
2025-08-13,141.3,143.84,141.26,143.66,6147000
2025-08-14,143.36,143.81,142.41,142.96,6892500
2025-08-15,143.7,145.35,142.83,144.67,9162200
2025-08-18,144.82,144.82,143.25,143.85,9901000
2025-08-19,144.29,146.52,144.15,146.37,8596900
2025-08-20,147.38,148.72,143.03,144.99,10023500
2025-08-21,144.6,144.6,142.94,143.31,8153600
2025-08-22,143.95,145.42,143.41,143.94,5218000
2025-08-25,142.78,143.15,141.96,142.56,6624300
2025-08-26,141.88,142.6,140.26,141.4,11208100
2025-08-27,141.4,142.16,140.74,142.02,8092900
2025-08-28,142.33,142.4,140.66,141.38,9265100
2025-08-29,141.5,143.54,141.28,142.99,7760700
2025-09-02,151.44,151.79,144.49,144.56,17348600
2025-09-03,144.24,144.73,141.51,142.98,11259200
2025-09-04,143.34,143.78,140.87,141.3,6342200
2025-09-05,141.81,143.64,141.11,142.19,7186300
2025-09-08,141.54,141.54,136.33,137.65,11127600
2025-09-09,137.13,139.51,137.05,139.0,5866400
2025-09-10,138.15,139.01,137.36,138.57,6015100
2025-09-11,138.79,140.6,138.41,140.09,6144400
2025-09-12,139.94,140.11,138.8,139.41,5713700
2025-09-15,139.29,139.41,136.5,136.61,7279600
2025-09-16,136.66,137.26,135.9,136.01,9283500
2025-09-17,136.15,137.97,136.13,137.18,6092900
2025-09-18,136.61,137.57,136.36,136.69,6106600
2025-09-19,137.4,138.01,136.43,137.7,12365500
2025-09-22,137.03,137.46,135.93,136.99,5797600
2025-09-23,137.0,138.15,135.95,137.83,6356500
2025-09-24,137.74,138.26,136.97,138.09,5949100
2025-09-25,138.9,139.31,135.85,135.91,7101700
2025-09-26,135.93,136.95,135.84,136.41,6224700
2025-09-29,136.41,136.64,135.13,136.15,11930200
2025-09-30,136.15,136.99,135.82,136.41,7583400
2025-10-01,136.77,139.26,136.45,139.04,5880800
2025-10-02,137.82,139.14,137.32,138.23,4497300
2025-10-03,138.18,139.25,137.79,137.91,5425700
2025-10-06,137.7,137.78,134.9,135.69,6750700
2025-10-07,136.34,137.77,135.68,136.75,6110300
2025-10-08,136.75,136.94,134.71,134.86,8256700
2025-10-09,136.43,140.59,134.62,140.56,13706600
2025-10-10,141.45,146.5,140.84,145.78,17545200
2025-10-13,144.39,145.68,143.12,144.62,7272000
2025-10-14,144.43,147.27,144.24,147.19,8371100
2025-10-15,146.99,148.02,144.89,146.83,6101100
2025-10-16,148.01,149.95,147.92,148.29,8532900
2025-10-17,149.36,149.5,147.39,149.3,6710100
2025-10-20,149.99,149.99,148.34,149.23,4810600
2025-10-21,150.26,150.74,148.46,148.79,5614300
2025-10-22,148.76,150.73,148.33,148.64,6486000
2025-10-23,148.78,149.0,146.7,147.17,6091800
2025-10-24,147.68,148.05,146.93,147.2,3580200
2025-10-27,146.68,148.49,146.63,148.25,4744600
2025-10-28,147.07,148.82,145.62,145.82,5626500
2025-10-29,143.8,144.4,139.55,141.97,7767600
2025-10-30,142.14,143.84,142.06,143.32,5752700
2025-10-31,142.01,142.78,141.13,141.9,6313600
2025-11-03,141.68,141.73,139.14,139.48,8331500
2025-11-04,140.55,140.77,137.99,138.8,8302900
2025-11-05,138.8,139.17,137.52,138.76,7136400
2025-11-06,138.33,139.1,137.25,137.52,6449400
2025-11-07,138.83,139.92,137.59,138.85,7592300
2025-11-10,138.4,138.92,137.21,138.53,6617500
2025-11-11,139.17,141.58,138.59,140.92,7683600
2025-11-12,140.41,141.33,139.93,140.25,5790100
2025-11-13,139.97,142.19,139.53,140.86,6663300
2025-11-14,141.71,142.63,139.8,141.67,5770500
2025-11-17,141.93,143.86,141.06,143.59,7320200
2025-11-18,144.05,145.53,143.22,144.5,10821500
2025-11-19,144.05,144.53,142.48,142.89,8123200
2025-11-20,142.4,142.86,140.74,141.91,6878900
2025-11-21,142.09,144.67,141.79,142.13,7911800
2025-11-24,141.65,142.14,140.61,141.33,9391400
2025-11-25,141.75,142.9,141.4,141.92,8954000
2025-11-26,142.12,144.21,142.04,143.74,5180600
2025-11-28,143.01,144.55,143.01,144.47,2969300
2025-12-01,144.37,145.52,144.25,145.22,7623300
2025-12-02,145.17,145.22,142.33,144.35,6830300
2025-12-03,144.43,146.38,143.67,143.81,5109200
2025-12-04,143.51,144.0,141.94,142.7,6803000
2025-12-05,142.83,143.0,141.74,142.24,5971300
2025-12-08,142.23,143.75,141.44,142.84,6327400
2025-12-09,143.54,144.73,141.15,141.87,10035200
2025-12-10,144.94,146.91,144.18,146.83,18526400
2025-12-11,147.27,148.0,145.29,146.18,7854000
2025-12-12,146.88,147.78,145.89,147.76,8143100
2025-12-15,148.05,148.79,147.4,148.32,8409600
2025-12-16,149.08,149.43,147.11,147.49,7520300
2025-12-17,147.5,148.34,146.61,147.2,8067100
2025-12-18,146.93,147.49,146.39,146.51,6643200
2025-12-19,146.29,147.02,145.06,145.32,17543500
2025-12-22,144.7,146.12,143.6,144.23,8818700
2025-12-23,144.37,144.37,140.81,140.93,7254800
2025-12-24,141.03,141.23,140.21,140.98,2618700
2025-12-26,140.81,141.18,140.35,141.02,4975500
2025-12-29,140.98,142.27,140.85,141.47,7201900
2025-12-30,141.21,142.48,141.16,141.4,4713800
2025-12-31,141.07,141.27,140.41,140.77,4380300
2026-01-02,140.47,140.66,139.38,139.5,7182100
2026-01-05,138.94,139.09,136.73,137.24,9031400
2026-01-06,137.0,137.37,135.91,136.3,9576500
2026-01-07,136.55,137.15,134.33,134.38,8539800
2026-01-08,133.95,136.81,133.4,136.7,8762800
2026-01-09,136.77,138.09,136.04,137.23,6767600
2026-01-12,137.23,138.8,135.9,138.65,12223400
2026-01-13,138.39,140.9,138.34,140.73,9030200
2026-01-14,140.4,143.49,140.4,143.12,8329500
2026-01-15,143.26,144.2,142.74,143.76,5797800
2026-01-16,144.34,144.72,142.72,143.51,10313500
2026-01-20,143.42,144.83,141.55,144.83,9982800
2026-01-21,144.23,145.17,142.16,143.93,7679600
2026-01-22,143.87,144.31,141.41,141.63,8167400
2026-01-23,141.1,142.06,140.32,141.81,5870100
2026-01-26,142.02,143.12,141.38,143.07,6589600
2026-01-27,142.96,145.97,142.54,145.93,7114900
2026-01-28,145.56,147.16,144.93,145.65,5954100
2026-01-29,145.99,147.97,145.59,145.84,9062300
2026-01-30,146.15,150.94,145.74,150.68,12641300
2026-02-02,151.11,153.62,150.25,152.22,14660500
2026-02-03,153.6,160.31,152.52,159.73,19096400
2026-02-04,161.73,164.72,161.02,162.99,13322900
2026-02-05,163.32,164.79,162.08,164.32,11038800
2026-02-06,164.24,167.48,164.05,167.22,10960400
2026-02-09,166.25,166.67,161.78,163.28,10316200
2026-02-10,162.57,164.2,160.6,163.77,10352500
2026-02-11,164.44,167.01,162.84,165.91,6733400
2026-02-12,166.5,168.19,163.89,163.99,9516300
2026-02-13,163.99,164.66,161.84,162.76,9286100
2026-02-17,162.93,164.33,157.73,158.82,8749800
2026-02-18,158.69,161.38,157.55,161.24,7239800
2026-02-19,161.24,161.89,160.0,161.43,6155800
2026-02-20,161.49,161.81,159.89,161.78,4811800
2026-02-23,161.34,165.57,161.09,165.09,6801600
2026-02-24,165.0,166.53,164.55,166.29,6319800
2026-02-25,165.38,166.25,162.82,165.93,6832700
2026-02-26,166.38,166.8,163.95,164.37,7219300
2026-02-27,165.15,167.01,164.6,166.49,10585200
2026-03-02,165.81,166.29,163.94,164.07,7264000
2026-03-03,163.35,164.01,160.53,161.75,6718100
2026-03-04,161.88,162.75,160.24,160.78,6855400
2026-03-05,159.05,160.27,157.09,157.62,7133700
2026-03-06,156.6,157.87,154.46,157.77,5937900
2026-03-09,157.51,160.74,156.45,159.85,6416000
2026-03-10,159.03,161.16,157.93,159.11,5341300
2026-03-11,158.64,159.23,156.25,158.48,4359700
2026-03-12,157.22,159.86,157.04,157.21,6165600
2026-03-13,158.12,159.83,157.58,158.22,4676800
2026-03-16,159.68,159.9,155.9,156.08,4498700
2026-03-17,157.18,157.45,154.66,154.87,5460200
2026-03-18,153.63,154.49,151.69,151.94,5124400
2026-03-19,152.15,153.07,151.07,151.15,5555500
2026-03-20,150.86,151.81,147.79,148.48,14480700
2026-03-23,150.71,150.71,148.38,149.31,6783000
2026-03-24,148.88,150.99,148.64,149.02,5803700
2026-03-25,149.72,150.26,147.48,150.15,4978500
2026-03-26,150.35,151.56,149.1,149.26,5677100
2026-03-27,149.57,152.93,148.9,151.45,6663600
2026-03-30,152.22,156.74,151.77,155.19,10386800
2026-03-31,156.03,156.03,152.56,153.67,8033800
2026-04-01,151.95,153.53,151.66,153.04,5412600
2026-04-02,153.05,155.42,152.61,155.38,5410000
2026-04-06,154.78,155.23,153.78,155.1,3562500
2026-04-07,154.55,154.91,150.98,151.61,5151100
2026-04-08,150.3,153.21,150.17,153.19,6878500
2026-04-09,152.1,156.36,151.65,155.85,4339400
2026-04-10,155.52,156.15,154.7,155.42,4412700
2026-04-13,155.36,155.4,153.34,154.26,5827800
2026-04-14,152.9,155.0,152.68,154.1,5655800
2026-04-15,153.41,154.14,151.74,153.24,7684800
2026-04-16,153.92,158.13,152.65,156.73,10422100
2026-04-17,156.61,158.36,154.84,156.03,7799900
2026-04-20,157.09,157.19,154.22,155.36,5731000
2026-04-21,155.11,155.4,152.13,153.31,6357300
2026-04-22,153.47,155.58,151.95,152.19,5921300
2026-04-23,153.54,154.98,152.96,154.08,6077600
2026-04-24,154.31,154.65,153.05,153.82,5364900
2026-04-27,153.91,155.02,152.4,152.5,4077000
2026-04-28,155.17,156.46,153.7,154.66,5174300
2026-04-29,153.97,154.86,151.88,153.67,4047600
2026-04-30,154.36,157.34,153.66,156.84,7065100
2026-05-01,157.89,158.33,154.8,155.77,4447300
2026-05-04,154.28,155.1,152.07,152.98,5330800
2026-05-05,152.45,154.68,150.95,153.43,6200100
2026-05-06,154.18,155.3,153.26,154.34,5296600
2026-05-07,153.4,155.71,153.27,154.66,4464000
2026-05-08,155.12,155.66,152.77,153.01,4934400
2026-05-11,152.78,153.09,147.51,147.85,8373300
2026-05-12,148.97,151.13,146.82,150.27,6250700
2026-05-13,149.12,151.64,147.41,147.72,5524900
2026-05-14,147.94,148.43,146.61,147.12,5022200
2026-05-15,148.0,148.55,146.65,147.57,6230600
2026-05-18,148.43,148.56,145.94,147.51,8799400
2026-05-19,148.74,150.98,147.42,148.8,10093900
2026-05-20,148.01,149.08,146.85,147.74,7425800
2026-05-21,147.74,148.11,144.86,147.3,6123100
2026-05-22,147.85,149.27,146.99,149.0,7774400
2026-05-26,148.15,148.69,143.99,144.16,9059200
2026-05-27,144.75,147.36,144.18,146.2,7404500
2026-05-28,146.23,147.06,144.1,144.77,7625200
2026-05-29,143.63,145.24,142.06,142.69,12776400
2026-06-01,141.11,142.61,139.85,140.05,8077300
2026-06-02,140.07,141.4,139.34,140.52,7864700
2026-06-03,140.31,142.18,140.29,141.06,6225100
2026-06-04,143.35,144.18,139.74,140.67,8089800
2026-06-05,141.56,144.34,141.21,141.92,13228700
2026-06-08,140.92,141.86,139.26,140.68,8800500
2026-06-09,141.53,144.3,140.85,142.78,10390200
2026-06-10,143.95,145.45,143.0,144.32,11249200
2026-06-11,144.86,145.4,143.57,143.73,8650400
2026-06-12,143.79,144.36,142.41,143.2,2465925
