date,open,high,low,close,volume
2025-06-12,157.44,158.74,157.16,158.62,6509900
2025-06-13,158.21,158.47,155.44,155.8,7104500
2025-06-16,156.38,157.42,155.54,156.38,6332000
2025-06-17,155.58,155.89,153.88,154.09,6809700
2025-06-18,154.12,154.21,153.25,153.6,7211200
2025-06-20,153.61,154.88,153.44,154.63,16173400
2025-06-23,154.62,156.68,154.55,156.53,6588200
2025-06-24,156.67,157.22,155.19,155.88,7470100
2025-06-25,155.35,155.86,154.27,154.52,5933700
2025-06-26,155.09,155.1,152.78,154.19,7410400
2025-06-27,154.24,155.65,153.86,155.39,19257000
2025-06-30,154.81,155.43,153.71,154.87,11238200
2025-07-01,155.41,157.99,154.92,156.71,10664900
2025-07-02,156.63,156.84,155.39,156.69,8848700
2025-07-03,157.27,157.49,155.32,156.33,6999600
2025-07-07,156.39,156.67,154.84,156.01,7225700
2025-07-08,155.06,155.31,153.04,153.48,12034800
2025-07-09,153.68,153.78,151.59,153.12,18770900
2025-07-10,153.35,155.15,152.65,154.06,7200500
2025-07-11,153.63,153.63,152.07,152.66,8053800
2025-07-14,151.23,151.44,148.59,149.46,11491700
2025-07-15,149.27,149.74,147.65,148.41,9142600
2025-07-16,148.47,149.46,148.01,149.43,8479000
2025-07-17,149.73,151.39,149.58,151.27,8320000
2025-07-18,150.5,152.25,150.36,151.79,7337300
2025-07-21,151.76,152.62,151.59,151.73,6328400
2025-07-22,151.62,154.99,151.6,154.95,8187000
2025-07-23,154.85,155.49,154.32,154.91,4804800
2025-07-24,155.48,155.63,154.68,155.42,7027400
2025-07-25,153.99,155.06,153.67,154.93,5799900
2025-07-28,154.27,154.72,152.9,153.76,7885000
2025-07-29,155.27,155.27,151.54,153.27,11466100
2025-07-30,153.65,153.65,148.81,149.62,8162900
2025-07-31,148.56,148.76,146.71,147.26,11845400
2025-08-01,148.54,150.22,147.31,147.44,8594200
2025-08-04,147.05,148.23,146.82,147.55,7679400
2025-08-05,147.5,148.84,147.12,147.3,6670100
2025-08-06,147.64,150.21,147.01,149.6,7376200
2025-08-07,149.86,150.73,149.45,150.22,6719000
2025-08-08,149.51,150.51,149.32,150.24,5811000
2025-08-11,150.27,152.08,150.04,151.68,7331700
2025-08-12,151.75,152.22,151.02,151.78,6938000
2025-08-13,151.9,153.66,151.65,152.1,5812400
2025-08-14,151.34,151.4,150.0,150.46,6343700
2025-08-15,151.18,152.28,150.92,151.07,7121700
2025-08-18,151.13,153.58,150.88,152.4,8274500
2025-08-19,152.41,155.32,152.35,155.02,7868100
2025-08-20,155.2,157.6,155.03,156.11,7840400
2025-08-21,154.56,155.67,153.83,155.35,6417500
2025-08-22,155.98,157.26,154.94,155.29,5797300
2025-08-25,155.01,155.32,152.57,152.82,4692500
2025-08-26,152.6,153.36,152.03,152.65,6338000
2025-08-27,152.82,153.78,152.47,153.61,4551200
2025-08-28,153.65,153.66,151.73,152.33,5857400
2025-08-29,152.76,154.2,152.33,153.69,5318200
2025-09-02,154.01,155.47,153.63,154.62,6432800
2025-09-03,154.29,155.26,153.16,154.8,6592500
2025-09-04,155.14,156.34,154.45,155.8,6934900
2025-09-05,155.17,157.14,155.03,156.61,6436200
2025-09-08,156.21,156.85,154.88,155.62,7178400
2025-09-09,155.23,156.46,154.83,156.06,4984900
2025-09-10,155.22,155.55,152.57,154.0,6205500
2025-09-11,154.36,155.95,154.04,155.25,5819500
2025-09-12,154.56,155.74,154.42,154.53,5957000
2025-09-15,154.51,155.14,152.87,153.49,5995000
2025-09-16,153.79,155.01,153.55,154.68,6559600
2025-09-17,155.05,158.22,155.05,156.91,6764200
2025-09-18,154.78,155.63,153.81,153.97,7651500
2025-09-19,154.25,154.26,152.65,152.71,17224800
2025-09-22,152.75,152.75,149.79,149.81,8712900
2025-09-23,149.93,150.02,147.75,149.25,8853400
2025-09-24,148.81,150.36,148.55,149.17,6483300
2025-09-25,149.96,150.6,148.54,148.91,7511400
2025-09-26,148.99,149.43,148.3,149.25,5721100
2025-09-29,149.17,150.44,148.55,150.26,8139700
2025-09-30,150.19,151.09,149.58,150.37,7762600
2025-10-01,150.42,150.61,148.18,149.91,7566000
2025-10-02,149.46,149.54,148.4,148.81,6892100
2025-10-03,148.76,150.16,148.76,149.02,5212600
2025-10-06,148.27,149.07,147.19,147.2,6737000
2025-10-07,147.55,149.91,146.85,149.29,6844400
2025-10-08,149.53,149.53,147.42,147.48,5254700
2025-10-09,147.53,147.65,146.39,147.37,6134500
2025-10-10,147.72,148.28,146.26,146.5,7374000
2025-10-13,145.82,146.24,143.84,144.35,7511100
2025-10-14,144.42,146.07,143.95,145.98,8585300
2025-10-15,145.36,146.23,144.13,144.28,10003100
2025-10-16,144.86,147.19,144.77,146.41,8809700
2025-10-17,147.36,148.79,147.22,148.17,8612900
2025-10-20,148.36,149.14,148.08,148.72,5601300
2025-10-21,148.72,149.03,147.65,148.39,6013400
2025-10-22,148.08,150.19,147.58,148.96,6394400
2025-10-23,149.1,150.03,147.37,148.97,8205400
2025-10-24,154.14,155.12,149.34,150.28,11968500
2025-10-27,149.42,149.56,147.96,149.54,7775300
2025-10-28,148.93,150.95,148.44,149.18,5819300
2025-10-29,148.48,148.79,146.32,146.62,7405500
2025-10-30,147.31,148.62,147.18,147.42,6760700
2025-10-31,146.56,148.91,146.38,148.19,7930300
2025-11-03,147.93,148.05,145.63,145.88,8946400
2025-11-04,146.45,147.34,144.13,145.04,9295400
2025-11-05,144.74,145.29,143.54,143.68,11199900
2025-11-06,143.77,144.56,142.37,144.02,10024500
2025-11-07,144.82,145.8,143.89,144.85,8500100
2025-11-10,144.26,144.5,142.0,143.39,10208100
2025-11-11,143.85,146.5,143.56,146.39,7332500
2025-11-12,146.38,146.99,145.38,145.87,7851100
2025-11-13,146.04,146.84,145.5,145.82,7566800
2025-11-14,146.94,147.22,145.47,145.53,9150800
2025-11-17,145.61,145.84,142.91,143.71,9902300
2025-11-18,144.21,145.26,143.4,144.86,10735200
2025-11-19,144.83,145.4,143.75,144.86,6367000
2025-11-20,144.52,146.51,144.02,146.05,9021300
2025-11-21,146.23,149.31,146.15,148.74,12018000
2025-11-24,147.93,148.23,144.42,144.85,13846900
2025-11-25,145.19,146.5,145.09,146.34,10477700
2025-11-26,145.78,146.81,145.47,146.1,9238500
2025-11-28,145.66,146.56,145.05,146.02,4707200
2025-12-01,145.96,146.74,145.22,145.31,8240700
2025-12-02,143.19,144.07,140.45,143.75,16376800
2025-12-03,143.81,146.14,143.75,144.59,9125300
2025-12-04,144.55,145.29,142.41,143.26,10479300
2025-12-05,143.06,143.52,141.18,141.37,12791700
2025-12-08,140.84,140.84,136.14,136.34,17507500
2025-12-09,137.18,138.84,136.99,137.61,10375700
2025-12-10,137.63,139.24,137.52,137.8,13650400
2025-12-11,138.96,139.79,138.33,138.72,11798000
2025-12-12,138.96,141.04,138.8,140.77,10268800
2025-12-15,141.2,143.22,141.13,143.03,13877700
2025-12-16,143.99,144.42,142.56,143.11,10251700
2025-12-17,144.57,146.3,144.33,145.67,9833300
2025-12-18,144.5,145.37,143.25,143.41,12239900
2025-12-19,143.4,143.94,141.86,142.37,19345600
2025-12-22,141.63,142.31,140.36,140.63,11731400
2025-12-23,140.43,141.65,140.02,141.11,9541600
2025-12-24,140.83,142.65,140.76,142.4,3259200
2025-12-26,142.22,143.53,142.22,142.65,4711500
2025-12-29,142.7,142.97,141.87,142.48,7662100
2025-12-30,142.2,142.37,141.49,141.97,6006400
2025-12-31,141.92,142.05,141.16,141.24,5293200
2026-01-02,141.04,141.27,139.2,139.74,8946100
2026-01-05,139.06,139.3,137.58,138.34,12297300
2026-01-06,138.36,139.37,137.49,137.89,10421800
2026-01-07,137.78,137.78,135.63,136.04,14369100
2026-01-08,135.89,139.73,135.83,139.48,9297100
2026-01-09,139.65,140.27,138.79,139.82,9528500
2026-01-12,140.22,141.8,139.66,141.38,12812000
2026-01-13,141.92,142.25,140.9,142.15,15549200
2026-01-14,142.59,144.77,142.28,144.23,13475000
2026-01-15,143.57,144.23,142.26,142.54,10102800
2026-01-16,141.68,142.64,141.58,142.44,11729300
2026-01-20,142.37,144.87,142.03,144.87,12901400
2026-01-21,144.93,145.24,142.87,143.95,14126800
2026-01-22,145.94,148.73,145.37,147.76,18501900
2026-01-23,149.71,150.52,148.68,149.03,14562600
2026-01-26,149.0,149.75,147.41,148.37,12655700
2026-01-27,146.96,148.52,146.82,147.23,9546000
2026-01-28,146.89,147.6,145.69,146.24,7465800
2026-01-29,146.19,149.01,146.01,148.78,11035600
2026-01-30,149.31,150.83,148.04,150.64,12651400
2026-02-02,151.28,152.58,150.12,152.05,10554900
