date,open,high,low,close,volume
2025-06-12,302.86,310.06,300.05,309.77,15957200
2025-06-13,307.24,308.71,303.36,304.93,13762400
2025-06-16,306.58,306.84,298.54,301.35,14240100
2025-06-17,301.14,303.59,299.25,302.53,11593900
2025-06-18,301.24,305.39,299.95,300.9,12205600
2025-06-20,303.15,303.24,295.4,295.81,16177900
2025-06-23,295.7,296.26,289.46,294.51,12274700
2025-06-24,295.26,299.54,293.19,299.35,8781400
2025-06-25,298.13,298.13,293.65,295.82,8722100
2025-06-26,296.36,300.42,295.11,296.41,6532700
2025-06-27,296.73,304.08,296.0,302.77,15304400
2025-06-30,302.66,305.97,300.05,305.57,10074100
2025-07-01,305.57,319.85,304.7,319.45,17865500
2025-07-02,314.16,315.8,300.14,301.25,18177200
2025-07-03,303.48,305.84,301.9,302.22,6161100
2025-07-07,301.68,302.28,295.02,297.48,9031200
2025-07-08,297.99,301.97,297.57,301.39,9613800
2025-07-09,296.97,297.37,292.62,296.69,12816700
2025-07-10,296.84,298.67,290.51,293.36,11355600
2025-07-11,293.86,297.88,291.88,297.86,9808200
2025-07-14,295.45,297.8,292.86,294.41,10681400
2025-07-15,293.56,294.51,285.06,285.72,16019000
2025-07-16,286.55,289.92,284.78,286.49,9714000
2025-07-17,286.33,286.99,278.01,282.16,14792700
2025-07-18,281.98,282.16,275.05,276.85,14979700
2025-07-21,278.8,280.62,275.43,276.35,10319200
2025-07-22,276.83,281.22,276.21,279.28,14600300
2025-07-23,281.6,286.63,279.1,286.51,13111100
2025-07-24,277.29,283.28,272.51,272.86,22585200
2025-07-25,275.23,280.27,274.2,275.29,16486600
2025-07-28,277.68,279.15,273.95,276.33,15779400
2025-07-29,260.25,267.31,255.2,255.71,41706000
2025-07-30,259.37,261.16,252.82,260.58,22371800
2025-07-31,256.04,256.04,242.67,244.44,29606900
2025-08-01,245.47,246.33,229.79,232.89,39989200
2025-08-04,233.35,237.28,232.09,236.03,17427900
2025-08-05,236.21,246.9,235.12,245.85,23795900
2025-08-06,245.5,247.96,240.28,240.74,12946400
2025-08-07,241.36,243.65,234.59,239.65,11369900
2025-08-08,239.77,245.93,239.36,245.74,10185700
2025-08-11,248.66,253.1,246.97,247.19,11779500
2025-08-12,248.81,257.49,248.46,256.2,12171800
2025-08-13,258.96,266.6,257.5,266.23,19480300
2025-08-14,266.52,268.23,261.52,265.92,25011100
2025-08-15,295.52,303.93,288.66,297.77,68198500
2025-08-18,306.75,309.91,301.11,302.16,39600500
2025-08-19,302.56,304.13,293.07,298.0,22348600
2025-08-20,300.11,300.9,289.63,293.69,16679000
2025-08-21,296.09,300.28,291.69,297.12,13359000
2025-08-22,299.82,304.3,298.33,301.11,14930000
2025-08-25,302.16,302.53,296.52,298.6,8917100
2025-08-26,298.07,302.62,288.16,294.26,16303200
2025-08-27,294.37,299.69,294.33,297.64,9982800
2025-08-28,298.01,298.22,293.26,296.09,11235000
2025-08-29,296.1,303.64,294.74,303.51,12065400
2025-09-02,301.98,306.47,300.99,302.46,10957100
2025-09-03,301.79,303.24,297.47,301.56,9654600
2025-09-04,299.82,305.51,297.86,304.01,7725700
2025-09-05,304.07,311.42,301.88,308.92,14126700
2025-09-08,313.15,315.05,307.36,313.68,18438600
2025-09-09,325.68,344.49,320.45,340.78,46408900
2025-09-10,338.47,341.42,334.39,339.66,17804300
