date,open,high,low,close,volume
2025-06-12,94.1,94.47,92.66,94.04,17845700
2025-06-13,93.74,94.53,93.23,93.66,18694700
2025-06-16,93.96,94.99,93.32,93.51,14881700
2025-06-17,93.17,94.03,92.84,93.47,14935600
2025-06-18,93.79,94.7,93.31,94.3,11333700
2025-06-20,94.45,95.51,94.41,95.32,20604900
2025-06-23,95.12,97.12,94.88,97.06,20432400
2025-06-24,96.92,98.29,96.44,97.19,22403700
2025-06-25,97.49,97.74,96.34,96.45,11154700
2025-06-26,96.1,96.53,95.12,95.22,19361400
2025-06-27,95.52,96.95,95.36,96.46,31431900
2025-06-30,96.42,97.33,95.51,96.97,17803000
2025-07-01,96.79,98.37,96.61,97.43,15635800
2025-07-02,97.32,97.56,96.26,96.8,12502000
2025-07-03,96.89,97.66,96.61,97.54,7686200
2025-07-07,97.42,98.53,96.81,98.53,12930900
2025-07-08,98.0,98.35,95.71,96.28,16875000
2025-07-09,96.34,96.48,95.58,96.01,13702600
2025-07-10,95.86,95.98,93.95,94.07,18894800
2025-07-11,94.22,94.74,93.45,93.62,14595000
2025-07-14,93.73,95.05,93.6,94.99,13779100
2025-07-15,94.81,94.99,94.15,94.6,10450800
2025-07-16,94.63,95.04,93.83,94.36,11181600
2025-07-17,94.29,94.84,94.1,94.3,11165100
2025-07-18,94.3,94.69,93.65,94.26,14636300
2025-07-21,94.47,95.84,94.31,94.88,13450400
2025-07-22,95.05,95.87,94.95,95.06,9049100
2025-07-23,95.21,95.49,94.5,94.89,9729700
2025-07-24,94.78,96.16,94.56,95.8,14991500
2025-07-25,96.04,96.84,95.73,96.66,12868500
2025-07-28,96.47,97.32,96.28,96.8,12293100
2025-07-29,96.97,97.9,96.53,97.51,14034300
2025-07-30,97.79,98.06,96.48,96.78,13864100
2025-07-31,96.63,97.81,96.5,97.17,15651300
2025-08-01,97.19,98.01,96.86,97.67,16750400
2025-08-04,97.39,99.08,97.39,98.76,19050200
2025-08-05,98.84,99.64,98.09,98.49,17977000
2025-08-06,98.64,102.83,98.64,102.5,23738400
2025-08-07,102.6,103.04,101.26,102.26,12509500
2025-08-08,102.51,103.85,102.29,102.87,12394700
2025-08-11,103.04,103.46,102.26,103.07,12856700
2025-08-12,103.39,103.45,102.51,102.76,17915300
2025-08-13,101.3,101.96,100.01,100.15,19398500
2025-08-14,100.38,100.6,99.88,100.01,10858400
2025-08-15,100.03,100.17,98.95,99.4,13604900
