date,open,high,low,close,volume
2025-06-13,171.9495,176.6262,171.8996,174.1731,27663100.0
2025-06-16,174.233,176.4367,174.1532,176.2672,27389200.0
2025-06-17,175.2002,176.8555,174.0834,175.4495,24973000.0
2025-06-18,175.5093,176.0577,172.7073,172.827,28707500.0
2025-06-20,173.4552,173.8441,164.9893,166.166,75659900.0
2025-06-23,165.797,166.864,161.5392,164.7201,57671000.0
2025-06-24,166.4452,167.7415,165.6574,166.2956,40524300.0
2025-06-25,167.1531,171.8697,167.0734,170.1945,35479000.0
2025-06-26,171.9395,173.1959,169.4566,173.0463,31796700.0
2025-06-27,173.0463,178.1717,171.2415,178.0222,108140200.0
2025-06-30,180.2658,180.7145,174.0834,175.7287,63378900.0
2025-07-01,175.2401,175.5891,173.0364,175.3398,35904500.0
2025-07-02,175.0406,178.3512,174.572,178.1318,29128900.0
2025-07-03,177.9922,179.1589,176.5464,179.0193,21689700.0
2025-07-07,178.5506,178.79,175.1803,176.2871,34175600.0
2025-07-08,177.3441,177.4438,172.3184,173.864,40442500.0
2025-07-09,174.7515,178.9296,172.2785,176.1176,43025600.0
2025-07-10,175.1304,177.9224,173.8839,177.1147,29252400.0
2025-07-11,176.2871,180.9139,175.978,179.6774,34282900.0
2025-07-14,180.4951,183.1475,179.1689,181.0435,32536600.0
2025-07-15,182.29,183.696,181.0834,181.4823,33448300.0
2025-07-16,182.7187,183.8056,181.5122,182.4495,33104200.0
2025-07-17,181.6219,183.5364,179.9666,183.0578,31992600.0
2025-07-18,184.8726,185.8897,183.1874,184.5336,34014500.0
2025-07-21,185.7202,189.7487,185.6205,189.5592,45803100.0
2025-07-22,190.9553,191.1048,186.9268,190.7957,44660200.0
2025-07-23,190.9552,191.9823,188.6418,189.6889,58681900.0
2025-07-24,196.4695,197.3869,190.4567,191.6234,74881700.0
2025-07-25,191.4339,193.7772,190.7159,192.6305,39785900.0
2025-07-28,193.0991,193.498,190.2971,192.0322,38139500.0
2025-07-29,191.8826,195.3627,191.5336,195.1931,41389200.0
2025-07-30,195.0436,197.0379,194.1362,195.9709,32445400.0
2025-07-31,195.1533,195.4325,190.5464,191.3541,51329200.0
2025-08-01,188.4923,190.2872,187.2857,188.592,34832200.0
2025-08-04,189.7487,194.7145,189.5792,194.4852,31547400.0
2025-08-05,194.1561,197.2972,193.3384,194.1162,31602300.0
2025-08-06,193.9467,196.0707,193.1191,195.5322,21562900.0
2025-08-07,196.4994,196.9781,193.7772,195.961,26321800.0
2025-08-08,196.659,202.0336,196.6091,200.847,39161800.0
2025-08-11,200.3684,200.9069,198.5037,200.4282,25832400.0
2025-08-12,200.7972,203.9183,200.0194,202.7616,30397900.0
2025-08-13,203.5493,203.9482,196.9482,201.3855,28342900.0
2025-08-14,200.9268,203.8584,200.6576,202.3627,25230400.0
2025-08-15,203.2701,205.8527,200.7074,203.32,34931400.0
2025-08-18,203.6191,204.6861,201.914,202.9211,18526600.0
2025-08-19,202.4525,202.8613,199.3912,200.9966,24240200.0
2025-08-20,200.159,200.7074,196.0407,198.753,28955500.0
2025-08-21,199.1818,201.904,198.8627,199.1818,19774600.0
2025-08-22,202.1533,207.9468,200.7274,205.5037,42827000.0
2025-08-25,205.8428,209.9212,204.6961,207.8969,29928900.0
2025-08-26,206.9197,207.2587,205.1148,206.5508,28464100.0
2025-08-27,205.1148,208.3157,205.065,206.8898,23022900.0
2025-08-28,206.6605,211.6163,206.3114,211.038,32339300.0
2025-08-29,209.9112,214.0394,209.602,212.3043,39728400.0
2025-09-02,207.8471,211.0778,205.6134,210.7488,47523000.0
2025-09-03,225.5665,230.652,224.1505,230.0039,103336100.0
