date,open,high,low,close,volume
2025-06-13,142.2905,143.389,140.6627,141.7812,180820600.0
2025-06-16,143.1593,145.9856,143.0095,144.4975,183133700.0
2025-06-17,144.2978,145.0268,143.5888,143.9283,139108000.0
2025-06-18,143.8185,145.4563,142.9296,145.2865,161494100.0
2025-06-20,145.2565,146.0055,142.4602,143.6587,242956200.0
2025-06-23,142.3105,144.5874,141.8411,143.9782,154308900.0
2025-06-24,145.3664,147.7632,145.3065,147.7033,187566100.0
2025-06-25,149.0715,154.2446,149.0615,154.1048,269146500.0
2025-06-26,155.7725,156.5115,153.7952,154.8138,198145700.0
2025-06-27,155.8324,158.4989,155.0535,157.5402,263234500.0
2025-06-30,158.1893,158.449,155.7525,157.7798,194580300.0
2025-07-01,156.0821,156.9909,151.2885,153.0961,213143600.0
2025-07-02,152.7765,157.3904,152.7665,157.0408,171224100.0
2025-07-03,158.1593,160.7659,157.5601,159.1281,143716100.0
2025-07-07,157.9896,159.0981,157.1307,158.0295,140139000.0
2025-07-08,159.1181,160.0069,158.1793,159.7872,138133000.0
2025-07-09,161.0055,164.2013,160.9456,162.6633,183656400.0
2025-07-10,164.1014,164.2812,161.395,163.8817,167704100.0
2025-07-11,163.5022,167.6667,163.2526,164.7006,193633300.0
2025-07-14,165.15,165.2699,161.8045,163.8518,136975800.0
2025-07-15,170.9623,172.1707,168.9749,170.4729,230627400.0
2025-07-16,170.8325,171.5216,168.6753,171.1421,158831500.0
2025-07-17,171.7912,173.9284,170.6028,172.7699,160841100.0
2025-07-18,173.409,174.0182,171.0322,172.1807,146456400.0
2025-07-21,172.5202,173.1494,170.7726,171.1521,123126100.0
2025-07-22,171.1121,171.162,164.3611,166.8078,193114300.0
2025-07-23,169.3045,171.0322,167.7466,170.5529,154082200.0
2025-07-24,172.2107,173.5988,171.0722,173.5089,128984600.0
2025-07-25,173.3791,174.4876,172.73,173.2692,122316800.0
2025-07-28,173.7885,176.7646,173.7386,176.5149,140023500.0
2025-07-29,177.7233,179.1414,174.7872,175.2765,154077500.0
2025-07-30,176.2752,179.6507,175.8058,179.0316,174312200.0
2025-07-31,182.6567,183.0562,175.696,177.6334,221685400.0
2025-08-01,173.8584,176.3052,170.6627,173.4889,204529000.0
2025-08-04,174.927,179.9603,174.2879,179.7606,148174600.0
2025-08-05,179.3811,180.0202,175.666,178.0229,156407600.0
2025-08-06,176.0955,179.6607,176.0156,179.1814,137192300.0
2025-08-07,181.3285,183.6354,178.5622,180.5296,151878400.0
2025-08-08,181.3085,183.0562,180.16,182.457,123396700.0
2025-08-11,181.8079,183.5955,180.0103,181.8178,138323200.0
2025-08-12,182.7167,184.2346,179.2213,182.9164,145485700.0
2025-08-13,182.3771,183.7253,179.1115,181.3485,179871700.0
2025-08-14,179.5109,182.7766,179.2213,181.7779,129554000.0
2025-08-15,181.6381,181.658,177.8032,180.21,156602200.0
2025-08-18,180.3598,182.6967,180.3498,181.7679,132008000.0
2025-08-19,182.1873,182.2573,175.2566,175.4064,185229200.0
2025-08-20,174.937,175.7659,168.5755,175.1667,215142700.0
2025-08-21,174.6174,176.6647,173.5788,174.7472,140040900.0
2025-08-22,172.3804,178.3524,170.9723,177.7533,172789400.0
2025-08-25,178.1128,181.668,176.3352,179.5708,163012800.0
2025-08-26,179.8205,182.1474,178.5722,181.5282,168688200.0
