date,open,high,low,close,volume
2025-06-12,528.53,532.06,528.28,531.09,34104900
2025-06-13,525.14,529.31,523.2,524.42,55814400
2025-06-16,527.94,532.79,527.89,531.72,37622100
2025-06-17,529.15,530.76,525.37,526.53,42180900
2025-06-18,527.55,529.98,524.86,526.44,43983500
2025-06-20,529.7,530.99,522.35,524.29,61643500
2025-06-23,524.86,530.2,521.71,529.68,50666100
2025-06-24,534.9,538.7,534.29,537.78,45442000
2025-06-25,540.05,541.3,537.38,539.16,44804200
2025-06-26,541.34,544.65,539.52,544.2,43811400
2025-06-27,545.24,547.96,542.53,546.06,57577100
2025-06-30,549.22,550.75,546.98,549.6,45548700
2025-07-01,547.7,548.67,542.65,544.97,56166700
2025-07-02,544.14,548.96,544.1,548.76,36538300
2025-07-03,551.13,555.14,551.13,554.16,26443500
2025-07-07,551.47,552.29,547.55,549.99,45349300
2025-07-08,551.33,551.96,549.06,550.3,36153300
2025-07-09,552.43,555.57,551.05,554.19,43045500
2025-07-10,554.83,555.24,550.71,553.4,34710900
2025-07-11,551.25,553.73,550.01,552.15,39618600
2025-07-14,551.94,554.89,549.59,554.15,36453300
2025-07-15,558.18,558.73,554.6,554.66,43277700
2025-07-16,555.22,558.14,549.52,555.23,52314700
2025-07-17,555.96,560.23,555.15,559.72,40423800
2025-07-18,561.04,562.64,557.91,559.18,50484700
2025-07-21,560.01,563.97,559.98,562.08,39595200
2025-07-22,562.21,562.26,556.54,559.17,43270600
2025-07-23,560.26,561.76,557.51,561.72,40215300
2025-07-24,563.04,564.15,561.21,562.92,42275500
2025-07-25,562.84,565.6,562.18,564.27,30630800
2025-07-28,565.64,566.93,564.77,566.04,31498700
2025-07-29,568.65,569.99,564.43,565.16,45463300
2025-07-30,566.08,568.51,562.96,565.92,43433800
2025-07-31,572.41,572.5,561.78,562.92,64613600
2025-08-01,556.76,556.95,549.64,551.83,69400800
2025-08-04,556.98,562.23,556.88,562.01,47669800
2025-08-05,563.3,564.46,557.66,558.2,48666600
2025-08-06,559.03,565.66,558.56,565.22,41823700
2025-08-07,569.56,571.2,563.02,567.13,44463000
2025-08-08,568.34,572.64,568.04,572.42,35255500
2025-08-11,572.56,574.67,569.46,570.73,33112900
2025-08-12,573.03,578.2,570.37,577.9,42143300
2025-08-13,580.6,581.16,576.8,578.19,41209300
2025-08-14,576.14,579.73,575.77,577.74,45425000
2025-08-15,577.66,577.69,573.44,575.2,49480200
2025-08-18,574.31,575.63,573.11,574.97,29831000
2025-08-19,574.26,574.43,566.15,567.17,53752600
2025-08-20,566.23,566.35,556.77,563.81,76781100
2025-08-21,562.26,564.39,558.9,561.2,46436900
2025-08-22,562.58,571.87,561.19,569.85,51502100
2025-08-25,568.29,571.17,567.05,568.21,34044700
2025-08-26,567.72,570.8,566.7,570.49,34103000
2025-08-27,569.48,572.29,568.26,571.37,36927100
2025-08-28,571.99,575.86,570.34,574.95,46787900
2025-08-29,572.53,572.9,566.44,568.29,56030400
2025-09-02,559.23,563.88,557.47,563.53,65876800
2025-09-03,567.12,569.59,564.63,567.96,54230200
2025-09-04,568.63,573.47,566.92,573.1,47526300
2025-09-05,578.34,578.97,569.42,573.93,68342500
2025-09-08,576.23,578.69,575.63,576.73,46371400
2025-09-09,577.53,578.79,574.91,578.36,44007600
2025-09-10,581.58,581.61,576.41,578.55,49308000
2025-09-11,581.08,582.72,579.47,581.92,44745800
2025-09-12,582.88,585.69,581.94,584.49,50745900
2025-09-15,586.26,589.6,586.11,589.49,44360300
2025-09-16,590.42,590.67,588.31,588.99,36942100
2025-09-17,588.91,589.56,582.21,587.82,69384800
2025-09-18,592.71,595.93,590.77,593.12,61069300
2025-09-19,595.12,597.83,593.65,597.13,58196100
2025-09-22,596.22,601.34,596.2,600.67,57154800
2025-09-23,600.84,601.04,595.46,596.68,64635500
2025-09-24,598.05,598.37,591.85,594.58,49850300
2025-09-25,590.69,593.61,587.0,592.02,70920200
2025-09-26,592.84,594.78,589.56,594.45,54337400
2025-09-29,597.59,600.52,595.89,597.21,48332900
2025-09-30,596.91,599.18,594.58,598.84,46533800
2025-10-01,595.65,602.25,594.82,601.72,46899600
2025-10-02,605.52,605.62,601.4,604.19,43765400
2025-10-03,604.97,605.78,599.86,601.65,46482100
2025-10-06,606.9,607.81,604.43,606.16,41962100
2025-10-07,607.47,608.16,601.5,602.97,58209500
2025-10-08,603.87,610.19,603.72,609.88,50629800
2025-10-09,609.92,610.05,605.93,609.15,45551000
2025-10-10,609.84,611.62,587.55,588.0,97614800
2025-10-13,598.15,601.42,595.71,600.48,65872600
