date,open,high,low,close,volume
2025-06-12,369.31,371.24,366.65,368.49,4874000
2025-06-13,358.68,360.17,342.3,350.08,14181700
2025-06-16,353.7,357.4,351.55,352.69,7234700
2025-06-17,350.72,356.78,350.55,355.04,5559600
2025-06-18,355.05,355.67,335.39,337.71,15008600
2025-06-20,336.29,337.34,332.3,335.92,19332100
2025-06-23,334.86,341.6,333.0,341.06,7553300
2025-06-24,348.77,351.78,345.19,348.87,10172000
2025-06-25,347.7,348.54,342.55,342.55,6836300
2025-06-26,341.09,344.19,339.35,343.32,8829500
2025-06-27,343.87,349.25,342.95,345.88,6601900
2025-06-30,346.61,352.82,346.32,352.27,7080100
2025-07-01,351.05,354.2,348.67,352.68,6653400
2025-07-02,351.82,353.57,347.26,351.44,5131400
2025-07-03,351.81,356.19,350.84,356.05,3702800
2025-07-07,356.11,356.84,351.71,353.85,5138000
2025-07-08,353.88,355.47,350.48,351.77,6966800
2025-07-09,352.29,354.96,350.98,354.96,7297100
2025-07-10,354.03,354.82,350.68,353.09,6121300
2025-07-11,349.75,351.04,341.69,345.2,7580200
2025-07-14,344.67,349.21,342.31,347.75,5598900
2025-07-15,345.39,347.47,344.04,344.3,4891700
2025-07-16,344.57,347.92,343.09,347.16,5544200
2025-07-17,347.26,348.62,345.75,347.07,4747100
2025-07-18,346.76,346.76,344.44,346.31,4927600
2025-07-21,346.32,350.88,345.67,348.19,5216300
2025-07-22,348.35,351.7,347.46,349.1,4614200
2025-07-23,350.23,352.99,348.46,352.51,4385600
2025-07-24,352.04,354.38,351.09,351.2,5887200
2025-07-25,351.23,354.85,350.24,354.24,3915400
2025-07-28,353.59,355.51,351.95,352.68,3921000
2025-07-29,353.5,355.51,348.06,348.54,7402300
2025-07-30,348.94,353.83,344.51,348.16,12129700
2025-07-31,346.2,350.05,342.39,342.76,8641700
2025-08-01,341.4,343.46,335.45,336.69,8658700
2025-08-04,339.02,341.68,337.34,339.47,7335300
2025-08-05,339.47,339.78,332.92,334.79,7295600
2025-08-06,335.65,338.75,332.8,337.08,5944100
2025-08-07,338.75,339.47,326.12,329.49,8797100
2025-08-08,331.06,334.74,330.12,334.14,6073900
2025-08-11,334.09,335.21,331.89,333.27,5715800
2025-08-12,333.16,336.59,332.77,334.69,5682800
2025-08-13,334.93,341.39,334.73,340.46,5693400
2025-08-14,340.85,343.97,339.59,343.39,6224000
2025-08-15,344.14,346.24,340.77,342.37,4946600
2025-08-18,341.75,343.62,338.87,340.65,3999600
2025-08-19,340.47,344.23,339.81,340.36,4457200
2025-08-20,341.31,345.32,340.76,341.84,5834400
2025-08-21,340.8,342.42,337.65,341.6,6073600
2025-08-22,343.12,349.06,343.12,347.91,4973200
2025-08-25,347.48,348.58,345.38,346.7,8019800
2025-08-26,346.57,351.25,345.33,349.04,5876200
2025-08-27,348.57,351.28,347.71,348.22,5531100
2025-08-28,348.46,348.9,346.48,347.73,4987100
2025-08-29,348.33,350.48,346.87,349.64,3671900
2025-09-02,347.18,348.04,343.97,347.94,4940300
2025-09-03,347.21,348.75,345.14,348.73,4176400
2025-09-04,348.59,350.48,347.02,348.85,4324000
2025-09-05,349.24,350.47,338.13,341.13,5448300
2025-09-08,340.25,342.28,338.92,340.21,4711600
2025-09-09,339.61,344.21,339.21,341.89,4646200
2025-09-10,340.52,340.52,334.39,336.06,6557900
2025-09-11,336.67,341.44,335.81,341.4,5157600
2025-09-12,339.14,341.1,337.1,337.36,3518300
2025-09-15,338.54,340.62,336.33,336.98,4367500
2025-09-16,334.19,338.47,331.44,337.96,5527700
2025-09-17,337.87,344.09,337.45,344.09,5763500
2025-09-18,342.63,343.17,336.12,336.12,7526600
2025-09-19,338.38,340.6,336.19,339.53,13674300
2025-09-22,336.95,342.76,336.6,342.26,5621800
2025-09-23,342.49,343.16,335.57,336.64,10142700
2025-09-24,337.06,337.83,335.86,336.62,5207400
2025-09-25,336.29,338.13,332.47,332.89,5398700
2025-09-26,335.18,337.43,334.18,335.32,9619200
2025-09-29,335.32,338.57,333.51,338.09,7217800
2025-09-30,337.75,343.5,336.45,339.3,8164400
2025-10-01,338.24,347.23,338.24,345.71,8381000
2025-10-02,344.11,345.07,341.47,343.84,5198000
2025-10-03,344.0,351.01,343.89,347.71,5199700
2025-10-06,347.88,348.98,342.25,347.15,4735600
2025-10-07,347.93,352.28,347.93,350.27,5044600
2025-10-08,351.63,352.84,348.96,349.22,3927500
2025-10-09,349.33,350.72,343.48,344.93,4434800
2025-10-10,345.51,348.27,341.16,341.56,6296200
2025-10-13,341.63,345.54,338.65,341.21,4030700
2025-10-14,338.92,347.88,338.15,346.26,5731000
2025-10-15,346.26,347.95,341.9,343.58,3778200
2025-10-16,342.9,343.58,332.13,333.36,6241500
2025-10-17,335.71,341.36,334.95,339.81,6267100
2025-10-20,339.82,342.86,336.88,342.31,4665000
2025-10-21,341.03,347.52,340.91,345.1,4121800
2025-10-22,345.7,346.05,342.4,343.26,5074400
2025-10-23,344.09,345.04,342.36,343.85,7217200
2025-10-24,346.08,346.95,343.22,345.26,3576700
2025-10-27,346.87,347.39,342.91,345.7,5400300
2025-10-28,346.46,347.76,344.39,344.79,7445400
2025-10-29,343.89,348.84,336.94,339.2,8361700
2025-10-30,340.14,347.59,339.71,342.93,6411800
2025-10-31,340.0,340.91,336.11,338.66,7301600
2025-11-03,338.92,339.13,332.78,334.85,5538000
2025-11-04,334.43,338.25,332.21,338.23,5920200
2025-11-05,338.06,340.03,334.31,337.97,4984600
2025-11-06,336.53,336.59,331.68,334.91,8507900
2025-11-07,334.68,336.23,332.81,333.97,5318400
2025-11-10,334.6,336.62,332.28,332.81,5295800
2025-11-11,333.46,337.02,331.17,336.86,4453300
2025-11-12,336.86,342.84,336.01,337.48,6389600
2025-11-13,337.64,340.05,334.22,334.69,4961700
2025-11-14,334.51,334.69,327.67,328.66,6422300
2025-11-17,329.79,331.99,323.59,324.41,6494800
2025-11-18,323.16,323.66,316.69,319.86,9170400
2025-11-19,320.19,323.23,318.55,322.78,7066700
2025-11-20,322.78,327.05,321.81,322.44,6510300
2025-11-21,324.04,329.72,322.95,326.63,8930000
2025-11-24,327.88,329.37,324.66,327.94,9337100
2025-11-25,327.54,334.67,327.54,333.15,5854300
2025-11-26,333.15,334.33,331.69,332.41,4309900
2025-11-28,332.06,333.64,330.63,333.06,4586200
2025-12-01,331.57,331.93,328.78,329.03,7082300
2025-12-02,330.08,331.43,325.86,328.26,8201900
2025-12-03,328.25,330.98,327.99,328.25,6296700
2025-12-04,329.91,331.01,322.94,325.75,6277500
2025-12-05,325.48,332.73,325.05,329.87,5266600
2025-12-08,328.52,329.97,323.37,325.49,6059400
2025-12-09,325.26,326.88,323.73,325.15,4325400
2025-12-10,325.29,327.4,323.96,324.39,5467500
2025-12-11,331.23,345.89,328.7,344.21,12953600
2025-12-12,346.57,348.4,344.54,346.4,6942300
2025-12-15,346.4,347.01,342.41,345.46,7004600
2025-12-16,344.57,346.19,342.3,343.69,7269300
2025-12-17,344.13,346.36,342.26,342.99,7263500
2025-12-18,343.75,346.1,342.85,344.58,6805000
2025-12-19,344.62,348.47,344.62,347.81,18623900
2025-12-22,348.56,351.98,348.15,350.64,5043500
2025-12-23,350.55,354.91,350.55,351.92,3703200
2025-12-24,351.92,354.52,351.55,353.68,2023600
