date,open,high,low,close,volume
2025-06-12,105.56,106.79,104.88,106.34,17469400
2025-06-13,108.88,109.05,107.26,108.66,28540200
2025-06-16,108.37,109.66,107.7,109.01,22986100
2025-06-17,110.43,111.38,109.62,110.48,19451700
2025-06-18,111.07,111.68,109.45,109.69,17968900
2025-06-20,109.95,111.49,109.68,111.16,36273300
2025-06-23,113.09,113.34,107.73,108.29,26631100
2025-06-24,105.88,107.51,104.58,104.99,24828300
2025-06-25,104.77,105.87,104.37,105.02,17483200
2025-06-26,105.57,107.03,105.2,106.59,18304800
2025-06-27,106.54,106.7,105.02,106.0,22002100
2025-06-30,105.28,105.48,104.39,104.47,19199000
2025-07-01,104.79,106.25,103.84,105.87,15536900
2025-07-02,106.6,107.92,105.47,107.62,11892200
2025-07-03,107.44,109.0,107.2,108.73,11223600
2025-07-07,108.09,108.59,106.82,107.68,15415900
2025-07-08,107.46,110.92,107.43,110.66,17913400
2025-07-09,110.4,110.74,109.77,110.28,10652100
2025-07-10,110.2,111.71,109.58,111.38,14901700
2025-07-11,111.3,112.18,110.97,111.86,11683900
2025-07-14,111.67,111.67,109.72,110.4,13220300
2025-07-15,110.15,110.54,109.12,109.42,10959300
2025-07-16,109.39,109.99,108.64,108.76,11158900
2025-07-17,108.05,108.76,107.66,108.21,13151400
2025-07-18,107.68,108.28,104.02,104.44,32366600
2025-07-21,104.28,105.41,104.12,104.71,17010400
2025-07-22,104.64,106.06,104.29,105.19,13970900
2025-07-23,105.56,106.6,105.49,106.53,12002700
2025-07-24,106.27,107.52,105.76,107.37,15647200
2025-07-25,107.31,107.55,106.31,106.99,10548900
2025-07-28,107.57,108.65,107.42,108.0,12353000
2025-07-29,108.44,109.51,107.97,109.39,15928000
2025-07-30,108.94,109.13,107.82,108.44,12996900
2025-07-31,106.95,109.02,106.95,108.19,17233700
2025-08-01,108.54,109.06,105.5,106.25,19652000
2025-08-04,105.85,106.52,103.78,104.05,19129500
2025-08-05,103.91,104.49,102.79,103.93,21314300
2025-08-06,104.96,105.68,103.08,103.22,15321800
2025-08-07,103.83,104.72,102.62,102.68,13468300
2025-08-08,103.21,104.19,102.68,103.5,14417700
2025-08-11,103.8,104.21,102.27,102.56,13570700
2025-08-12,103.05,103.97,102.51,102.85,14109400
2025-08-13,102.73,104.28,102.47,104.28,17958700
2025-08-14,104.23,104.27,103.15,104.06,13683500
2025-08-15,103.87,105.21,103.63,104.16,19271900
2025-08-18,103.78,104.88,103.36,104.39,13040000
2025-08-19,103.88,105.11,103.83,105.07,16113600
2025-08-20,105.52,106.94,105.32,106.16,18959700
2025-08-21,106.05,107.17,105.6,106.84,12194900
2025-08-22,107.2,108.97,107.2,108.85,13586700
2025-08-25,108.47,109.47,108.12,109.3,9744900
2025-08-26,108.93,109.36,107.95,109.05,18143900
2025-08-27,108.98,110.51,108.98,110.28,15262600
2025-08-28,110.4,111.16,109.62,110.87,14189800
2025-08-29,111.23,112.28,111.1,111.79,14597900
2025-09-02,111.68,112.72,110.85,112.18,15206700
2025-09-03,111.48,111.93,109.02,109.46,14920100
2025-09-04,109.66,110.66,108.94,109.94,12864400
2025-09-05,109.16,109.33,106.64,106.84,16826700
2025-09-08,107.33,107.64,105.98,107.45,15440500
2025-09-09,108.11,110.05,108.11,108.23,14899500
2025-09-10,108.73,110.1,108.42,110.04,15837600
2025-09-11,108.96,110.3,108.44,109.69,11534500
2025-09-12,110.39,110.74,109.43,109.71,11105700
2025-09-15,109.73,110.0,108.89,109.89,12880500
2025-09-16,110.49,112.8,110.31,112.17,17208000
2025-09-17,112.02,112.96,111.56,112.77,13302000
2025-09-18,112.65,112.83,110.92,111.44,14628700
2025-09-19,111.41,111.49,110.18,110.35,38746500
2025-09-22,109.99,110.33,109.12,109.57,15611500
2025-09-23,110.25,112.24,110.02,111.46,25369100
2025-09-24,112.06,113.23,111.97,112.05,14756100
2025-09-25,112.13,113.36,111.91,113.06,15012600
2025-09-26,113.42,115.77,113.38,114.66,18568900
2025-09-29,113.52,113.95,111.18,111.72,19189300
2025-09-30,110.87,111.01,109.49,110.28,18076200
2025-10-01,110.1,110.55,108.86,109.54,16614000
2025-10-02,109.52,110.62,108.6,108.86,13062600
2025-10-03,109.45,111.26,109.45,110.78,12950100
2025-10-06,110.81,112.26,110.7,111.7,12036800
2025-10-07,111.57,112.01,109.3,111.76,11945000
2025-10-08,111.88,112.49,110.93,111.53,12301000
2025-10-09,111.93,112.98,110.27,110.44,10976200
2025-10-10,109.8,110.16,108.29,108.31,13811600
2025-10-13,109.1,109.84,108.89,109.78,10296500
2025-10-14,108.34,110.49,108.29,109.83,11167200
2025-10-15,110.33,111.09,108.54,109.17,12182900
2025-10-16,109.43,109.74,107.98,108.22,11782200
2025-10-17,109.19,110.44,108.75,109.78,13460100
2025-10-20,109.55,110.68,109.53,110.23,9523600
2025-10-21,110.42,110.88,109.54,110.24,9202300
2025-10-22,110.97,112.66,110.61,112.2,12938800
2025-10-23,114.08,114.29,112.84,113.44,15001100
2025-10-24,113.81,113.92,112.66,112.87,9919400
2025-10-27,113.17,113.45,112.58,113.4,10975400
2025-10-28,112.96,113.64,112.47,112.51,9535200
2025-10-29,112.41,114.49,112.3,113.9,12570600
2025-10-30,113.88,113.97,112.02,112.18,16172900
2025-10-31,111.49,112.71,110.16,111.86,20213400
2025-11-03,112.0,112.47,111.15,111.27,12290300
2025-11-04,110.9,111.85,110.05,111.64,16860700
2025-11-05,111.59,112.66,111.18,111.19,12400900
2025-11-06,111.15,112.43,111.15,112.0,14219700
2025-11-07,112.69,114.94,112.39,114.66,17181100
2025-11-10,114.87,115.86,112.93,115.63,13048000
2025-11-11,116.23,118.17,116.23,117.16,16077100
2025-11-12,116.49,116.67,115.21,115.54,13790900
2025-11-13,116.04,117.14,115.69,116.19,17291900
2025-11-14,116.87,117.89,115.11,117.7,17064300
2025-11-17,117.39,117.91,115.55,116.11,16034900
