date,open,high,low,close,volume
2026-06-08 09:30:00,365.17,366.2,363.39,363.88,1908091.0
2026-06-08 09:35:00,363.88,365.85,362.3201,365.39,590665.0
2026-06-08 09:40:00,365.36,365.45,363.5001,364.71,359156.0
2026-06-08 09:45:00,364.71,364.81,363.27,363.62,346828.0
2026-06-08 09:50:00,363.69,364.21,363.27,363.77,274315.0
2026-06-08 09:55:00,363.815,364.27,362.47,362.5,446431.0
2026-06-08 10:00:00,362.47,362.65,361.2575,362.095,588868.0
2026-06-08 10:05:00,361.9301,362.2199,360.9,361.34,479675.0
2026-06-08 10:10:00,361.35,361.57,360.5309,361.035,502660.0
2026-06-08 10:15:00,361.09,361.7,360.555,361.64,253032.0
2026-06-08 10:20:00,361.5401,362.1556,361.0,361.2,600685.0
2026-06-08 10:25:00,361.205,361.69,360.65,361.61,258948.0
2026-06-08 10:30:00,361.62,361.91,361.08,361.33,203126.0
2026-06-08 10:35:00,361.345,362.2,361.05,361.66,265867.0
2026-06-08 10:40:00,361.695,361.776,360.56,360.99,407035.0
2026-06-08 10:45:00,360.99,362.715,360.99,362.285,383700.0
2026-06-08 10:50:00,362.33,363.6532,362.21,363.545,314393.0
2026-06-08 10:55:00,363.545,364.28,363.08,364.195,295547.0
2026-06-08 11:00:00,364.23,364.4995,363.34,363.44,373046.0
2026-06-08 11:05:00,363.44,363.5,363.07,363.385,247237.0
2026-06-08 11:10:00,363.39,363.98,362.9,363.46,291526.0
2026-06-08 11:15:00,363.465,363.88,363.08,363.5,204867.0
2026-06-08 11:20:00,363.55,364.44,362.95,364.27,251371.0
2026-06-08 11:25:00,364.24,364.24,363.02,363.11,225855.0
2026-06-08 11:30:00,363.115,363.13,362.48,362.71,185929.0
2026-06-08 11:35:00,362.6869,363.44,362.33,363.12,184207.0
2026-06-08 11:40:00,363.11,363.38,362.45,362.74,126175.0
2026-06-08 11:45:00,362.81,363.09,362.26,362.32,151482.0
2026-06-08 11:50:00,362.33,362.6058,361.94,362.04,159005.0
2026-06-08 11:55:00,362.04,362.04,361.4368,362.0,168649.0
2026-06-08 12:00:00,361.905,362.35,361.76,362.26,152903.0
2026-06-08 12:05:00,362.27,362.6,362.08,362.155,166136.0
2026-06-08 12:10:00,362.13,362.52,361.755,362.37,149414.0
2026-06-08 12:15:00,362.4,362.81,362.135,362.81,139246.0
2026-06-08 12:20:00,362.89,362.97,362.35,362.39,321902.0
2026-06-08 12:25:00,362.385,362.74,361.9,362.05,145012.0
2026-06-08 12:30:00,362.08,362.8799,361.95,362.475,155217.0
2026-06-08 12:35:00,362.475,362.85,362.25,362.66,922851.0
2026-06-08 12:40:00,362.65,362.91,362.4001,362.68,120670.0
2026-06-08 12:45:00,362.68,363.375,362.68,363.07,151775.0
2026-06-08 12:50:00,363.08,363.32,362.565,362.625,99743.0
