date,open,high,low,close,volume
2026-06-08 09:30:00,308.74,315.17,308.52,313.57,4505730
2026-06-08 09:35:00,313.61,314.1,311.72,311.87,981864
2026-06-08 09:40:00,311.87,312.08,311.07,311.49,778711
2026-06-08 09:45:00,311.49,311.67,310.61,311.65,721706
2026-06-08 09:50:00,311.63,312.77,311.5,312.49,543301
2026-06-08 09:55:00,312.48,312.65,310.82,310.92,495230
2026-06-08 10:00:00,310.96,312.0,310.74,311.64,510187
2026-06-08 10:05:00,311.63,312.43,311.31,311.54,515986
2026-06-08 10:10:00,311.57,311.6,310.85,310.93,433058
2026-06-08 10:15:00,310.91,310.91,309.92,310.32,512738
2026-06-08 10:20:00,310.3,311.52,310.17,311.48,457092
2026-06-08 10:25:00,311.48,312.28,311.31,311.98,406122
2026-06-08 10:30:00,311.96,312.54,311.78,312.37,407171
2026-06-08 10:35:00,312.38,312.51,312.02,312.49,469019
2026-06-08 10:40:00,312.49,312.96,312.34,312.87,459903
2026-06-08 10:45:00,312.89,314.43,312.89,314.08,734310
2026-06-08 10:50:00,314.07,314.97,313.98,314.55,515785
2026-06-08 10:55:00,314.56,315.36,314.25,315.27,761476
2026-06-08 11:00:00,315.26,315.35,314.57,314.65,473284
2026-06-08 11:05:00,314.65,315.05,314.59,314.86,399448
2026-06-08 11:10:00,314.88,314.89,314.26,314.29,340548
2026-06-08 11:15:00,314.29,314.6,314.09,314.31,318770
2026-06-08 11:20:00,314.28,314.57,314.06,314.41,318104
2026-06-08 11:25:00,314.42,314.44,313.88,313.93,321630
2026-06-08 11:30:00,313.93,313.98,313.32,313.58,492539
2026-06-08 11:35:00,313.58,314.17,313.33,313.97,580289
2026-06-08 11:40:00,313.95,314.3,313.83,314.18,446294
2026-06-08 11:45:00,314.2,314.6,313.94,314.04,282242
2026-06-08 11:50:00,314.05,314.33,313.94,314.08,270495
2026-06-08 11:55:00,314.08,314.08,313.46,313.61,379190
2026-06-08 12:00:00,313.62,314.07,313.32,313.74,621788
2026-06-08 12:05:00,313.74,314.1,313.41,313.94,462549
2026-06-08 12:10:00,313.95,314.39,313.88,314.05,486439
2026-06-08 12:15:00,314.05,314.76,314.02,314.62,354073
2026-06-08 12:20:00,314.64,314.99,314.44,314.53,303950
2026-06-08 12:25:00,314.55,314.7,313.63,313.67,292387
2026-06-08 12:30:00,313.68,313.79,313.13,313.17,329536
2026-06-08 12:35:00,313.18,313.27,312.86,313.14,390233
2026-06-08 12:40:00,313.14,313.31,312.92,313.29,396749
2026-06-08 12:45:00,313.28,314.09,313.21,313.82,414390
2026-06-08 12:50:00,313.81,313.98,313.48,313.63,324823
2026-06-08 12:55:00,313.64,313.73,313.46,313.5,265141
2026-06-08 13:00:00,313.51,313.52,312.76,313.31,501254
2026-06-08 13:05:00,313.28,314.5,312.73,313.62,908016
2026-06-08 13:10:00,313.69,313.74,312.59,313.46,549050
2026-06-08 13:15:00,313.46,313.73,312.34,312.77,423375
2026-06-08 13:20:00,312.78,313.09,312.21,312.52,306908
2026-06-08 13:25:00,312.52,314.69,312.26,314.57,719990
2026-06-08 13:30:00,314.57,317.4,314.42,316.99,2322225
2026-06-08 13:35:00,317.01,317.13,311.63,312.73,2306945
2026-06-08 13:40:00,312.75,312.98,308.72,308.83,2397098
2026-06-08 13:45:00,308.85,309.69,308.03,309.02,1745786
2026-06-08 13:50:00,309.01,310.29,307.57,310.13,1501290
2026-06-08 13:55:00,310.14,310.22,308.06,308.45,1071722
2026-06-08 14:00:00,308.5,309.04,305.61,305.88,1510748
2026-06-08 14:05:00,305.9,306.75,303.71,304.38,2124826
2026-06-08 14:10:00,304.44,306.45,304.24,304.72,1880180
2026-06-08 14:15:00,304.72,306.0,304.34,305.17,1185893
2026-06-08 14:20:00,305.18,305.57,304.27,305.53,995107
2026-06-08 14:25:00,305.58,305.6,303.72,304.86,886008
2026-06-08 14:30:00,304.9,305.53,303.78,303.88,870013
2026-06-08 14:35:00,303.85,304.45,303.22,303.52,941133
2026-06-08 14:40:00,303.52,303.66,302.68,302.83,900525
2026-06-08 14:45:00,302.83,304.29,302.77,303.86,910637
2026-06-08 14:50:00,303.85,304.08,303.43,303.74,530873
2026-06-08 14:55:00,303.74,304.17,303.56,303.81,612128
2026-06-08 15:00:00,303.85,304.76,303.5,304.61,688831
2026-06-08 15:05:00,304.62,304.77,303.79,303.93,1299258
2026-06-08 15:10:00,303.97,304.48,303.63,304.25,493595
2026-06-08 15:15:00,304.25,304.88,303.83,304.02,790374
2026-06-08 15:20:00,304.02,304.29,302.05,302.36,990920
2026-06-08 15:25:00,302.34,302.99,302.21,302.7,865840
2026-06-08 15:30:00,302.71,302.82,301.91,302.03,912369
2026-06-08 15:35:00,302.03,303.06,301.79,302.66,734034
2026-06-08 15:40:00,302.66,303.24,302.26,302.83,678415
2026-06-08 15:45:00,302.85,302.85,301.74,302.01,1072307
2026-06-08 15:50:00,302.01,302.27,301.23,301.34,1672477
2026-06-08 15:55:00,301.32,301.78,301.17,301.57,2229233
2026-06-09 09:30:00,300.27,300.72,297.59,297.98,3485687
2026-06-09 09:35:00,298.0,300.32,297.68,298.72,1113241
2026-06-09 09:40:00,298.74,298.92,297.06,297.27,1025605
2026-06-09 09:45:00,297.24,298.25,296.9,298.13,935565
2026-06-09 09:50:00,298.1,298.11,296.82,296.89,865430
2026-06-09 09:55:00,296.85,296.99,295.94,296.15,1100647
2026-06-09 10:00:00,296.17,296.23,294.65,294.71,1264254
2026-06-09 10:05:00,294.71,295.09,294.24,294.7,1190046
2026-06-09 10:10:00,294.7,294.75,293.5,294.04,969484
2026-06-09 10:15:00,294.01,294.03,292.66,292.8,1179405
2026-06-09 10:20:00,292.79,293.63,292.21,293.37,1492895
2026-06-09 10:25:00,293.4,293.52,292.28,292.53,936095
2026-06-09 10:30:00,292.52,292.61,291.8,292.34,1128254
2026-06-09 10:35:00,292.34,293.76,292.24,293.36,898305
2026-06-09 10:40:00,293.36,293.88,292.6,293.29,834014
2026-06-09 10:45:00,293.29,293.32,292.37,292.61,1055825
2026-06-09 10:50:00,292.59,292.64,291.91,292.61,897585
2026-06-09 10:55:00,292.63,293.16,292.55,293.12,660122
2026-06-09 11:00:00,293.14,293.51,292.62,292.95,624868
2026-06-09 11:05:00,292.96,293.27,292.5,293.1,582303
2026-06-09 11:10:00,293.09,293.73,292.73,293.49,522814
2026-06-09 11:15:00,293.48,293.69,292.97,293.44,565315
2026-06-09 11:20:00,293.44,293.44,292.55,292.57,502240
2026-06-09 11:25:00,292.55,292.66,291.5,291.58,887361
2026-06-09 11:30:00,291.56,291.73,291.15,291.42,778178
2026-06-09 11:35:00,291.44,291.98,291.22,291.76,615328
2026-06-09 11:40:00,291.72,291.87,291.12,291.21,522845
2026-06-09 11:45:00,291.23,291.49,290.92,291.4,640366
2026-06-09 11:50:00,291.39,291.88,290.9,291.65,490467
2026-06-09 11:55:00,291.66,291.73,290.93,291.17,899058
2026-06-09 12:00:00,291.17,291.5,290.93,291.07,520383
2026-06-09 12:05:00,291.05,291.3,290.34,290.65,931537
2026-06-09 12:10:00,290.63,291.39,290.59,291.03,649341
2026-06-09 12:15:00,291.0,291.11,290.48,290.67,684745
2026-06-09 12:20:00,290.68,290.87,290.03,290.21,925527
2026-06-09 12:25:00,290.22,290.37,289.48,289.5,871700
2026-06-09 12:30:00,289.5,289.86,288.78,288.87,872852
2026-06-09 12:35:00,288.86,289.4,287.8,288.04,1125681
2026-06-09 12:40:00,288.01,288.58,287.78,288.44,1352089
2026-06-09 12:45:00,288.44,288.75,287.81,288.33,689336
2026-06-09 12:50:00,288.32,288.62,287.94,287.95,520596
2026-06-09 12:55:00,287.94,289.41,287.94,289.16,759282
2026-06-09 13:00:00,289.21,290.15,289.18,289.93,636994
2026-06-09 13:05:00,289.95,290.2,289.74,290.1,552995
2026-06-09 13:10:00,290.11,290.19,289.56,290.01,394095
2026-06-09 13:15:00,290.01,290.58,289.63,290.5,536150
2026-06-09 13:20:00,290.51,291.13,290.24,290.29,623219
2026-06-09 13:25:00,290.28,290.65,290.08,290.46,440036
2026-06-09 13:30:00,290.44,290.68,289.91,290.67,442342
2026-06-09 13:35:00,290.68,290.77,290.12,290.28,421510
2026-06-09 13:40:00,290.27,290.52,290.01,290.05,328729
2026-06-09 13:45:00,290.05,290.16,289.54,289.56,485267
2026-06-09 13:50:00,289.55,290.12,289.5,289.57,379170
