date,open,high,low,close,volume
2026-06-08 09:30:00,402.6,402.84,395.3,397.06,3923560
2026-06-08 09:35:00,396.93,399.41,396.12,396.98,690010
2026-06-08 09:40:00,396.97,401.0,396.32,398.45,981242
2026-06-08 09:45:00,398.55,399.16,395.07,396.24,632402
2026-06-08 09:50:00,396.14,397.11,395.2,395.65,434754
2026-06-08 09:55:00,395.62,396.01,392.11,392.19,530247
2026-06-08 10:00:00,392.27,393.06,391.35,391.58,508985
2026-06-08 10:05:00,391.54,393.82,391.52,393.71,416544
2026-06-08 10:10:00,393.7,394.65,392.9,394.07,333956
2026-06-08 10:15:00,394.07,394.21,392.76,393.5,235634
2026-06-08 10:20:00,393.51,394.96,392.8,394.64,375524
2026-06-08 10:25:00,394.54,395.88,394.3,395.16,258521
2026-06-08 10:30:00,395.26,396.45,394.91,396.29,356987
2026-06-08 10:35:00,396.3,397.66,395.92,397.16,350353
2026-06-08 10:40:00,397.14,397.51,396.04,396.42,252211
2026-06-08 10:45:00,396.39,399.37,396.39,398.83,353740
2026-06-08 10:50:00,398.86,399.34,397.8,398.27,315296
2026-06-08 10:55:00,398.27,398.78,397.65,397.75,279722
2026-06-08 11:00:00,397.79,398.96,397.54,398.4,306191
2026-06-08 11:05:00,398.34,398.38,397.34,397.84,258797
2026-06-08 11:10:00,397.84,399.2,397.59,398.61,330729
2026-06-08 11:15:00,398.61,399.1,398.14,398.37,305352
2026-06-08 11:20:00,398.39,399.26,397.6,398.95,276178
2026-06-08 11:25:00,398.94,398.94,397.45,397.81,202005
2026-06-08 11:30:00,397.71,397.83,396.65,397.27,308114
2026-06-08 11:35:00,397.27,398.34,397.14,398.22,189309
2026-06-08 11:40:00,398.12,398.86,397.57,398.86,213419
2026-06-08 11:45:00,398.91,399.92,398.53,398.72,209789
2026-06-08 11:50:00,398.7,399.35,398.28,398.49,176648
2026-06-08 11:55:00,398.49,398.5,396.41,396.73,217116
2026-06-08 12:00:00,396.82,397.43,396.31,396.94,216730
2026-06-08 12:05:00,396.94,397.4,396.42,396.68,162704
2026-06-08 12:10:00,396.75,397.43,396.31,397.12,177634
2026-06-08 12:15:00,397.16,397.95,397.07,397.86,172571
2026-06-08 12:20:00,397.86,397.97,397.0,397.07,157570
2026-06-08 12:25:00,397.12,397.36,395.7,395.8,197011
2026-06-08 12:30:00,395.86,396.22,395.33,395.43,174538
2026-06-08 12:35:00,395.43,395.58,394.1,394.28,345614
2026-06-08 12:40:00,394.35,394.77,393.95,394.71,278246
2026-06-08 12:45:00,394.71,396.45,394.55,395.88,216299
2026-06-08 12:50:00,395.88,397.2,395.83,396.9,161785
2026-06-08 12:55:00,396.8,397.15,396.19,396.31,222198
2026-06-08 13:00:00,396.31,396.42,395.0,395.36,247415
