date,open,high,low,close,volume
2026-06-08 09:30:00,917.0,927.34,911.88,922.47,101858
2026-06-08 09:35:00,922.83,922.83,911.05,911.33,35045
2026-06-08 09:40:00,911.17,911.87,907.13,909.14,45358
2026-06-08 09:45:00,909.08,914.05,909.04,912.05,46695
2026-06-08 09:50:00,912.04,913.0,908.19,910.28,25686
2026-06-08 09:55:00,910.47,911.08,905.19,906.14,17467
2026-06-08 10:00:00,905.83,908.86,904.33,904.77,26504
2026-06-08 10:05:00,905.33,909.37,904.77,909.02,20902
2026-06-08 10:10:00,909.02,909.53,906.19,906.6,18955
2026-06-08 10:15:00,906.03,907.71,904.87,906.35,13227
2026-06-08 10:20:00,907.0,908.78,906.09,907.91,12520
2026-06-08 10:25:00,908.58,911.7,907.89,910.5,18165
2026-06-08 10:30:00,909.77,911.93,909.77,911.67,14308
2026-06-08 10:35:00,911.82,914.93,910.7,914.93,39395
2026-06-08 10:40:00,914.97,915.28,910.49,912.42,16031
2026-06-08 10:45:00,912.29,913.06,911.14,911.35,24418
2026-06-08 10:50:00,911.35,912.61,911.15,911.18,11406
2026-06-08 10:55:00,911.18,911.55,908.75,910.45,12555
2026-06-08 11:00:00,911.09,911.6,909.09,909.5,12262
2026-06-08 11:05:00,909.31,911.0,909.31,909.88,7390
2026-06-08 11:10:00,909.93,910.33,909.11,909.11,15349
2026-06-08 11:15:00,909.2,910.82,909.05,910.66,15553
2026-06-08 11:20:00,910.52,911.0,907.92,908.56,36985
2026-06-08 11:25:00,908.66,909.07,907.73,908.29,15141
2026-06-08 11:30:00,908.54,908.63,904.53,905.32,24633
2026-06-08 11:35:00,904.91,909.64,904.67,909.05,47544
2026-06-08 11:40:00,909.05,910.11,908.38,909.39,17045
2026-06-08 11:45:00,909.8,910.4,908.5,908.5,8451
2026-06-08 11:50:00,908.69,910.66,908.53,909.45,6366
2026-06-08 11:55:00,909.01,909.39,908.03,909.39,9130
2026-06-08 12:00:00,909.39,909.39,907.87,908.18,9910
2026-06-08 12:05:00,908.4,909.69,907.92,908.52,11496
2026-06-08 12:10:00,908.38,910.22,907.48,909.74,8237
2026-06-08 12:15:00,909.8,910.27,909.24,909.64,10680
2026-06-08 12:20:00,910.0,911.07,908.59,908.95,14248
