date,open,high,low,close,volume
2026-06-08 09:30:00,397.52,398.33,397.51,397.71,714319
2026-06-08 09:35:00,397.71,398.95,397.61,398.4,295454
2026-06-08 09:40:00,398.45,398.79,397.91,397.95,172585
2026-06-08 09:45:00,398.02,398.24,397.64,397.64,86665
2026-06-08 09:50:00,397.68,398.26,397.27,397.83,163113
2026-06-08 09:55:00,397.79,398.1,397.05,397.13,99845
2026-06-08 10:00:00,397.13,397.53,396.72,396.74,141610
2026-06-08 10:05:00,396.74,397.19,396.41,396.57,117298
2026-06-08 10:10:00,396.57,396.57,396.2,396.45,111767
2026-06-08 10:15:00,396.45,396.68,396.24,396.65,72854
2026-06-08 10:20:00,396.63,396.95,396.25,396.38,99416
2026-06-08 10:25:00,396.36,396.75,396.08,396.52,106765
2026-06-08 10:30:00,396.5,396.9,396.36,396.77,70898
2026-06-08 10:35:00,396.73,396.8,396.03,396.54,105870
2026-06-08 10:40:00,396.51,396.82,396.17,396.78,135244
2026-06-08 10:45:00,396.85,397.42,396.32,396.32,110767
2026-06-08 10:50:00,396.43,397.17,396.27,397.11,66297
2026-06-08 10:55:00,397.14,397.6,396.92,397.55,57531
2026-06-08 11:00:00,397.56,398.0,397.25,397.28,63301
2026-06-08 11:05:00,397.3,397.46,396.93,397.27,103157
2026-06-08 11:10:00,397.25,397.3,396.97,396.98,60188
2026-06-08 11:15:00,396.98,397.61,396.75,397.56,75623
2026-06-08 11:20:00,397.57,397.96,397.36,397.88,66858
2026-06-08 11:25:00,397.86,397.86,397.31,397.45,46019
2026-06-08 11:30:00,397.47,397.7,397.24,397.55,67711
2026-06-08 11:35:00,397.58,398.08,397.48,398.02,54059
2026-06-08 11:40:00,398.0,398.3,397.9,398.23,72456
2026-06-08 11:45:00,398.22,398.41,397.86,397.92,63651
2026-06-08 11:50:00,397.93,398.67,397.93,398.59,119891
2026-06-08 11:55:00,398.62,398.9,398.49,398.55,127912
2026-06-08 12:00:00,398.52,398.75,398.25,398.46,47314
2026-06-08 12:05:00,398.45,398.67,398.27,398.34,37885
2026-06-08 12:10:00,398.38,398.54,398.2,398.45,31000
2026-06-08 12:15:00,398.46,398.73,398.42,398.61,21993
2026-06-08 12:20:00,398.7,398.71,398.36,398.49,71959
2026-06-08 12:25:00,398.49,398.65,398.43,398.47,68000
2026-06-08 12:30:00,398.51,398.87,398.48,398.62,31103
2026-06-08 12:35:00,398.63,398.98,398.44,398.47,75099
2026-06-08 12:40:00,398.49,398.75,398.45,398.75,38550
2026-06-08 12:45:00,398.77,398.9,398.59,398.83,36705
2026-06-08 12:50:00,398.85,398.89,398.2,398.26,62275
2026-06-08 12:55:00,398.23,398.5,398.2,398.44,23950
2026-06-08 13:00:00,398.45,398.59,398.09,398.16,40990
2026-06-08 13:05:00,398.19,398.57,398.17,398.27,31462
2026-06-08 13:10:00,398.27,398.31,398.05,398.27,37995
2026-06-08 13:15:00,398.32,398.42,398.06,398.24,61551
2026-06-08 13:20:00,398.26,398.41,397.95,397.97,53588
2026-06-08 13:25:00,398.01,398.43,397.8,398.33,82975
