date,open,high,low,close,volume
2026-06-08 09:30:00,285.51,285.61,284.26,284.29,3152112
2026-06-08 09:35:00,284.29,284.83,284.02,284.02,787832
2026-06-08 09:40:00,284.03,284.78,284.0,284.63,464227
2026-06-08 09:45:00,284.61,284.98,284.46,284.55,688500
2026-06-08 09:50:00,284.58,285.08,284.12,284.72,637287
2026-06-08 09:55:00,284.72,284.88,283.99,284.17,539102
2026-06-08 10:00:00,284.17,285.09,284.14,284.54,494945
2026-06-08 10:05:00,284.55,285.3,284.48,285.17,426438
2026-06-08 10:10:00,285.17,285.29,284.91,284.98,400371
2026-06-08 10:15:00,284.97,285.21,284.54,284.86,292050
2026-06-08 10:20:00,284.87,285.19,284.53,285.0,280960
2026-06-08 10:25:00,285.01,285.42,284.92,285.31,280751
2026-06-08 10:30:00,285.29,285.84,285.22,285.79,449919
2026-06-08 10:35:00,285.8,286.2,285.76,286.01,415475
2026-06-08 10:40:00,285.99,286.12,285.31,285.68,297392
2026-06-08 10:45:00,285.7,286.23,285.69,285.7,304350
2026-06-08 10:50:00,285.7,286.25,285.65,286.14,162309
2026-06-08 10:55:00,286.14,286.52,285.95,286.49,248223
2026-06-08 11:00:00,286.48,286.59,286.22,286.23,157356
2026-06-08 11:05:00,286.23,286.69,286.21,286.67,168352
2026-06-08 11:10:00,286.69,286.82,286.47,286.53,163178
2026-06-08 11:15:00,286.53,286.76,286.42,286.7,196747
2026-06-08 11:20:00,286.71,286.84,286.45,286.79,115194
2026-06-08 11:25:00,286.78,286.8,286.09,286.14,266877
2026-06-08 11:30:00,286.15,286.23,285.31,285.5,501362
2026-06-08 11:35:00,285.48,286.19,285.36,286.14,337499
2026-06-08 11:40:00,286.11,286.33,285.95,286.22,128130
2026-06-08 11:45:00,286.23,286.37,285.81,285.82,143455
2026-06-08 11:50:00,285.84,286.15,285.76,285.83,171845
2026-06-08 11:55:00,285.83,285.83,285.46,285.63,196553
2026-06-08 12:00:00,285.67,285.83,285.4,285.64,254168
2026-06-08 12:05:00,285.65,285.77,285.29,285.32,263757
2026-06-08 12:10:00,285.32,285.66,285.18,285.55,112716
2026-06-08 12:15:00,285.55,285.86,285.54,285.83,165633
2026-06-08 12:20:00,285.84,286.06,285.52,285.62,278083
2026-06-08 12:25:00,285.63,285.85,285.21,285.22,398381
2026-06-08 12:30:00,285.26,285.51,285.24,285.28,294361
2026-06-08 12:35:00,285.28,285.49,285.08,285.12,242462
2026-06-08 12:40:00,285.1,285.47,285.01,285.41,170023
2026-06-08 12:45:00,285.43,285.72,285.28,285.41,132230
2026-06-08 12:50:00,285.42,285.54,285.26,285.44,99968
2026-06-08 12:55:00,285.43,285.45,285.07,285.12,123081
2026-06-08 13:00:00,285.12,285.14,284.41,284.62,1022507
2026-06-08 13:05:00,284.61,284.89,284.4,284.45,179279
2026-06-08 13:10:00,284.45,284.49,284.13,284.48,346418
2026-06-08 13:15:00,284.48,284.6,284.07,284.14,327013
2026-06-08 13:20:00,284.16,284.42,283.97,284.09,119452
2026-06-08 13:25:00,284.1,284.55,283.96,284.55,431581
2026-06-08 13:30:00,284.54,284.64,283.83,284.02,294345
2026-06-08 13:35:00,284.02,284.13,283.58,284.12,264351
2026-06-08 13:40:00,284.13,284.27,284.0,284.15,116015
2026-06-08 13:45:00,284.16,284.59,284.16,284.58,174153
2026-06-08 13:50:00,284.59,284.84,284.43,284.66,153707
2026-06-08 13:55:00,284.66,284.7,284.31,284.38,220756
2026-06-08 14:00:00,284.4,284.97,284.4,284.89,156194
2026-06-08 14:05:00,284.89,285.14,284.89,285.04,213220
2026-06-08 14:10:00,285.04,285.11,284.66,284.78,227748
2026-06-08 14:15:00,284.79,285.07,284.77,284.94,196851
2026-06-08 14:20:00,284.95,285.2,284.85,285.09,339426
2026-06-08 14:25:00,285.1,285.27,285.08,285.18,129925
