date,open,high,low,close,volume
2026-06-08 09:30:00,232.77,234.95,231.49,234.62,251764
2026-06-08 09:35:00,234.53,234.53,233.2,233.57,64339
2026-06-08 09:40:00,233.57,233.7,233.08,233.53,53352
2026-06-08 09:45:00,233.54,233.78,233.23,233.38,44665
2026-06-08 09:50:00,233.31,233.41,232.81,232.9,60677
2026-06-08 09:55:00,232.93,233.26,232.55,232.71,103474
2026-06-08 10:00:00,232.78,233.6,232.65,233.41,134481
2026-06-08 10:05:00,233.4,233.75,233.18,233.29,50290
2026-06-08 10:10:00,233.26,233.49,232.71,232.88,188680
2026-06-08 10:15:00,232.88,234.1,232.88,234.1,74436
2026-06-08 10:20:00,233.98,234.26,233.62,233.67,56544
2026-06-08 10:25:00,233.73,233.74,233.01,233.05,46076
2026-06-08 10:30:00,233.06,233.23,232.6,232.6,96622
2026-06-08 10:35:00,232.58,232.65,232.24,232.42,68433
2026-06-08 10:40:00,232.45,232.67,231.91,232.12,72519
2026-06-08 10:45:00,232.04,232.1,231.82,231.96,54454
2026-06-08 10:50:00,231.96,232.12,231.77,232.1,55641
2026-06-08 10:55:00,232.13,232.64,232.04,232.6,75307
2026-06-08 11:00:00,232.59,232.69,232.36,232.46,81707
2026-06-08 11:05:00,232.46,232.72,232.43,232.72,49402
2026-06-08 11:10:00,232.72,232.97,232.46,232.56,59435
2026-06-08 11:15:00,232.56,232.69,232.27,232.43,70996
2026-06-08 11:20:00,232.44,232.93,232.44,232.9,47901
2026-06-08 11:25:00,232.87,232.88,232.48,232.48,64568
2026-06-08 11:30:00,232.48,232.59,232.14,232.16,157060
2026-06-08 11:35:00,232.17,232.36,231.83,232.2,150224
2026-06-08 11:40:00,232.18,232.32,231.85,231.91,48571
2026-06-08 11:45:00,231.87,232.29,231.87,232.11,39829
2026-06-08 11:50:00,232.09,232.27,232.07,232.09,31928
2026-06-08 11:55:00,232.1,232.31,232.07,232.29,56565
2026-06-08 12:00:00,232.25,232.32,232.08,232.09,48684
2026-06-08 12:05:00,232.06,232.11,231.86,231.9,70482
2026-06-08 12:10:00,231.9,232.14,231.82,232.14,42252
2026-06-08 12:15:00,232.1,232.13,231.87,231.95,48070
2026-06-08 12:20:00,231.91,232.09,231.86,231.98,57993
2026-06-08 12:25:00,232.02,232.1,231.52,231.53,60816
2026-06-08 12:30:00,231.52,231.64,231.19,231.34,419401
2026-06-08 12:35:00,231.37,231.7,231.37,231.59,57369
2026-06-08 12:40:00,231.53,231.6,231.32,231.42,28924
2026-06-08 12:45:00,231.45,231.49,231.33,231.45,29319
2026-06-08 12:50:00,231.47,231.52,231.31,231.32,24209
2026-06-08 12:55:00,231.3,231.3,231.02,231.13,46403
2026-06-08 13:00:00,231.12,231.12,230.9,231.06,61634
2026-06-08 13:05:00,231.12,231.25,230.93,230.99,32620
2026-06-08 13:10:00,231.01,231.25,231.0,231.05,43875
2026-06-08 13:15:00,231.12,231.17,230.87,230.87,35766
2026-06-08 13:20:00,230.87,231.01,230.86,230.87,23426
2026-06-08 13:25:00,230.89,231.04,230.84,231.01,25810
2026-06-08 13:30:00,230.99,231.16,230.56,230.56,37765
2026-06-08 13:35:00,230.62,230.91,230.62,230.81,226243
2026-06-08 13:40:00,230.84,231.1,230.79,231.05,41294
2026-06-08 13:45:00,231.1,231.33,231.1,231.27,31869
2026-06-08 13:50:00,231.28,231.45,231.11,231.13,124741
2026-06-08 13:55:00,231.14,231.43,231.13,231.32,40454
2026-06-08 14:00:00,231.34,231.55,231.32,231.35,31838
2026-06-08 14:05:00,231.35,231.44,231.32,231.38,23457
2026-06-08 14:10:00,231.39,231.4,231.06,231.08,28977
2026-06-08 14:15:00,231.08,231.35,231.08,231.3,32626
2026-06-08 14:20:00,231.32,231.32,231.14,231.19,29897
2026-06-08 14:25:00,231.19,231.34,231.17,231.33,30770
