date,open,high,low,close,volume
2026-06-08 09:30:00,313.25,316.3,312.75,314.95,455492
2026-06-08 09:35:00,314.95,315.06,312.79,312.92,116523
2026-06-08 09:40:00,312.93,314.18,312.76,313.65,66899
2026-06-08 09:45:00,313.54,314.16,313.18,313.49,137421
2026-06-08 09:50:00,313.49,313.56,312.52,312.65,77120
2026-06-08 09:55:00,312.68,312.79,311.5,311.5,107909
2026-06-08 10:00:00,311.5,312.75,311.39,312.24,130281
2026-06-08 10:05:00,312.23,313.47,312.23,313.21,71959
2026-06-08 10:10:00,313.26,313.49,312.64,312.83,59875
2026-06-08 10:15:00,312.87,313.29,312.47,312.64,83137
2026-06-08 10:20:00,312.64,312.78,311.42,311.54,210164
2026-06-08 10:25:00,311.88,312.5,311.62,311.62,53436
2026-06-08 10:30:00,311.68,312.17,311.62,311.9,189824
2026-06-08 10:35:00,311.9,312.16,311.7,312.08,49194
2026-06-08 10:40:00,312.2,312.45,311.6,312.03,40891
2026-06-08 10:45:00,312.03,312.4,311.96,312.06,41601
2026-06-08 10:50:00,312.11,312.62,311.86,312.54,32322
2026-06-08 10:55:00,312.58,313.28,312.35,313.26,103911
2026-06-08 11:00:00,313.26,313.93,313.02,313.12,56852
2026-06-08 11:05:00,313.2,313.8,313.04,313.37,0
2026-06-08 11:10:00,313.41,313.41,312.95,313.03,44318
2026-06-08 11:15:00,313.06,313.26,312.65,312.89,33920
2026-06-08 11:20:00,312.88,313.06,312.45,312.9,32120
2026-06-08 11:25:00,312.88,313.13,312.58,312.79,79312
2026-06-08 11:30:00,312.83,313.1,312.34,312.43,45541
2026-06-08 11:35:00,312.52,313.15,312.18,312.63,82586
2026-06-08 11:40:00,312.63,312.9,312.63,312.64,49940
2026-06-08 11:45:00,312.68,312.81,312.54,312.57,41792
2026-06-08 11:50:00,312.62,312.86,312.56,312.58,22448
2026-06-08 11:55:00,312.71,312.71,312.35,312.53,30279
2026-06-08 12:00:00,312.56,312.92,312.34,312.58,25983
2026-06-08 12:05:00,312.59,312.67,312.34,312.42,37913
2026-06-08 12:10:00,312.43,312.54,312.25,312.43,22081
2026-06-08 12:15:00,312.4,312.8,312.35,312.42,30135
2026-06-08 12:20:00,312.47,312.59,312.33,312.48,25411
2026-06-08 12:25:00,312.44,312.7,312.44,312.48,25213
2026-06-08 12:30:00,312.53,312.64,312.37,312.4,20508
2026-06-08 12:35:00,312.45,312.56,312.34,312.47,35624
2026-06-08 12:40:00,312.42,312.73,312.34,312.56,23724
2026-06-08 12:45:00,312.55,312.71,312.48,312.51,31972
2026-06-08 12:50:00,312.51,312.72,312.45,312.63,26418
2026-06-08 12:55:00,312.64,312.64,312.2,312.33,26964
2026-06-08 13:00:00,312.33,312.33,311.68,311.87,64718
2026-06-08 13:05:00,311.85,312.49,311.85,312.17,32789
2026-06-08 13:10:00,312.17,312.23,311.67,311.79,36243
2026-06-08 13:15:00,311.82,311.91,311.55,311.86,43292
2026-06-08 13:20:00,311.83,312.05,311.8,311.98,27205
2026-06-08 13:25:00,311.98,312.46,311.94,312.41,29919
2026-06-08 13:30:00,312.35,312.38,311.5,311.58,47378
2026-06-08 13:35:00,311.6,311.92,311.48,311.73,26138
2026-06-08 13:40:00,311.77,311.98,311.69,311.83,26645
2026-06-08 13:45:00,311.87,312.21,311.79,312.21,24507
2026-06-08 13:50:00,312.22,312.35,311.95,311.95,21826
2026-06-08 13:55:00,311.95,312.16,311.76,312.14,27919
2026-06-08 14:00:00,312.18,312.76,312.13,312.69,42985
2026-06-08 14:05:00,312.7,312.91,312.67,312.87,48040
2026-06-08 14:10:00,312.86,312.91,312.26,312.47,54309
2026-06-08 14:15:00,312.51,312.79,312.42,312.61,74004
2026-06-08 14:20:00,312.64,312.75,312.54,312.68,30695
2026-06-08 14:25:00,312.67,312.89,312.62,312.81,32553
2026-06-08 14:30:00,312.8,312.93,312.73,312.77,34561
2026-06-08 14:35:00,312.79,312.79,312.35,312.4,39284
2026-06-08 14:40:00,312.39,312.59,312.39,312.54,29313
2026-06-08 14:45:00,312.54,312.57,312.17,312.25,35983
2026-06-08 14:50:00,312.33,312.46,312.21,312.39,30186
2026-06-08 14:55:00,312.32,312.51,312.2,312.2,38416
2026-06-08 15:00:00,312.21,312.42,312.01,312.17,43600
2026-06-08 15:05:00,312.17,312.26,311.92,311.92,41951
2026-06-08 15:10:00,311.89,311.95,311.61,311.66,37000
