date,open,high,low,close,volume
2026-06-08 09:30:00,79.31,79.92,79.1,79.75,844577
2026-06-08 09:35:00,79.75,79.76,79.34,79.44,221730
2026-06-08 09:40:00,79.44,79.48,79.28,79.31,117134
2026-06-08 09:45:00,79.29,79.4,79.23,79.27,196266
2026-06-08 09:50:00,79.28,79.43,79.26,79.38,115486
2026-06-08 09:55:00,79.38,79.64,79.36,79.64,157786
2026-06-08 10:00:00,79.64,79.82,79.59,79.79,199350
2026-06-08 10:05:00,79.79,79.93,79.74,79.84,124633
2026-06-08 10:10:00,79.83,79.9,79.67,79.67,180218
2026-06-08 10:15:00,79.66,79.71,79.58,79.65,105302
2026-06-08 10:20:00,79.64,79.69,79.57,79.67,120241
2026-06-08 10:25:00,79.67,79.71,79.53,79.54,103983
2026-06-08 10:30:00,79.54,79.56,79.43,79.46,98203
2026-06-08 10:35:00,79.45,79.45,79.34,79.37,84339
2026-06-08 10:40:00,79.39,79.44,79.31,79.36,80032
2026-06-08 10:45:00,79.35,79.4,79.33,79.36,72897
2026-06-08 10:50:00,79.36,79.46,79.31,79.39,80003
2026-06-08 10:55:00,79.39,79.43,79.36,79.4,77295
2026-06-08 11:00:00,79.4,79.47,79.37,79.38,76893
2026-06-08 11:05:00,79.38,79.49,79.37,79.44,61028
2026-06-08 11:10:00,79.45,79.46,79.31,79.35,99155
2026-06-08 11:15:00,79.36,79.39,79.32,79.33,61370
2026-06-08 11:20:00,79.33,79.45,79.32,79.43,90102
2026-06-08 11:25:00,79.44,79.45,79.32,79.34,58173
2026-06-08 11:30:00,79.34,79.35,79.3,79.33,86523
2026-06-08 11:35:00,79.32,79.36,79.28,79.33,56584
2026-06-08 11:40:00,79.33,79.33,79.26,79.26,53770
2026-06-08 11:45:00,79.26,79.39,79.26,79.38,42589
2026-06-08 11:50:00,79.37,79.48,79.37,79.46,122573
2026-06-08 11:55:00,79.45,79.47,79.39,79.4,70854
2026-06-08 12:00:00,79.39,79.44,79.38,79.39,48045
2026-06-08 12:05:00,79.39,79.4,79.35,79.38,54403
2026-06-08 12:10:00,79.38,79.43,79.36,79.43,51242
2026-06-08 12:15:00,79.43,79.44,79.35,79.36,70462
2026-06-08 12:20:00,79.36,79.4,79.3,79.34,40095
2026-06-08 12:25:00,79.33,79.36,79.23,79.23,44838
2026-06-08 12:30:00,79.22,79.33,79.22,79.33,61411
2026-06-08 12:35:00,79.32,79.56,79.3,79.46,279190
2026-06-08 12:40:00,79.46,79.49,79.39,79.43,69887
2026-06-08 12:45:00,79.43,79.5,79.42,79.46,49203
2026-06-08 12:50:00,79.46,79.46,79.4,79.41,55145
2026-06-08 12:55:00,79.39,79.42,79.36,79.38,68942
2026-06-08 13:00:00,79.37,79.39,79.21,79.21,98488
2026-06-08 13:05:00,79.22,79.28,79.19,79.24,52540
2026-06-08 13:10:00,79.24,79.33,79.24,79.31,49503
2026-06-08 13:15:00,79.31,79.31,79.27,79.27,61048
2026-06-08 13:20:00,79.28,79.35,79.26,79.33,56391
2026-06-08 13:25:00,79.33,79.37,79.33,79.34,40789
2026-06-08 13:30:00,79.35,79.35,79.21,79.22,62604
2026-06-08 13:35:00,79.22,79.33,79.21,79.32,63583
2026-06-08 13:40:00,79.32,79.36,79.31,79.32,50802
2026-06-08 13:45:00,79.32,79.36,79.31,79.32,48303
2026-06-08 13:50:00,79.33,79.35,79.28,79.3,56049
2026-06-08 13:55:00,79.29,79.34,79.28,79.33,53945
2026-06-08 14:00:00,79.33,79.42,79.33,79.42,82967
2026-06-08 14:05:00,79.42,79.53,79.4,79.51,167971
2026-06-08 14:10:00,79.51,79.53,79.46,79.52,50869
2026-06-08 14:15:00,79.51,79.53,79.47,79.51,61569
2026-06-08 14:20:00,79.51,79.56,79.49,79.56,59808
2026-06-08 14:25:00,79.55,79.62,79.54,79.61,47228
2026-06-08 14:30:00,79.61,79.64,79.57,79.57,59443
2026-06-08 14:35:00,79.57,79.6,79.56,79.57,59553
2026-06-08 14:40:00,79.57,79.6,79.5,79.5,63892
2026-06-08 14:45:00,79.5,79.51,79.44,79.44,57038
2026-06-08 14:50:00,79.44,79.49,79.43,79.46,45972
2026-06-08 14:55:00,79.46,79.49,79.46,79.47,49628
2026-06-08 15:00:00,79.47,79.53,79.45,79.53,57000
2026-06-08 15:05:00,79.53,79.57,79.49,79.55,52682
2026-06-08 15:10:00,79.55,79.56,79.47,79.48,64885
2026-06-08 15:15:00,79.49,79.53,79.46,79.5,72655
2026-06-08 15:20:00,79.49,79.53,79.47,79.53,73810
2026-06-08 15:25:00,79.53,79.62,79.52,79.57,136524
2026-06-08 15:30:00,79.57,79.59,79.5,79.52,88892
2026-06-08 15:35:00,79.53,79.53,79.41,79.43,83892
2026-06-08 15:40:00,79.43,79.54,79.43,79.52,98797
2026-06-08 15:45:00,79.51,79.56,79.47,79.53,129881
2026-06-08 15:50:00,79.53,79.59,79.5,79.55,212690
2026-06-08 15:55:00,79.56,79.59,79.37,79.54,879388
2026-06-09 09:30:00,79.55,79.77,79.38,79.54,701325
2026-06-09 09:35:00,79.55,79.67,79.51,79.66,231690
2026-06-09 09:40:00,79.66,79.76,79.52,79.55,177861
2026-06-09 09:45:00,79.57,79.61,79.48,79.59,239181
2026-06-09 09:50:00,79.59,79.71,79.47,79.62,213608
2026-06-09 09:55:00,79.61,79.65,79.49,79.55,151230
2026-06-09 10:00:00,79.56,79.78,79.56,79.78,105798
2026-06-09 10:05:00,79.78,80.07,79.76,80.06,119764
2026-06-09 10:10:00,80.07,80.25,80.06,80.21,144954
2026-06-09 10:15:00,80.22,80.48,80.21,80.29,174203
2026-06-09 10:20:00,80.29,80.41,80.22,80.34,138748
2026-06-09 10:25:00,80.35,80.48,80.31,80.47,119202
2026-06-09 10:30:00,80.47,80.75,80.47,80.57,244341
2026-06-09 10:35:00,80.58,80.58,80.45,80.5,113450
2026-06-09 10:40:00,80.5,80.67,80.43,80.66,142479
2026-06-09 10:45:00,80.65,80.74,80.62,80.66,213366
2026-06-09 10:50:00,80.67,80.67,80.28,80.29,268925
2026-06-09 10:55:00,80.26,80.47,80.25,80.43,126246
2026-06-09 11:00:00,80.44,80.6,80.44,80.57,96291
2026-06-09 11:05:00,80.57,80.59,80.41,80.44,103492
2026-06-09 11:10:00,80.45,80.6,80.41,80.59,151317
2026-06-09 11:15:00,80.59,80.75,80.58,80.75,142954
2026-06-09 11:20:00,80.75,80.91,80.73,80.9,175243
2026-06-09 11:25:00,80.89,80.94,80.85,80.9,155310
2026-06-09 11:30:00,80.9,81.03,80.88,81.0,227775
2026-06-09 11:35:00,81.01,81.07,80.97,81.04,145919
2026-06-09 11:40:00,81.04,81.06,80.82,80.88,185093
2026-06-09 11:45:00,80.88,80.92,80.8,80.9,158682
2026-06-09 11:50:00,80.9,81.06,80.9,81.06,201785
2026-06-09 11:55:00,81.05,81.34,81.02,81.32,225715
2026-06-09 12:00:00,81.32,81.36,81.14,81.36,202726
2026-06-09 12:05:00,81.36,81.54,81.35,81.44,252737
2026-06-09 12:10:00,81.44,81.52,81.39,81.47,167121
2026-06-09 12:15:00,81.46,81.64,81.42,81.6,205989
2026-06-09 12:20:00,81.61,81.68,81.56,81.6,171045
2026-06-09 12:25:00,81.61,81.63,81.49,81.59,218882
2026-06-09 12:30:00,81.61,81.69,81.61,81.68,198914
2026-06-09 12:35:00,81.68,81.69,81.51,81.65,360852
2026-06-09 12:40:00,81.65,81.65,81.42,81.43,223863
2026-06-09 12:45:00,81.43,81.6,81.38,81.52,216961
2026-06-09 12:50:00,81.52,81.72,81.52,81.71,128186
2026-06-09 12:55:00,81.72,81.76,81.55,81.56,152335
2026-06-09 13:00:00,81.56,81.61,81.21,81.22,196933
2026-06-09 13:05:00,81.22,81.31,81.18,81.22,280357
2026-06-09 13:10:00,81.23,81.28,81.04,81.05,231905
2026-06-09 13:15:00,81.05,81.07,80.87,80.87,149623
2026-06-09 13:20:00,80.86,81.16,80.83,81.15,180260
2026-06-09 13:25:00,81.15,81.23,81.11,81.14,99805
2026-06-09 13:30:00,81.14,81.14,81.07,81.07,82891
2026-06-09 13:35:00,81.07,81.11,81.0,81.02,115098
2026-06-09 13:40:00,81.01,81.03,80.95,81.0,177377
2026-06-09 13:45:00,81.01,81.21,80.99,81.15,158623
2026-06-09 13:50:00,81.15,81.17,81.0,81.0,106118
2026-06-09 13:55:00,81.0,81.08,80.97,81.03,150806
2026-06-09 14:00:00,81.02,81.06,80.95,80.95,100249
2026-06-09 14:05:00,80.95,81.0,80.93,80.96,110271
2026-06-09 14:10:00,80.96,80.99,80.92,80.92,54816
2026-06-09 14:15:00,80.93,80.93,80.87,80.9,93437
2026-06-09 14:20:00,80.9,80.96,80.84,80.84,60555
2026-06-09 14:25:00,80.84,80.89,80.8,80.82,59522
2026-06-09 14:30:00,80.82,80.82,80.71,80.75,93849
2026-06-09 14:35:00,80.74,80.82,80.74,80.76,77240
2026-06-09 14:40:00,80.76,80.8,80.76,80.78,61875
2026-06-09 14:45:00,80.78,80.86,80.77,80.85,71568
2026-06-09 14:50:00,80.85,80.86,80.75,80.77,102272
