date,open,high,low,close,volume
2026-06-08 09:30:00,81.54,82.2,81.54,81.62,1731380
2026-06-08 09:35:00,81.62,81.97,81.34,81.93,595255
2026-06-08 09:40:00,81.94,82.11,81.68,82.01,592182
2026-06-08 09:45:00,82.0,82.17,81.61,81.64,497463
2026-06-08 09:50:00,81.64,82.19,81.6,82.15,429943
2026-06-08 09:55:00,82.19,82.56,82.04,82.53,403793
2026-06-08 10:00:00,82.57,82.75,82.5,82.67,590375
2026-06-08 10:05:00,82.67,82.84,82.64,82.75,430605
2026-06-08 10:10:00,82.73,82.83,82.68,82.79,431634
2026-06-08 10:15:00,82.79,83.01,82.71,83.0,504744
2026-06-08 10:20:00,83.0,83.08,82.78,82.82,511762
2026-06-08 10:25:00,82.81,82.88,82.71,82.72,352792
2026-06-08 10:30:00,82.72,82.76,82.58,82.59,476164
2026-06-08 10:35:00,82.6,82.71,82.38,82.39,639420
2026-06-08 10:40:00,82.4,82.67,82.37,82.6,309160
2026-06-08 10:45:00,82.58,82.83,82.58,82.64,336192
2026-06-08 10:50:00,82.64,82.64,82.49,82.53,316871
2026-06-08 10:55:00,82.51,82.63,82.48,82.6,341579
2026-06-08 11:00:00,82.6,82.61,82.38,82.44,378290
2026-06-08 11:05:00,82.43,82.52,82.21,82.3,413579
2026-06-08 11:10:00,82.28,82.35,82.18,82.21,285778
2026-06-08 11:15:00,82.2,82.2,82.05,82.1,314072
2026-06-08 11:20:00,82.1,82.39,82.07,82.37,280698
2026-06-08 11:25:00,82.37,82.38,82.26,82.27,207999
2026-06-08 11:30:00,82.26,82.28,82.19,82.25,195394
2026-06-08 11:35:00,82.26,82.34,82.19,82.33,248270
2026-06-08 11:40:00,82.32,82.32,82.25,82.32,157590
2026-06-08 11:45:00,82.32,82.49,82.32,82.49,220514
2026-06-08 11:50:00,82.48,82.5,82.38,82.42,167804
2026-06-08 11:55:00,82.42,82.42,82.27,82.27,222908
2026-06-08 12:00:00,82.3,82.3,82.12,82.23,414354
2026-06-08 12:05:00,82.22,82.25,82.12,82.19,265014
2026-06-08 12:10:00,82.19,82.21,82.14,82.18,158370
2026-06-08 12:15:00,82.18,82.22,82.15,82.17,137601
2026-06-08 12:20:00,82.17,82.21,82.13,82.18,136404
2026-06-08 12:25:00,82.17,82.19,82.11,82.11,124290
2026-06-08 12:30:00,82.12,82.15,82.1,82.11,132249
2026-06-08 12:35:00,82.11,82.18,82.11,82.15,147455
2026-06-08 12:40:00,82.15,82.19,82.09,82.1,198921
2026-06-08 12:45:00,82.1,82.11,81.97,82.04,238994
2026-06-08 12:50:00,82.04,82.07,81.98,82.06,111426
2026-06-08 12:55:00,82.05,82.15,82.04,82.12,136100
2026-06-08 13:00:00,82.12,82.12,82.06,82.08,196732
2026-06-08 13:05:00,82.08,82.14,82.08,82.11,141271
2026-06-08 13:10:00,82.11,82.19,82.07,82.17,213708
2026-06-08 13:15:00,82.17,82.23,82.12,82.13,180625
2026-06-08 13:20:00,82.14,82.18,82.05,82.18,235202
2026-06-08 13:25:00,82.18,82.27,82.1,82.15,282066
2026-06-08 13:30:00,82.15,82.15,81.98,82.01,195835
2026-06-08 13:35:00,82.01,82.14,82.01,82.13,140667
2026-06-08 13:40:00,82.14,82.14,82.08,82.11,178494
2026-06-08 13:45:00,82.11,82.18,82.06,82.17,126958
2026-06-08 13:50:00,82.18,82.21,82.14,82.14,124400
2026-06-08 13:55:00,82.14,82.25,82.14,82.23,223484
2026-06-08 14:00:00,82.22,82.36,82.21,82.32,239487
2026-06-08 14:05:00,82.32,82.41,82.32,82.41,394729
2026-06-08 14:10:00,82.4,82.62,82.35,82.62,339645
2026-06-08 14:15:00,82.63,82.67,82.56,82.66,224925
2026-06-08 14:20:00,82.66,82.76,82.63,82.72,231634
2026-06-08 14:25:00,82.71,82.72,82.58,82.64,174833
2026-06-08 14:30:00,82.64,82.73,82.63,82.7,167981
2026-06-08 14:35:00,82.69,82.72,82.63,82.65,434623
2026-06-08 14:40:00,82.65,82.84,82.64,82.72,332774
2026-06-08 14:45:00,82.73,82.87,82.64,82.86,796697
2026-06-08 14:50:00,82.86,82.87,82.81,82.82,190687
2026-06-08 14:55:00,82.82,82.86,82.66,82.66,191994
2026-06-08 15:00:00,82.67,82.79,82.67,82.71,201365
2026-06-08 15:05:00,82.71,82.72,82.57,82.57,199378
2026-06-08 15:10:00,82.56,82.57,82.45,82.47,241234
2026-06-08 15:15:00,82.47,82.56,82.36,82.53,781984
2026-06-08 15:20:00,82.53,82.55,82.44,82.53,201789
2026-06-08 15:25:00,82.53,82.6,82.51,82.54,237099
2026-06-08 15:30:00,82.55,82.61,82.5,82.54,257259
2026-06-08 15:35:00,82.55,82.75,82.55,82.7,380958
2026-06-08 15:40:00,82.71,82.84,82.7,82.82,430992
2026-06-08 15:45:00,82.82,82.89,82.79,82.84,329341
2026-06-08 15:50:00,82.84,82.87,82.73,82.82,715368
2026-06-08 15:55:00,82.82,82.82,82.62,82.63,1743843
2026-06-09 09:30:00,82.03,82.29,81.63,82.02,1387821
2026-06-09 09:35:00,82.04,82.2,81.9,82.08,573246
2026-06-09 09:40:00,82.07,82.25,81.89,82.21,405918
2026-06-09 09:45:00,82.2,82.26,81.89,82.06,414214
2026-06-09 09:50:00,82.07,82.29,81.93,82.14,467598
2026-06-09 09:55:00,82.15,82.25,81.93,82.1,592201
2026-06-09 10:00:00,82.1,82.16,81.95,81.96,340356
2026-06-09 10:05:00,81.96,82.25,81.85,82.22,425006
2026-06-09 10:10:00,82.22,82.32,81.97,82.01,377382
2026-06-09 10:15:00,82.01,82.04,81.8,81.8,368870
2026-06-09 10:20:00,81.8,82.09,81.79,81.93,313612
2026-06-09 10:25:00,81.93,81.95,81.79,81.91,262982
2026-06-09 10:30:00,81.92,82.11,81.92,81.96,345116
2026-06-09 10:35:00,81.96,81.97,81.8,81.92,220198
2026-06-09 10:40:00,81.93,82.11,81.85,82.07,290688
2026-06-09 10:45:00,82.07,82.07,81.83,81.86,367295
