date,open,high,low,close,volume
2026-06-08 09:30:00,210.18,210.39,208.2,208.37,19637092
2026-06-08 09:35:00,208.35,209.62,208.22,208.6,3491135
2026-06-08 09:40:00,208.6,209.42,208.41,208.89,2229776
2026-06-08 09:45:00,208.9,209.24,208.1,208.65,2566720
2026-06-08 09:50:00,208.68,208.85,208.06,208.18,2184169
2026-06-08 09:55:00,208.2,208.21,206.18,206.28,3315760
2026-06-08 10:00:00,206.27,206.98,206.0,206.54,2582946
2026-06-08 10:05:00,206.54,207.25,206.29,207.01,1969767
2026-06-08 10:10:00,207.01,207.47,206.67,207.14,1749763
2026-06-08 10:15:00,207.14,207.15,206.55,207.09,1386300
2026-06-08 10:20:00,207.09,207.49,206.81,207.35,1545101
2026-06-08 10:25:00,207.35,207.99,207.02,207.82,1723654
2026-06-08 10:30:00,207.84,208.1,207.47,208.07,1212749
2026-06-08 10:35:00,208.09,208.7,208.0,208.48,1769845
2026-06-08 10:40:00,208.46,208.49,207.93,208.07,1216727
2026-06-08 10:45:00,208.08,208.79,208.05,208.37,1533188
2026-06-08 10:50:00,208.38,208.7,208.13,208.36,1164785
2026-06-08 10:55:00,208.35,208.69,208.08,208.53,1120572
2026-06-08 11:00:00,208.53,208.75,208.32,208.65,1029056
2026-06-08 11:05:00,208.65,208.9,208.58,208.8,1190341
2026-06-08 11:10:00,208.81,208.88,208.54,208.59,879457
2026-06-08 11:15:00,208.59,208.8,208.43,208.66,1363875
2026-06-08 11:20:00,208.66,208.83,208.22,208.59,1166199
2026-06-08 11:25:00,208.58,208.58,207.52,207.67,1361173
2026-06-08 11:30:00,207.67,207.79,207.18,207.43,1257112
2026-06-08 11:35:00,207.43,208.29,207.36,208.27,1234439
2026-06-08 11:40:00,208.27,208.68,208.22,208.68,1084975
2026-06-08 11:45:00,208.68,209.25,208.64,208.86,1427691
2026-06-08 11:50:00,208.89,209.34,208.8,208.89,1185084
2026-06-08 11:55:00,208.87,208.93,208.17,208.31,822606
2026-06-08 12:00:00,208.32,208.94,208.17,208.72,1061074
2026-06-08 12:05:00,208.73,209.11,208.57,208.87,1380236
2026-06-08 12:10:00,208.88,209.15,208.63,208.92,779633
2026-06-08 12:15:00,208.91,209.72,208.91,209.69,974374
2026-06-08 12:20:00,209.68,209.75,209.0,209.1,1703479
2026-06-08 12:25:00,209.1,209.22,208.5,208.57,1965074
2026-06-08 12:30:00,208.6,208.96,208.46,208.49,883265
2026-06-08 12:35:00,208.51,208.79,208.2,208.31,1397224
2026-06-08 12:40:00,208.3,208.58,208.22,208.52,790418
2026-06-08 12:45:00,208.52,208.8,208.43,208.53,1101283
2026-06-08 12:50:00,208.55,208.85,208.53,208.65,609073
2026-06-08 12:55:00,208.65,208.77,208.56,208.57,515523
2026-06-08 13:00:00,208.57,208.62,207.85,208.06,1174586
2026-06-08 13:05:00,208.05,208.38,207.99,208.24,714678
2026-06-08 13:10:00,208.23,208.38,207.9,208.36,764062
2026-06-08 13:15:00,208.37,208.45,207.81,207.85,686091
2026-06-08 13:20:00,207.84,207.99,207.65,207.87,720277
2026-06-08 13:25:00,207.86,208.63,207.82,208.61,1476419
2026-06-08 13:30:00,208.59,208.88,208.05,208.34,955339
2026-06-08 13:35:00,208.34,208.7,208.06,208.7,653611
2026-06-08 13:40:00,208.7,208.73,208.37,208.43,481683
2026-06-08 13:45:00,208.41,208.89,208.39,208.88,687989
2026-06-08 13:50:00,208.88,209.24,208.72,209.07,836744
2026-06-08 13:55:00,209.05,209.12,208.74,208.8,556817
2026-06-08 14:00:00,208.8,209.32,208.8,209.21,1292286
2026-06-08 14:05:00,209.2,209.62,209.2,209.4,935241
2026-06-08 14:10:00,209.4,209.49,208.92,208.99,814535
2026-06-08 14:15:00,208.99,209.17,208.9,209.09,518310
2026-06-08 14:20:00,209.08,209.18,208.82,209.06,615316
2026-06-08 14:25:00,209.04,209.36,209.04,209.25,514972
2026-06-08 14:30:00,209.26,209.35,209.12,209.2,614627
2026-06-08 14:35:00,209.2,209.35,208.85,208.91,912131
2026-06-08 14:40:00,208.91,209.11,208.72,208.84,608216
2026-06-08 14:45:00,208.85,209.15,208.82,208.91,626004
2026-06-08 14:50:00,208.92,209.17,208.9,209.1,492582
2026-06-08 14:55:00,209.11,209.23,208.8,208.84,679188
2026-06-08 15:00:00,208.83,208.95,208.54,208.67,747262
2026-06-08 15:05:00,208.67,208.79,208.43,208.45,655097
2026-06-08 15:10:00,208.43,208.44,207.84,207.85,1049393
2026-06-08 15:15:00,207.85,207.98,207.62,207.79,935669
2026-06-08 15:20:00,207.79,208.07,207.42,207.43,954797
2026-06-08 15:25:00,207.43,207.82,207.37,207.82,1036013
2026-06-08 15:30:00,207.84,208.4,207.77,208.03,1211129
2026-06-08 15:35:00,208.04,208.42,207.92,208.17,978837
2026-06-08 15:40:00,208.15,208.19,207.67,207.74,884673
2026-06-08 15:45:00,207.74,208.12,207.68,207.74,1116797
2026-06-08 15:50:00,207.74,208.29,207.74,208.17,1550707
2026-06-08 15:55:00,208.17,208.75,208.16,208.61,4024204
2026-06-09 09:30:00,210.62,211.39,208.84,209.53,10368004
2026-06-09 09:35:00,209.58,210.46,209.53,209.72,2299183
2026-06-09 09:40:00,209.73,210.44,209.25,210.16,2006281
2026-06-09 09:45:00,210.15,210.96,209.75,210.68,2552299
2026-06-09 09:50:00,210.62,210.87,209.54,209.62,2035477
