date,open,high,low,close,volume
2026-06-08 09:30:00,145.79,146.44,145.05,146.1,300685
2026-06-08 09:35:00,146.1,146.36,145.68,146.08,86289
2026-06-08 09:40:00,146.14,146.26,145.77,145.88,69770
2026-06-08 09:45:00,145.85,146.11,145.71,145.82,78265
2026-06-08 09:50:00,145.79,146.16,145.79,146.12,58538
2026-06-08 09:55:00,146.1,146.44,146.09,146.34,89451
2026-06-08 10:00:00,146.29,146.54,146.25,146.5,117388
2026-06-08 10:05:00,146.49,146.54,146.23,146.27,56730
2026-06-08 10:10:00,146.29,146.33,146.14,146.25,70431
2026-06-08 10:15:00,146.28,146.48,146.18,146.43,91479
2026-06-08 10:20:00,146.42,146.55,146.16,146.25,63252
2026-06-08 10:25:00,146.27,146.43,146.01,146.07,69808
2026-06-08 10:30:00,146.1,146.19,145.95,145.97,70124
2026-06-08 10:35:00,145.92,145.94,145.59,145.69,46687
2026-06-08 10:40:00,145.71,145.79,145.47,145.62,55306
2026-06-08 10:45:00,145.63,145.8,145.54,145.76,51052
2026-06-08 10:50:00,145.77,145.79,145.66,145.67,64637
2026-06-08 10:55:00,145.71,145.8,145.6,145.76,55311
2026-06-08 11:00:00,145.76,145.86,145.63,145.65,49614
2026-06-08 11:05:00,145.62,145.91,145.6,145.75,38328
2026-06-08 11:10:00,145.71,145.87,145.5,145.54,40789
2026-06-08 11:15:00,145.54,145.68,145.48,145.56,97515
2026-06-08 11:20:00,145.58,145.73,145.46,145.73,51245
2026-06-08 11:25:00,145.72,145.72,145.52,145.56,37352
2026-06-08 11:30:00,145.55,145.63,145.53,145.57,44528
2026-06-08 11:35:00,145.56,145.62,145.35,145.48,148073
2026-06-08 11:40:00,145.46,145.46,145.3,145.32,35060
2026-06-08 11:45:00,145.32,145.44,145.31,145.41,36515
2026-06-08 11:50:00,145.39,145.43,145.34,145.38,27435
2026-06-08 11:55:00,145.37,145.5,145.33,145.46,42101
2026-06-08 12:00:00,145.48,145.48,145.32,145.35,46124
2026-06-08 12:05:00,145.35,145.51,145.3,145.49,37490
2026-06-08 12:10:00,145.52,145.69,145.5,145.68,27527
2026-06-08 12:15:00,145.68,145.7,145.5,145.5,24782
2026-06-08 12:20:00,145.51,145.59,145.38,145.41,31249
2026-06-08 12:25:00,145.43,145.44,145.22,145.22,30416
2026-06-08 12:30:00,145.23,145.35,145.2,145.29,28991
2026-06-08 12:35:00,145.29,145.43,145.29,145.39,30258
2026-06-08 12:40:00,145.37,145.39,145.27,145.33,24125
2026-06-08 12:45:00,145.32,145.38,145.3,145.32,25451
2026-06-08 12:50:00,145.32,145.35,145.23,145.23,29559
2026-06-08 12:55:00,145.23,145.26,145.1,145.26,39072
2026-06-08 13:00:00,145.25,145.28,145.12,145.16,43973
2026-06-08 13:05:00,145.15,145.23,145.15,145.16,20492
2026-06-08 13:10:00,145.16,145.43,145.16,145.36,32473
2026-06-08 13:15:00,145.34,145.36,145.24,145.27,34162
2026-06-08 13:20:00,145.23,145.36,145.23,145.35,22296
2026-06-08 13:25:00,145.35,145.39,145.32,145.35,37315
2026-06-08 13:30:00,145.38,145.38,145.11,145.11,38319
2026-06-08 13:35:00,145.11,145.26,145.11,145.24,28159
2026-06-08 13:40:00,145.24,145.33,145.24,145.33,27420
2026-06-08 13:45:00,145.3,145.37,145.26,145.26,30205
2026-06-08 13:50:00,145.3,145.34,145.16,145.2,23137
2026-06-08 13:55:00,145.19,145.36,145.17,145.3,29651
2026-06-08 14:00:00,145.32,145.46,145.28,145.42,34582
2026-06-08 14:05:00,145.42,145.57,145.41,145.5,36643
2026-06-08 14:10:00,145.5,145.52,145.43,145.51,29137
2026-06-08 14:15:00,145.51,145.62,145.51,145.62,31865
2026-06-08 14:20:00,145.62,145.73,145.62,145.73,28169
2026-06-08 14:25:00,145.73,145.9,145.7,145.87,34915
2026-06-08 14:30:00,145.86,145.94,145.8,145.85,51182
2026-06-08 14:35:00,145.85,145.88,145.77,145.77,39452
2026-06-08 14:40:00,145.77,145.81,145.69,145.71,29813
2026-06-08 14:45:00,145.72,145.78,145.57,145.62,39284
2026-06-08 14:50:00,145.61,145.68,145.57,145.67,33853
2026-06-08 14:55:00,145.66,145.68,145.62,145.65,35931
2026-06-08 15:00:00,145.64,145.73,145.59,145.66,49023
2026-06-08 15:05:00,145.66,145.69,145.63,145.68,44950
2026-06-08 15:10:00,145.65,145.71,145.6,145.62,42476
2026-06-08 15:15:00,145.62,145.67,145.55,145.65,54148
2026-06-08 15:20:00,145.64,145.68,145.61,145.65,51249
2026-06-08 15:25:00,145.66,145.72,145.6,145.62,66769
2026-06-08 15:30:00,145.61,145.63,145.35,145.4,75021
2026-06-08 15:35:00,145.38,145.4,145.26,145.31,58661
2026-06-08 15:40:00,145.31,145.49,145.3,145.42,77030
2026-06-08 15:45:00,145.41,145.48,145.21,145.34,102588
2026-06-08 15:50:00,145.35,145.45,145.18,145.27,182355
2026-06-08 15:55:00,145.26,145.26,145.01,145.1,549832
2026-06-09 09:30:00,144.67,145.51,144.53,145.46,391789
2026-06-09 09:35:00,145.45,145.88,145.18,145.69,67775
2026-06-09 09:40:00,145.79,146.13,145.71,146.03,69816
2026-06-09 09:45:00,146.02,146.16,145.87,145.87,65714
2026-06-09 09:50:00,145.91,146.08,145.76,145.82,65352
2026-06-09 09:55:00,145.83,145.88,145.58,145.77,38349
2026-06-09 10:00:00,145.77,146.08,145.74,146.06,58181
2026-06-09 10:05:00,146.03,146.43,145.98,146.4,50734
2026-06-09 10:10:00,146.4,146.88,146.38,146.53,81122
2026-06-09 10:15:00,146.56,147.06,146.56,146.69,90644
2026-06-09 10:20:00,146.71,146.91,146.59,146.87,70397
2026-06-09 10:25:00,146.93,147.03,146.79,147.01,43920
2026-06-09 10:30:00,146.99,147.44,146.98,147.28,67238
2026-06-09 10:35:00,147.28,147.34,147.06,147.19,57059
2026-06-09 10:40:00,147.19,147.43,147.08,147.43,63625
2026-06-09 10:45:00,147.38,147.68,147.32,147.58,98644
2026-06-09 10:50:00,147.59,147.6,147.06,147.08,88360
2026-06-09 10:55:00,147.12,147.35,147.1,147.33,68631
2026-06-09 11:00:00,147.33,147.45,147.28,147.39,48130
2026-06-09 11:05:00,147.34,147.37,147.13,147.13,36720
2026-06-09 11:10:00,147.1,147.28,147.08,147.23,40056
2026-06-09 11:15:00,147.26,147.47,147.22,147.44,61422
2026-06-09 11:20:00,147.43,147.67,147.31,147.67,131849
2026-06-09 11:25:00,147.64,147.72,147.42,147.65,103232
2026-06-09 11:30:00,147.67,147.85,147.57,147.82,59710
2026-06-09 11:35:00,147.82,148.05,147.82,147.96,152614
2026-06-09 11:40:00,147.98,148.01,147.51,147.71,74349
2026-06-09 11:45:00,147.72,147.88,147.63,147.84,41802
2026-06-09 11:50:00,147.84,148.01,147.78,147.98,60942
2026-06-09 11:55:00,147.99,148.62,147.96,148.5,123053
2026-06-09 12:00:00,148.49,148.49,148.18,148.46,90047
2026-06-09 12:05:00,148.46,148.95,148.43,148.83,101067
2026-06-09 12:10:00,148.83,149.07,148.7,148.92,99504
2026-06-09 12:15:00,148.92,149.2,148.82,149.17,113992
2026-06-09 12:20:00,149.16,149.28,149.0,149.17,77608
2026-06-09 12:25:00,149.18,149.18,148.91,149.06,52082
2026-06-09 12:30:00,149.07,149.33,149.04,149.3,84421
2026-06-09 12:35:00,149.26,149.48,148.98,149.32,128269
2026-06-09 12:40:00,149.27,149.27,148.92,148.99,71787
2026-06-09 12:45:00,149.0,149.25,148.86,149.06,68029
2026-06-09 12:50:00,149.06,149.35,149.06,149.35,77548
2026-06-09 12:55:00,149.35,149.39,148.97,148.98,83572
2026-06-09 13:00:00,148.95,149.08,148.51,148.51,112245
2026-06-09 13:05:00,148.53,148.6,148.21,148.21,58147
2026-06-09 13:10:00,148.21,148.39,148.09,148.13,53650
2026-06-09 13:15:00,148.15,148.23,148.06,148.18,49973
2026-06-09 13:20:00,148.19,148.62,148.16,148.6,69376
2026-06-09 13:25:00,148.6,148.65,148.48,148.54,36207
2026-06-09 13:30:00,148.57,148.59,148.45,148.52,45702
2026-06-09 13:35:00,148.5,148.57,148.38,148.38,50150
2026-06-09 13:40:00,148.37,148.46,148.3,148.39,32923
2026-06-09 13:45:00,148.39,148.65,148.31,148.54,51590
2026-06-09 13:50:00,148.54,148.56,148.37,148.38,43041
2026-06-09 13:55:00,148.35,148.39,148.28,148.34,29798
2026-06-09 14:00:00,148.39,148.48,148.34,148.37,36990
2026-06-09 14:05:00,148.35,148.41,148.26,148.3,38748
2026-06-09 14:10:00,148.29,148.38,148.29,148.32,34453
2026-06-09 14:15:00,148.32,148.45,148.2,148.37,34060
2026-06-09 14:20:00,148.38,148.41,148.32,148.37,35433
2026-06-09 14:25:00,148.37,148.45,148.35,148.4,32533
