date,open,high,low,close,volume
2026-06-08 09:30:00,743.36,744.51,742.15,742.18,4049422
2026-06-08 09:35:00,742.19,742.66,741.58,741.59,1106579
2026-06-08 09:40:00,741.59,743.1,741.48,742.72,815319
2026-06-08 09:45:00,742.73,743.52,742.1,742.58,836773
2026-06-08 09:50:00,742.56,743.72,741.91,743.2,482738
2026-06-08 09:55:00,743.22,743.33,740.8,740.85,768315
2026-06-08 10:00:00,740.8,742.33,740.6,741.18,767557
2026-06-08 10:05:00,741.17,742.52,741.06,742.32,468580
2026-06-08 10:10:00,742.32,742.46,741.42,741.64,470734
2026-06-08 10:15:00,741.62,741.8,740.85,741.55,425735
2026-06-08 10:20:00,741.48,742.37,741.18,742.14,428768
2026-06-08 10:25:00,742.16,743.02,741.95,742.48,547239
2026-06-08 10:30:00,742.44,742.98,742.3,742.87,445348
2026-06-08 10:35:00,742.9,743.67,742.72,743.27,657893
2026-06-08 10:40:00,743.26,743.5,741.97,742.57,774081
2026-06-08 10:45:00,742.58,744.35,742.58,743.54,616876
2026-06-08 10:50:00,743.58,744.34,743.3,744.11,426502
2026-06-08 10:55:00,744.13,745.02,743.65,744.99,454713
2026-06-08 11:00:00,744.98,745.27,744.62,744.64,482631
2026-06-08 11:05:00,744.63,745.34,744.57,745.12,351220
2026-06-08 11:10:00,745.12,745.2,744.68,744.72,268198
2026-06-08 11:15:00,744.77,745.16,744.39,744.84,386838
2026-06-08 11:20:00,744.84,745.08,744.14,744.93,385975
2026-06-08 11:25:00,744.93,744.93,743.11,743.23,429724
2026-06-08 11:30:00,743.25,743.38,741.87,742.16,550471
2026-06-08 11:35:00,742.16,743.63,741.91,743.5,454643
2026-06-08 11:40:00,743.47,743.9,743.16,743.69,349964
2026-06-08 11:45:00,743.71,744.35,743.28,743.36,456447
2026-06-08 11:50:00,743.34,744.16,743.34,743.53,247455
2026-06-08 11:55:00,743.5,743.52,742.49,742.77,421507
2026-06-08 12:00:00,742.75,743.26,742.16,742.85,481256
2026-06-08 12:05:00,742.88,743.23,742.49,742.63,279306
2026-06-08 12:10:00,742.67,743.25,742.35,743.07,236361
2026-06-08 12:15:00,743.09,743.73,743.02,743.7,262419
2026-06-08 12:20:00,743.69,743.97,742.86,742.99,331067
2026-06-08 12:25:00,743.03,743.46,742.11,742.14,227650
2026-06-08 12:30:00,742.16,742.62,741.9,741.96,248619
2026-06-08 12:35:00,741.96,742.44,741.51,741.79,354799
2026-06-08 12:40:00,741.78,742.34,741.61,742.13,257751
2026-06-08 12:45:00,742.16,742.97,742.01,742.49,235060
2026-06-08 12:50:00,742.49,742.7,742.22,742.43,230780
2026-06-08 12:55:00,742.43,742.48,741.89,741.91,423752
2026-06-08 13:00:00,741.92,741.97,740.34,740.76,670057
2026-06-08 13:05:00,740.76,741.51,740.61,740.84,352306
2026-06-08 13:10:00,740.84,740.99,740.11,740.94,995671
2026-06-08 13:15:00,740.95,741.13,740.08,740.38,379702
2026-06-08 13:20:00,740.4,740.87,740.14,740.49,261333
2026-06-08 13:25:00,740.48,742.06,740.37,742.03,533682
2026-06-08 13:30:00,742.01,742.39,741.03,741.62,610127
2026-06-08 13:35:00,741.6,741.73,740.57,741.18,316054
2026-06-08 13:40:00,741.2,741.33,740.4,740.43,263609
