date,open,high,low,close,volume
2026-06-08 09:30:00,118.22,119.19,118.15,119.16,1732508
2026-06-08 09:35:00,119.18,119.47,118.71,119.44,399131
2026-06-08 09:40:00,119.44,119.75,119.36,119.61,374410
2026-06-08 09:45:00,119.6,119.78,119.16,119.3,379835
2026-06-08 09:50:00,119.35,119.65,119.25,119.47,253943
2026-06-08 09:55:00,119.47,119.64,119.28,119.55,228823
2026-06-08 10:00:00,119.57,119.88,119.39,119.75,225432
2026-06-08 10:05:00,119.73,119.79,119.56,119.67,154916
2026-06-08 10:10:00,119.63,119.82,119.38,119.38,193840
2026-06-08 10:15:00,119.39,119.86,119.3,119.86,206747
2026-06-08 10:20:00,119.86,120.02,119.79,119.99,188343
2026-06-08 10:25:00,120.0,120.04,119.74,119.77,131797
2026-06-08 10:30:00,119.78,119.8,119.61,119.73,138210
2026-06-08 10:35:00,119.7,119.91,119.66,119.77,210601
2026-06-08 10:40:00,119.79,119.85,119.65,119.75,166081
2026-06-08 10:45:00,119.78,120.01,119.77,119.97,161360
2026-06-08 10:50:00,119.96,119.97,119.77,119.85,130750
2026-06-08 10:55:00,119.81,119.98,119.79,119.96,141406
2026-06-08 11:00:00,119.97,120.1,119.89,120.01,134384
2026-06-08 11:05:00,120.0,120.1,119.93,120.02,119749
2026-06-08 11:10:00,120.0,120.04,119.74,119.76,106826
2026-06-08 11:15:00,119.75,119.87,119.66,119.76,159358
2026-06-08 11:20:00,119.78,119.83,119.68,119.79,108135
2026-06-08 11:25:00,119.78,119.96,119.69,119.71,129110
2026-06-08 11:30:00,119.65,119.75,119.58,119.66,102746
2026-06-08 11:35:00,119.65,119.78,119.49,119.76,129127
2026-06-08 11:40:00,119.76,119.82,119.73,119.77,114189
2026-06-08 11:45:00,119.76,119.93,119.76,119.89,90101
2026-06-08 11:50:00,119.88,119.92,119.83,119.92,111977
2026-06-08 11:55:00,119.9,119.9,119.76,119.8,101612
2026-06-08 12:00:00,119.78,119.86,119.7,119.79,81467
2026-06-08 12:05:00,119.78,119.81,119.72,119.78,124587
2026-06-08 12:10:00,119.77,119.84,119.74,119.82,76074
2026-06-08 12:15:00,119.81,119.9,119.79,119.8,68504
2026-06-08 12:20:00,119.8,119.83,119.63,119.67,74007
2026-06-08 12:25:00,119.67,119.75,119.51,119.51,73280
2026-06-08 12:30:00,119.5,119.6,119.42,119.57,78889
2026-06-08 12:35:00,119.56,119.6,119.42,119.49,101614
2026-06-08 12:40:00,119.5,119.55,119.44,119.55,98183
2026-06-08 12:45:00,119.56,119.75,119.56,119.68,105401
2026-06-08 12:50:00,119.67,119.67,119.5,119.51,73981
