date,open,high,low,close,volume
2025-06-11,244.38,252.72,241.84,250.88,24599000
2025-06-12,248.18,255.82,247.49,254.01,20410900
2025-06-13,248.65,251.96,246.35,246.7,19028400
2025-06-16,248.34,253.14,247.56,250.07,20363000
2025-06-17,248.93,251.92,245.93,247.37,22014300
2025-06-18,248.87,253.59,247.41,249.24,30435500
2025-06-20,251.77,252.07,242.78,248.56,42134900
2025-06-23,247.69,252.76,245.05,252.32,19747000
2025-06-24,257.29,264.35,257.29,262.27,32764900
2025-06-25,264.48,268.33,261.93,263.14,18894200
2025-06-26,263.57,270.12,262.62,268.63,23569600
2025-06-27,268.76,270.3,265.36,267.81,27477600
2025-06-30,273.16,276.13,270.58,274.08,24708400
2025-07-01,272.84,272.93,261.16,263.23,28847600
2025-07-02,262.48,270.45,261.23,268.36,17582100
2025-07-03,269.19,274.23,268.58,273.61,10592700
2025-07-07,273.56,275.98,271.11,272.62,16760600
2025-07-08,274.77,274.77,269.6,270.25,14869400
2025-07-09,271.4,277.86,271.16,276.32,20133000
2025-07-10,278.19,279.58,271.14,273.83,17891600
2025-07-11,272.58,274.89,270.34,272.82,14274700
2025-07-14,272.57,276.77,268.04,274.03,11934200
2025-07-15,278.21,281.74,276.27,279.34,17918400
2025-07-16,278.51,279.9,274.1,279.21,15031000
2025-07-17,279.54,286.64,278.31,284.82,17231100
2025-07-18,285.47,285.89,279.4,281.72,15012400
2025-07-21,282.34,288.88,282.01,286.57,17726800
2025-07-22,286.01,286.36,274.85,277.0,16564800
2025-07-23,275.2,282.38,271.44,282.07,20556200
2025-07-24,288.14,289.54,281.88,287.06,16413800
2025-07-25,286.43,290.92,285.63,288.53,12476200
2025-07-28,290.79,293.77,288.93,292.62,13683400
2025-07-29,295.8,300.47,293.19,295.72,19210800
2025-07-30,295.46,301.53,294.11,300.89,16738900
2025-07-31,301.07,305.2,288.57,292.03,25488500
2025-08-01,284.91,290.97,280.0,286.99,21428100
2025-08-04,290.53,296.78,289.74,296.02,17164600
2025-08-05,296.11,299.48,289.79,291.26,18477500
2025-08-06,291.23,301.08,290.24,299.95,17392100
2025-08-07,304.42,308.57,298.17,302.03,16319400
2025-08-08,302.32,306.11,300.82,303.23,12458700
2025-08-11,303.31,306.55,299.57,302.17,12396400
2025-08-12,304.88,311.65,302.93,311.05,17609600
2025-08-13,314.94,315.54,303.01,307.33,17371200
2025-08-14,305.26,312.38,305.25,309.46,15717600
2025-08-15,309.26,309.72,298.05,304.59,22806900
2025-08-18,300.97,304.42,297.29,304.02,14724700
2025-08-19,300.7,301.17,290.72,293.23,20149600
2025-08-20,293.78,293.8,280.26,289.51,23600500
