date,open,high,low,close,volume
2025-06-11,44.24,44.44,43.6,43.78,47873500
2025-06-12,43.45,43.7,43.08,43.67,30165400
2025-06-13,43.06,43.51,42.73,43.15,43281700
2025-06-16,43.69,43.93,43.4,43.46,34103600
2025-06-17,43.33,43.72,43.12,43.29,27489600
2025-06-18,43.32,44.24,43.27,44.1,37684700
2025-06-20,44.34,44.68,44.3,44.53,64591600
2025-06-23,44.43,45.38,44.15,45.31,42683600
2025-06-24,45.75,46.18,45.58,45.67,45437600
2025-06-25,45.59,45.98,45.47,45.85,33532400
2025-06-26,45.95,46.57,45.9,46.45,40127000
2025-06-27,46.44,46.65,45.91,46.12,56705000
2025-06-30,46.6,46.6,46.03,46.31,47921200
2025-07-01,46.02,47.39,45.94,47.12,48540900
2025-07-02,47.33,47.69,47.04,47.67,48003600
2025-07-03,47.91,48.26,47.77,47.89,21620300
2025-07-07,47.7,48.16,47.34,47.62,35567900
2025-07-08,46.49,46.77,45.76,46.14,88086500
2025-07-09,46.15,46.44,45.71,45.84,46227900
2025-07-10,45.9,46.21,45.78,45.97,44225000
2025-07-11,45.65,45.81,45.26,45.73,31653000
2025-07-14,45.81,46.07,45.56,46.07,36381200
2025-07-15,45.88,46.01,44.97,45.17,55145000
2025-07-16,45.26,45.57,44.05,45.05,61296600
2025-07-17,44.67,46.21,44.47,46.02,56480700
2025-07-18,46.01,46.37,45.9,46.31,48314200
2025-07-21,46.53,47.02,46.19,46.47,32199700
2025-07-22,46.59,47.14,46.45,46.75,34749400
2025-07-23,46.99,47.28,46.79,47.11,31380100
2025-07-24,47.46,47.96,47.18,47.36,42967600
2025-07-25,47.36,47.51,46.92,47.42,24461200
2025-07-28,47.42,47.51,47.05,47.2,20590400
2025-07-29,47.36,47.48,46.87,46.93,26216500
2025-07-30,47.23,47.47,46.72,46.94,32265900
2025-07-31,46.74,47.01,46.18,46.26,40016300
2025-08-01,45.37,45.42,44.35,44.69,52310400
