date,open,high,low,close,volume
2025-06-11,179.26,179.86,176.25,176.85,31646800
2025-06-12,175.68,176.22,174.25,175.2,20941900
2025-06-13,171.95,176.63,171.9,174.17,27663100
2025-06-16,174.23,176.44,174.15,176.27,27389200
2025-06-17,175.2,176.86,174.08,175.45,24973000
2025-06-18,175.51,176.06,172.71,172.83,28707500
2025-06-20,173.46,173.84,164.99,166.17,75659900
2025-06-23,165.8,166.86,161.54,164.72,57671000
2025-06-24,166.45,167.74,165.66,166.3,40524300
2025-06-25,167.15,171.87,167.07,170.19,35479000
2025-06-26,171.94,173.2,169.46,173.05,31796700
2025-06-27,173.05,178.17,171.24,178.02,108140200
2025-06-30,180.27,180.71,174.08,175.73,63378900
2025-07-01,175.24,175.59,173.04,175.34,35904500
2025-07-02,175.04,178.35,174.57,178.13,29128900
2025-07-03,177.99,179.16,176.55,179.02,21689700
2025-07-07,178.55,178.79,175.18,176.29,34175600
2025-07-08,177.34,177.44,172.32,173.86,40442500
2025-07-09,174.75,178.93,172.28,176.12,43025600
2025-07-10,175.13,177.92,173.88,177.11,29252400
2025-07-11,176.29,180.91,175.98,179.68,34282900
2025-07-14,180.5,183.15,179.17,181.04,32536600
2025-07-15,182.29,183.7,181.08,181.48,33448300
2025-07-16,182.72,183.81,181.51,182.45,33104200
2025-07-17,181.62,183.54,179.97,183.06,31992600
2025-07-18,184.87,185.89,183.19,184.53,34014500
2025-07-21,185.72,189.75,185.62,189.56,45803100
2025-07-22,190.96,191.1,186.93,190.8,44660200
2025-07-23,190.96,191.98,188.64,189.69,58681900
2025-07-24,196.47,197.39,190.46,191.62,74881700
2025-07-25,191.43,193.78,190.72,192.63,39785900
2025-07-28,193.1,193.5,190.3,192.03,38139500
2025-07-29,191.88,195.36,191.53,195.19,41389200
2025-07-30,195.04,197.04,194.14,195.97,32445400
2025-07-31,195.15,195.43,190.55,191.35,51329200
2025-08-01,188.49,190.29,187.29,188.59,34832200
2025-08-04,189.75,194.71,189.58,194.49,31547400
2025-08-05,194.16,197.3,193.34,194.12,31602300
2025-08-06,193.95,196.07,193.12,195.53,21562900
2025-08-07,196.5,196.98,193.78,195.96,26321800
2025-08-08,196.66,202.03,196.61,200.85,39161800
2025-08-11,200.37,200.91,198.5,200.43,25832400
2025-08-12,200.8,203.92,200.02,202.76,30397900
2025-08-13,203.55,203.95,196.95,201.39,28342900
2025-08-14,200.93,203.86,200.66,202.36,25230400
2025-08-15,203.27,205.85,200.71,203.32,34931400
2025-08-18,203.62,204.69,201.91,202.92,18526600
2025-08-19,202.45,202.86,199.39,201.0,24240200
2025-08-20,200.16,200.71,196.04,198.75,28955500
2025-08-21,199.18,201.9,198.86,199.18,19774600
2025-08-22,202.15,207.95,200.73,205.5,42827000
2025-08-25,205.84,209.92,204.7,207.9,29928900
2025-08-26,206.92,207.26,205.11,206.55,28464100
2025-08-27,205.11,208.32,205.06,206.89,23022900
2025-08-28,206.66,211.62,206.31,211.04,32339300
2025-08-29,209.91,214.04,209.6,212.3,39728400
2025-09-02,207.85,211.08,205.61,210.75,47523000
2025-09-03,225.57,230.65,224.15,230.0,103336100
2025-09-04,229.0,231.71,225.47,231.64,51684200
2025-09-05,231.54,235.09,231.24,234.33,46588900
2025-09-08,235.01,237.66,233.21,233.58,32474700
2025-09-09,233.71,240.0,232.77,239.16,38061000
2025-09-10,238.43,241.19,237.39,238.7,35141100
2025-09-11,239.41,241.78,235.79,239.9,30599300
2025-09-12,239.9,241.61,237.54,240.33,26771600
2025-09-15,244.18,251.92,244.18,251.12,58383800
2025-09-16,251.59,252.55,248.98,250.67,34109700
2025-09-17,250.73,251.11,245.8,249.04,34108000
2025-09-18,251.19,253.49,249.31,251.54,31239500
2025-09-19,252.76,255.5,251.32,254.22,55571400
2025-09-22,253.93,255.28,249.81,252.04,32290500
2025-09-23,252.55,253.86,249.99,251.17,26628000
2025-09-24,251.17,251.86,245.96,246.66,28201000
2025-09-25,243.92,246.01,240.27,245.31,31020400
2025-09-26,246.59,248.93,245.49,246.06,18503200
2025-09-29,247.37,250.66,242.3,243.57,32505800
2025-09-30,242.34,242.81,238.78,242.63,34724300
2025-10-01,240.28,245.82,238.14,244.42,31658200
2025-10-02,244.67,246.33,241.83,245.21,25483300
2025-10-03,244.01,245.82,241.19,244.87,30249600
2025-10-06,244.3,250.83,244.1,249.94,28894700
2025-10-07,247.79,249.95,245.04,245.28,23181300
2025-10-08,244.48,245.53,243.34,244.14,21307100
2025-10-09,243.99,244.28,238.68,241.06,27892100
2025-10-10,240.96,243.61,235.38,236.11,33180300
2025-10-13,239.74,244.02,239.24,243.67,24995000
2025-10-14,240.76,246.64,240.04,244.97,22111600
2025-10-15,246.77,251.62,245.51,250.54,27007700
2025-10-16,251.28,256.46,249.61,250.97,27997200
2025-10-17,250.27,253.72,247.33,252.81,29671600
2025-10-20,254.19,256.83,253.73,256.05,22350200
2025-10-21,254.24,254.38,243.67,249.97,47312100
2025-10-22,253.87,255.86,248.8,251.2,35029400
2025-10-23,252.49,254.54,251.36,252.59,19901400
2025-10-24,256.08,261.17,254.82,259.41,28655100
2025-10-27,264.3,269.61,263.76,268.74,35235200
2025-10-28,269.16,270.2,265.98,266.95,29738600
2025-10-29,267.23,274.8,267.15,274.03,43580300
2025-10-30,291.02,291.02,279.51,280.93,74876000
2025-10-31,282.66,285.44,276.49,280.64,39267900
2025-11-03,281.63,284.97,279.25,283.17,29786000
2025-11-04,276.21,280.72,275.72,277.0,30078400
2025-11-05,278.33,285.86,276.8,283.75,31010300
2025-11-06,284.77,287.79,280.59,284.19,37173600
2025-11-07,282.66,283.23,274.65,278.29,34479600
2025-11-10,283.86,290.23,282.31,289.53,29557300
2025-11-11,287.19,291.35,286.76,290.74,19842100
2025-11-12,291.11,291.44,283.14,286.15,24829900
2025-11-13,281.79,282.29,276.7,278.03,29494000
2025-11-14,270.88,278.02,270.17,275.87,31647200
2025-11-17,285.22,293.38,283.02,284.46,52670200
2025-11-18,287.36,288.24,277.66,283.72,49158700
2025-11-19,286.6,303.22,286.07,292.24,68198900
2025-11-20,303.95,305.82,288.11,288.88,62025200
2025-11-21,295.84,303.33,293.28,299.07,74137700
2025-11-24,310.52,318.86,309.0,317.96,85165100
2025-11-25,325.57,328.19,317.03,322.81,88632100
2025-11-26,320.05,323.87,316.17,319.33,51373400
2025-11-28,322.74,326.21,316.17,319.55,26018600
2025-12-01,317.08,319.23,313.28,314.28,41183000
2025-12-02,316.12,317.76,313.3,315.19,35854700
2025-12-03,315.27,320.95,313.49,319.01,41838300
2025-12-04,321.6,321.73,314.09,317.0,31240900
2025-12-05,318.87,322.53,318.55,320.64,28851700
2025-12-08,319.63,320.02,310.82,313.31,33909400
2025-12-09,311.96,317.58,311.49,316.67,30194000
2025-12-10,315.42,320.89,314.27,319.79,33428900
2025-12-11,319.66,320.7,308.2,312.02,42353700
2025-12-12,313.29,314.46,305.16,308.89,35940200
2025-12-15,310.92,311.02,304.48,307.82,29151900
2025-12-16,304.55,310.37,302.2,306.17,30585000
2025-12-17,307.61,307.69,295.74,296.33,43930400
2025-12-18,301.33,303.56,298.84,302.07,33518000
2025-12-19,301.34,306.85,300.58,306.76,59943200
2025-12-22,309.48,309.73,304.9,309.38,26429900
2025-12-23,309.23,314.53,308.92,313.94,25478700
2025-12-24,314.36,314.67,311.51,313.68,10097400
2025-12-26,314.07,314.68,311.87,313.1,10899000
2025-12-29,310.97,313.61,310.22,313.15,19621800
2025-12-30,312.09,316.54,312.05,313.44,17380900
2025-12-31,312.44,314.17,311.04,312.59,16377700
2026-01-02,316.49,322.08,309.93,314.74,32009400
2026-01-05,317.25,318.61,314.22,316.13,30195600
2026-01-06,315.99,320.52,311.37,313.93,31212100
2026-01-07,313.95,325.73,313.78,321.56,35104400
2026-01-08,328.54,329.89,321.08,325.02,31896100
2026-01-09,326.66,330.4,325.38,328.14,26214200
2026-01-12,325.38,333.61,324.58,331.43,33923900
2026-01-13,334.51,340.05,333.19,335.53,33517600
2026-01-14,334.62,336.08,330.05,335.4,28525600
2026-01-15,337.21,337.25,330.31,332.35,28442400
2026-01-16,333.98,334.21,327.27,329.57,40341600
2026-01-20,320.45,327.3,320.01,321.58,35361000
2026-01-21,320.5,332.05,318.93,327.95,35386600
2026-01-22,334.02,334.71,328.32,330.11,26253600
2026-01-23,332.06,333.26,327.02,327.5,27280000
2026-01-26,327.38,335.4,326.57,332.83,26042100
2026-01-27,334.93,337.47,333.05,334.12,21636200
2026-01-28,335.62,337.1,331.51,335.57,27434400
2026-01-29,339.86,341.85,326.12,337.81,39785600
2026-01-30,339.56,339.56,331.86,337.56,31024000
2026-02-02,335.78,344.38,335.19,343.24,32006100
2026-02-03,346.89,348.55,337.03,339.27,36506700
2026-02-04,342.51,342.86,328.09,332.61,70618400
2026-02-05,311.81,332.26,306.06,330.82,88205800
2026-02-06,326.75,329.95,319.5,322.44,56380500
2026-02-09,320.51,327.27,316.85,323.9,39640100
2026-02-10,320.55,321.25,314.2,318.17,39170000
2026-02-11,318.56,320.64,309.26,310.56,45406400
2026-02-12,311.68,315.83,306.8,308.6,47761300
2026-02-13,307.33,308.23,303.32,305.32,38499700
2026-02-17,299.65,304.04,295.86,301.63,39247600
2026-02-18,301.7,304.98,300.86,302.94,28482100
2026-02-19,301.43,305.07,299.65,302.46,25834400
2026-02-20,303.92,316.09,303.5,314.57,53210800
2026-02-23,318.64,319.1,309.47,311.09,31423000
2026-02-24,310.12,311.86,305.53,310.5,25615600
2026-02-25,311.65,313.23,309.04,312.49,29963600
2026-02-26,312.23,312.73,301.96,306.98,36431200
2026-02-27,303.74,311.96,303.41,311.35,44640600
2026-03-02,302.84,308.09,300.91,306.12,34790200
2026-03-03,298.2,303.54,296.32,303.19,35497000
2026-03-04,302.5,305.07,300.36,302.74,29536200
2026-03-05,302.65,302.91,297.6,300.49,35752300
2026-03-06,295.71,300.14,294.8,298.13,25576900
2026-03-09,294.18,306.62,293.9,306.18,29312100
2026-03-10,305.99,309.33,305.39,306.86,23239700
2026-03-11,306.57,311.23,305.74,308.52,24125700
2026-03-12,306.64,308.76,300.85,303.37,24928300
2026-03-13,306.83,307.51,300.26,302.1,23693100
2026-03-16,304.17,306.31,302.84,305.38,23519700
2026-03-17,305.68,311.23,305.32,310.73,21955200
2026-03-18,309.09,312.28,306.75,307.51,20009800
2026-03-19,303.83,307.88,302.17,306.95,25075800
2026-03-20,305.28,305.82,298.09,300.82,44364100
2026-03-23,301.93,305.8,300.75,301.88,29326900
2026-03-24,299.02,299.74,290.16,290.27,36864300
2026-03-25,293.26,295.82,289.07,290.76,29460700
2026-03-26,287.74,287.78,278.33,280.75,39080600
2026-03-27,277.11,279.2,273.79,274.18,35890600
2026-03-30,276.26,276.92,271.95,273.34,35141200
2026-03-31,277.87,287.91,276.92,287.39,43875400
2026-04-01,290.67,300.34,290.24,297.21,37684500
2026-04-02,290.52,297.9,289.28,295.59,21666500
2026-04-06,295.69,300.44,295.0,299.81,16945500
2026-04-07,302.55,305.45,297.54,305.28,23205400
2026-04-08,320.26,321.89,314.83,317.13,33547100
2026-04-09,315.72,319.35,310.87,318.3,23739200
2026-04-10,319.83,321.64,316.13,317.05,19152600
2026-04-13,316.95,321.44,315.28,321.12,18866400
2026-04-14,324.6,333.09,323.56,332.71,27721400
2026-04-15,332.69,337.28,330.7,336.92,24918800
2026-04-16,338.55,339.68,334.32,335.82,20541500
