date,open,high,low,close,volume
2025-06-11,701.52,706.67,689.84,691.98,9582500
2025-06-12,691.14,693.22,684.86,691.2,7322700
2025-06-13,685.81,692.41,678.89,680.75,9274400
2025-06-16,697.69,705.49,691.89,700.47,13720300
2025-06-17,700.36,704.32,694.43,695.6,10066100
2025-06-18,696.54,699.95,693.27,694.14,10068300
2025-06-20,699.11,700.18,677.08,680.75,22538600
2025-06-23,682.09,697.41,677.16,696.89,11080100
2025-06-24,703.24,711.52,700.46,710.53,13823200
2025-06-25,711.65,714.9,703.73,707.02,9320400
2025-06-26,712.69,726.51,709.38,724.39,13964800
2025-06-27,724.82,733.71,724.16,731.91,18775700
2025-06-30,742.81,746.15,732.53,736.36,15402100
2025-07-01,735.15,736.02,713.69,717.53,13431200
2025-07-02,713.65,718.61,711.13,711.9,9336700
2025-07-03,724.91,727.32,712.75,717.33,8601700
2025-07-07,715.92,725.3,711.84,716.67,9457100
2025-07-08,719.88,721.22,713.14,718.98,7770700
2025-07-09,721.03,735.8,721.03,731.06,11418000
2025-07-10,729.84,734.08,717.91,725.54,9913600
2025-07-11,720.81,723.46,708.04,715.83,10873900
2025-07-14,715.92,726.29,714.87,719.23,8939400
2025-07-15,722.2,722.77,708.16,708.73,11529500
2025-07-16,711.7,712.3,697.63,701.26,13067600
2025-07-17,702.74,704.25,695.48,699.77,11803300
2025-07-18,700.54,703.06,690.03,702.63,12779800
2025-07-21,705.14,715.32,704.11,711.3,9404400
2025-07-22,714.51,714.92,699.77,703.16,8921100
2025-07-23,704.72,712.96,703.28,711.91,8771600
2025-07-24,715.37,721.92,712.33,713.13,10920800
2025-07-25,715.24,718.96,710.23,711.01,8271700
2025-07-28,713.52,723.04,711.01,715.95,8715700
2025-07-29,718.31,722.77,698.27,698.36,13267000
2025-07-30,706.43,706.84,689.58,693.58,27077300
2025-07-31,773.38,782.91,763.72,771.63,38831100
2025-08-01,758.95,764.21,743.56,748.25,19028700
2025-08-04,758.22,775.03,756.63,774.55,15801700
2025-08-05,774.63,781.3,761.21,761.67,11640300
2025-08-06,768.2,771.83,758.68,770.18,9733900
2025-08-07,771.68,773.18,757.77,760.04,9019700
2025-08-08,760.96,768.1,756.8,767.5,7320800
2025-08-11,768.28,771.65,762.88,764.08,7612000
2025-08-12,771.19,791.81,770.62,788.15,14563100
2025-08-13,789.3,793.6,776.41,778.25,8811800
2025-08-14,776.06,785.96,770.7,780.3,8116200
2025-08-15,782.31,794.38,778.99,783.39,13375400
2025-08-18,773.27,773.99,754.79,765.57,16513700
2025-08-19,765.32,765.37,747.6,749.72,12286700
2025-08-20,745.82,748.44,729.29,745.97,11898200
2025-08-21,742.97,743.75,731.39,737.37,8876300
2025-08-22,737.5,755.13,732.67,753.02,10612700
2025-08-25,753.05,757.1,748.37,751.53,6861200
2025-08-26,749.04,753.1,746.19,752.33,7601800
2025-08-27,750.54,752.38,741.1,745.63,8315400
2025-08-28,742.26,751.29,739.06,749.35,7468000
2025-08-29,743.53,745.39,733.63,736.97,9070500
2025-09-02,724.34,734.28,720.04,733.39,9350900
2025-09-03,734.28,738.52,732.27,735.32,7699300
2025-09-04,746.82,759.38,744.07,746.9,11439100
2025-09-05,750.86,756.17,743.28,750.69,9663400
2025-09-08,754.23,764.71,750.26,750.54,13087800
2025-09-09,755.72,764.5,751.66,763.91,10999000
2025-09-10,763.34,763.91,749.24,750.22,12478300
2025-09-11,752.88,755.33,746.62,749.14,7923300
2025-09-12,746.98,755.8,742.02,753.82,8248600
2025-09-15,755.7,772.26,750.23,762.91,10533800
2025-09-16,765.2,779.53,763.31,777.17,11782500
2025-09-17,778.16,781.45,764.51,773.9,9400900
2025-09-18,778.92,786.93,771.55,778.42,10955000
2025-09-19,784.58,788.95,767.39,776.56,23696800
2025-09-22,780.54,784.42,763.19,763.88,11706900
2025-09-23,767.97,769.31,749.82,754.14,10872600
2025-09-24,756.24,759.84,751.27,759.39,8828200
2025-09-25,752.19,755.51,743.31,747.66,10591100
2025-09-26,748.75,750.67,736.12,742.51,9696300
2025-09-29,747.47,749.53,737.92,742.16,9246800
2025-09-30,741.01,741.73,725.09,733.15,16226800
2025-10-01,720.29,720.64,709.01,716.14,20419600
2025-10-02,721.37,726.55,716.94,725.84,11415300
2025-10-03,728.41,729.78,708.99,709.37,16154300
2025-10-06,704.01,715.68,689.36,714.47,21654700
2025-10-07,716.52,717.3,704.57,711.89,12062900
2025-10-08,712.26,718.45,706.63,716.64,10790600
2025-10-09,717.08,732.29,711.25,732.29,12717200
2025-10-10,729.7,734.04,703.33,704.12,16980100
2025-10-13,711.82,718.74,706.46,714.51,9251800
2025-10-14,706.6,714.36,698.16,707.47,8829800
2025-10-15,715.86,722.69,708.33,716.35,10246800
2025-10-16,716.35,724.28,702.7,710.88,9017000
2025-10-17,705.9,717.34,704.94,715.72,12232400
2025-10-20,719.99,732.54,718.98,730.95,8900200
2025-10-21,734.79,737.27,727.53,732.05,7647300
2025-10-22,732.6,739.36,722.82,732.19,8734500
2025-10-23,733.47,741.17,731.88,732.77,9856000
2025-10-24,735.56,739.97,729.93,737.13,9151300
2025-10-27,748.48,754.49,746.76,749.57,11321100
2025-10-28,751.37,757.13,744.28,750.19,12193800
2025-10-29,753.49,757.89,741.27,750.41,26818600
2025-10-30,668.03,679.82,649.08,665.36,88440100
2025-10-31,673.38,673.76,644.49,647.27,56953200
2025-11-03,654.9,658.23,635.12,636.65,33003600
2025-11-04,626.99,640.67,624.96,626.27,27356600
2025-11-05,631.25,641.16,625.49,634.89,20219900
2025-11-06,634.79,634.94,616.97,617.91,23628800
2025-11-07,615.46,621.09,600.2,620.67,29946800
2025-11-10,630.04,633.94,617.08,630.71,19245000
2025-11-11,626.95,628.51,618.36,626.03,13302200
