date,open,high,low,close,volume
2025-06-11,597.34,598.2,592.48,594.54,73658200
2025-06-12,593.21,596.91,592.73,596.91,64129000
2025-06-13,591.72,595.03,588.73,590.23,89506000
2025-06-16,593.6,597.6,593.42,595.85,79984100
2025-06-17,593.41,594.93,590.0,590.76,82209400
2025-06-18,591.66,594.41,589.71,590.67,76605000
2025-06-20,593.35,594.42,587.87,589.28,94051400
2025-06-23,590.04,595.49,586.91,595.1,87426000
2025-06-24,599.25,602.74,598.33,601.68,67735300
2025-06-25,602.8,603.49,600.45,602.01,62114800
2025-06-26,603.87,607.16,603.25,606.72,78548400
2025-06-27,607.73,611.21,605.69,609.74,86258400
2025-06-30,612.19,614.01,609.87,612.65,92502500
2025-07-01,611.18,613.63,610.34,612.46,70030100
2025-07-02,612.05,615.27,611.42,615.23,66510400
2025-07-03,617.21,621.01,617.19,620.08,51065800
2025-07-07,618.12,618.78,612.67,615.46,74814500
2025-07-08,616.12,616.88,614.31,615.12,59024600
2025-07-09,617.53,619.47,615.69,618.81,66113300
2025-07-10,618.95,621.6,617.77,620.56,57529000
2025-07-11,617.5,619.6,616.3,618.37,63670200
2025-07-14,617.92,619.9,616.57,619.55,51898500
2025-07-15,622.24,622.58,616.83,616.91,74317300
2025-07-16,618.49,619.48,612.85,618.97,88987500
2025-07-17,619.15,623.11,618.93,622.76,68885700
2025-07-18,624.01,624.18,621.19,622.3,65621600
2025-07-21,623.48,626.23,623.06,623.48,63375000
2025-07-22,623.81,624.43,620.92,623.57,60046300
2025-07-23,626.24,628.88,624.43,628.88,70511000
2025-07-24,629.26,630.8,628.66,629.08,71307100
2025-07-25,629.75,632.22,629.5,631.74,56865400
2025-07-28,632.12,632.67,630.19,631.58,54917100
2025-07-29,632.98,633.3,629.0,629.92,60556300
2025-07-30,630.57,632.32,626.23,629.12,80418900
2025-07-31,634.08,634.47,625.46,626.76,103385200
2025-08-01,621.03,621.07,614.08,616.49,140103600
2025-08-04,620.41,625.91,620.32,625.86,73218000
2025-08-05,626.48,627.29,621.77,622.69,68051400
2025-08-06,623.76,628.11,622.85,627.46,64357500
2025-08-07,630.89,631.62,623.82,626.93,74205800
2025-08-08,628.73,632.29,628.41,631.82,64051600
2025-08-11,632.1,633.58,629.32,630.57,58742300
2025-08-12,632.92,637.44,631.43,637.28,64730800
2025-08-13,639.49,640.75,637.27,639.47,60092800
2025-08-14,637.38,640.19,636.94,639.53,59327500
2025-08-15,640.56,640.66,637.12,638.03,68592500
2025-08-18,637.45,638.58,636.78,637.89,43804900
2025-08-19,637.71,638.69,633.11,634.43,69750700
2025-08-20,634.02,634.28,627.63,632.74,88890300
2025-08-21,630.93,632.6,628.48,630.2,54805800
2025-08-22,632.4,641.06,631.89,639.88,84083200
2025-08-25,638.62,639.86,636.95,637.07,51274300
2025-08-26,636.8,640.08,636.17,639.73,51581600
2025-08-27,639.15,641.93,639.0,641.19,48341100
2025-08-28,641.8,644.02,639.91,643.46,61519500
2025-08-29,642.02,642.39,637.73,639.62,74522200
2025-09-02,632.14,635.1,629.58,634.88,81983500
2025-09-03,637.26,638.79,635.07,638.33,70820900
2025-09-04,639.0,643.69,638.1,643.66,65219200
2025-09-05,646.0,646.72,637.92,641.8,85178900
2025-09-08,643.16,644.37,641.79,643.37,63133100
2025-09-09,643.51,645.39,641.78,644.86,66133900
2025-09-10,648.12,649.04,645.16,646.72,78034500
2025-09-11,648.68,652.79,648.09,652.1,69934400
2025-09-12,652.07,653.57,651.37,651.88,72780100
2025-09-15,654.09,655.48,653.79,655.35,63772400
2025-09-16,655.91,656.21,653.67,654.45,61169000
2025-09-17,654.46,656.15,648.8,653.64,101952200
2025-09-18,656.32,659.3,654.72,656.69,90459200
2025-09-19,658.58,660.79,656.63,659.94,97945600
2025-09-22,658.45,663.51,658.42,663.06,69452200
2025-09-23,662.95,663.56,658.23,659.46,81708900
2025-09-24,660.75,660.85,655.94,657.36,68082200
2025-09-25,654.21,655.68,650.7,654.32,89622100
2025-09-26,655.78,658.62,654.16,658.07,69179200
2025-09-29,660.6,661.51,658.11,659.92,73499000
2025-09-30,659.18,662.88,657.86,662.41,86288000
2025-10-01,659.42,665.58,659.31,664.67,72545400
2025-10-02,666.65,666.77,663.0,665.43,56896000
2025-10-03,666.2,668.87,664.38,665.42,70494400
2025-10-06,667.82,668.7,665.67,667.81,54623300
2025-10-07,668.73,669.18,663.89,665.33,72020100
2025-10-08,666.46,669.4,665.63,669.3,60702200
2025-10-09,669.72,670.12,665.42,667.36,66501900
2025-10-10,668.32,670.13,649.14,649.32,159422600
2025-10-13,656.91,661.36,656.03,659.29,79560500
2025-10-14,653.45,662.06,649.47,658.48,88779600
2025-10-15,663.04,666.44,655.2,661.4,81702600
2025-10-16,663.04,664.92,653.39,656.9,110563300
2025-10-17,655.77,661.99,654.41,660.63,96500900
2025-10-20,663.54,668.4,663.49,667.5,60493400
2025-10-21,667.64,669.18,666.19,667.49,56249000
2025-10-22,668.2,668.2,659.54,664.02,80564000
2025-10-23,664.34,668.9,664.02,667.96,65604500
2025-10-24,672.63,674.63,671.82,673.42,74356500
2025-10-27,678.86,681.66,678.26,681.36,63339800
2025-10-28,683.16,685.01,680.95,683.17,61738100
2025-10-29,684.82,685.8,679.0,683.5,85657100
2025-10-30,680.03,682.06,675.98,675.98,76335800
2025-10-31,681.16,681.2,675.39,678.2,87164100
2025-11-03,681.79,681.92,676.09,679.47,57315000
2025-11-04,672.28,676.11,670.76,671.42,78427000
2025-11-05,671.16,677.01,670.35,673.74,74402400
2025-11-06,672.64,673.54,664.93,666.51,85035300
2025-11-07,664.13,667.28,657.47,667.17,100592400
2025-11-10,673.41,678.32,671.21,677.58,75842900
2025-11-11,676.1,679.7,674.89,679.13,58953400
2025-11-12,680.91,681.08,677.09,679.51,62312500
2025-11-13,676.65,677.01,666.72,668.24,103457800
2025-11-14,661.61,671.83,659.51,668.13,96846700
2025-11-17,665.91,669.9,658.42,661.9,90456100
2025-11-18,658.35,661.35,652.15,656.34,114467500
2025-11-19,657.04,663.56,655.02,658.88,94703000
2025-11-20,669.1,671.74,648.2,648.84,165293500
2025-11-21,651.34,660.79,647.17,655.3,123956200
2025-11-24,658.94,666.27,657.84,664.94,80437900
2025-11-25,664.84,672.38,660.72,671.2,81077100
